Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,1.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,2.0
2020-03-18,3.0
2020-03-19,3.0
2020-03-20,3.0
2020-03-21,2.0
2020-03-22,8.0
2020-03-23,14.0
2020-03-24,6.0
2020-03-25,17.0
2020-03-26,10.0
2020-03-27,16.0
2020-03-28,17.0
2020-03-29,12.0
2020-03-30,5.0
2020-03-31,14.0
2020-04-01,10.0
2020-04-02,4.0
2020-04-03,10.0
2020-04-04,14.0
2020-04-05,14.0
2020-04-06,6.0
2020-04-07,22.0
2020-04-08,13.0
2020-04-09,9.0
2020-04-10,11.0
2020-04-11,11.0
2020-04-12,15.0
2020-04-13,5.0
2020-04-14,8.0
2020-04-15,8.0
2020-04-16,7.0
2020-04-17,9.0
2020-04-18,5.0
2020-04-19,5.0
2020-04-20,2.0
2020-04-21,8.0
2020-04-22,6.0
2020-04-23,2.0
2020-04-24,2.0
2020-04-25,0.0
2020-04-26,2.0
2020-04-27,4.0
2020-04-28,6.0
2020-04-29,4.0
2020-04-30,0.0
2020-05-01,9.0
2020-05-02,1.0
2020-05-03,3.0
2020-05-04,2.0
2020-05-05,1.0
2020-05-06,1.0
2020-05-07,2.0
2020-05-08,3.0
2020-05-09,1.0
2020-05-10,1.0
2020-05-11,2.0
2020-05-12,2.0
2020-05-13,0.0
2020-05-14,4.0
2020-05-15,1.0
2020-05-16,4.0
2020-05-17,4.0
2020-05-18,3.0
2020-05-19,0.0
2020-05-20,3.0
2020-05-21,0.0
2020-05-22,2.0
2020-05-23,4.0
2020-05-24,0.0
2020-05-25,1.0
2020-05-26,2.0
2020-05-27,1.0
2020-05-28,13.0
2020-05-29,5.0
2020-05-30,4.0
2020-05-31,26.0
2020-06-01,7.0
2020-06-02,20.0
2020-06-03,18.0
2020-06-04,8.0
2020-06-05,11.0
2020-06-06,12.0
2020-06-07,8.0
2020-06-08,19.0
2020-06-09,10.0
2020-06-10,20.0
2020-06-11,17.0
2020-06-12,15.0
2020-06-13,29.0
2020-06-14,7.0
2020-06-15,3.0
2020-06-16,12.0
2020-06-17,20.0
2020-06-18,12.0
2020-06-19,15.0
2020-06-20,20.0
2020-06-21,12.0
2020-06-22,6.0
2020-06-23,17.0
2020-06-24,14.0
2020-06-25,24.0
2020-06-26,20.0
2020-06-27,18.0
2020-06-28,29.0
2020-06-29,21.0
2020-06-30,36.0
2020-07-01,38.0
2020-07-02,39.0
2020-07-03,46.0
2020-07-04,48.0
2020-07-05,27.0
2020-07-06,28.0
2020-07-07,18.0
2020-07-08,42.0
2020-07-09,46.0
2020-07-10,51.0
2020-07-11,62.0
2020-07-12,94.0
2020-07-13,60.0
2020-07-14,40.0
2020-07-15,52.0
2020-07-16,62.0
2020-07-17,40.0
2020-07-18,62.0
2020-07-19,79.0
2020-07-20,75.0
2020-07-21,92.0
2020-07-22,91.0
2020-07-23,60.0
2020-07-24,57.0
2020-07-25,89.0
2020-07-26,186.0
2020-07-27,98.0
2020-07-28,107.0
2020-07-29,68.0
2020-07-30,81.0
2020-07-31,112.0
2020-08-01,146.0
2020-08-02,144.0
2020-08-03,61.0
2020-08-04,53.0
2020-08-05,55.0
2020-08-06,35.0
2020-08-07,52.0
2020-08-08,77.0
2020-08-09,98.0
2020-08-10,64.0
2020-08-11,46.0
2020-08-12,60.0
2020-08-13,82.0
2020-08-14,110.0
2020-08-15,83.0
2020-08-16,103.0
2020-08-17,50.0
2020-08-18,62.0
2020-08-19,67.0
2020-08-20,82.0
2020-08-21,68.0
2020-08-22,89.0
2020-08-23,64.0
2020-08-24,69.0
2020-08-25,33.0
2020-08-26,52.0
2020-08-27,80.0
2020-08-28,117.0
2020-08-29,90.0
2020-08-30,44.0
2020-08-31,37.0
2020-09-01,35.0
2020-09-02,66.0
2020-09-03,102.0
2020-09-04,120.0
2020-09-05,93.0
2020-09-06,86.0
2020-09-07,33.0
2020-09-08,35.0
2020-09-09,63.0
2020-09-10,124.0
2020-09-11,93.0
2020-09-12,103.0
2020-09-13,62.0
2020-09-14,75.0
2020-09-15,42.0
2020-09-16,49.0
2020-09-17,105.0
2020-09-18,109.0
2020-09-19,85.0
2020-09-20,93.0
2020-09-21,70.0
2020-09-22,44.0
2020-09-23,54.0
2020-09-24,128.0
2020-09-25,122.0
2020-09-26,113.0
2020-09-27,114.0
2020-09-28,116.0
2020-09-29,124.0
2020-09-30,103.0
2020-10-01,124.0
2020-10-02,126.0
2020-10-03,143.0
2020-10-04,188.0
2020-10-05,208.0
2020-10-06,139.0
2020-10-07,126.0
2020-10-08,127.0
2020-10-09,177.0
2020-10-10,249.0
2020-10-11,255.0
2020-10-12,191.0
2020-10-13,151.0
2020-10-14,143.0
2020-10-15,152.0
2020-10-16,226.0
2020-10-17,211.0
2020-10-18,220.0
2020-10-19,202.0
2020-10-20,211.0
2020-10-21,212.0
2020-10-22,232.0
2020-10-23,281.0
2020-10-24,371.0
2020-10-25,523.0
2020-10-26,348.0
2020-10-27,382.0
2020-10-28,355.0
2020-10-29,359.0
2020-10-30,381.0
2020-10-31,437.0
2020-11-01,348.0
2020-11-02,350.0
2020-11-03,388.0
2020-11-04,404.0
2020-11-05,308.0
2020-11-06,525.0
2020-11-07,601.0
2020-11-08,518.0
2020-11-09,471.0
2020-11-10,525.0
2020-11-11,495.0
2020-11-12,481.0
2020-11-13,587.0
2020-11-14,739.0
2020-11-15,648.0
2020-11-16,578.0
2020-11-17,634.0
2020-11-18,545.0
2020-11-19,490.0
2020-11-20,460.0
2020-11-21,675.0
2020-11-22,543.0
2020-11-23,498.0
2020-11-24,584.0
2020-11-25,670.0
2020-11-26,553.0
2020-11-27,662.0
2020-11-28,650.0
2020-11-29,612.0
2020-11-30,507.0
2020-12-01,511.0
2020-12-02,697.0
2020-12-03,760.0
2020-12-04,750.0
2020-12-05,922.0
2020-12-06,757.0
2020-12-07,476.0
2020-12-08,562.0
2020-12-09,584.0
