Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,1.0
2020-03-14,0.0
2020-03-15,21.0
2020-03-16,7.0
2020-03-17,10.0
2020-03-18,12.0
2020-03-19,27.0
2020-03-20,28.0
2020-03-21,25.0
2020-03-22,26.0
2020-03-23,39.0
2020-03-24,46.0
2020-03-25,144.0
2020-03-26,145.0
2020-03-27,108.0
2020-03-28,81.0
2020-03-29,110.0
2020-03-30,117.0
2020-03-31,52.0
2020-04-01,107.0
2020-04-02,164.0
2020-04-03,265.0
2020-04-04,98.0
2020-04-05,208.0
2020-04-06,165.0
2020-04-07,191.0
2020-04-08,302.0
2020-04-09,339.0
2020-04-10,170.0
2020-04-11,254.0
2020-04-12,321.0
2020-04-13,220.0
2020-04-14,150.0
2020-04-15,288.0
2020-04-16,163.0
2020-04-17,168.0
2020-04-18,151.0
2020-04-19,223.0
2020-04-20,478.0
2020-04-21,244.0
2020-04-22,163.0
2020-04-23,240.0
2020-04-24,-45.0
2020-04-25,187.0
2020-04-26,414.0
2020-04-27,-88.0
2020-04-28,408.0
2020-04-29,158.0
2020-04-30,201.0
2020-05-01,-12.0
2020-05-02,317.0
2020-05-03,277.0
2020-05-04,424.0
2020-05-05,367.0
2020-05-06,12.0
2020-05-07,552.0
2020-05-08,396.0
2020-05-09,284.0
2020-05-10,222.0
2020-05-11,268.0
2020-05-12,252.0
2020-05-13,271.0
2020-05-14,402.0
2020-05-15,304.0
2020-05-16,339.0
2020-05-17,-210.0
2020-05-18,816.0
2020-05-19,-211.0
2020-05-20,924.0
2020-05-21,347.0
2020-05-22,294.0
2020-05-23,447.0
2020-05-24,353.0
2020-05-25,516.0
2020-05-26,548.0
2020-05-27,457.0
2020-05-28,467.0
2020-05-29,593.0
2020-05-30,327.0
2020-05-31,596.0
2020-06-01,193.0
2020-06-02,333.0
2020-06-03,80.0
2020-06-04,231.0
2020-06-05,314.0
2020-06-06,658.0
2020-06-07,446.0
2020-06-08,930.0
2020-06-09,-8.0
2020-06-10,578.0
2020-06-11,845.0
2020-06-12,865.0
2020-06-13,1658.0
2020-06-14,919.0
2020-06-15,426.0
2020-06-16,199.0
2020-06-17,415.0
2020-06-18,887.0
2020-06-19,803.0
2020-06-20,532.0
2020-06-21,472.0
2020-06-22,456.0
2020-06-23,757.0
2020-06-24,852.0
2020-06-25,1146.0
2020-06-26,988.0
2020-06-27,885.0
2020-06-28,1245.0
2020-06-29,853.0
2020-06-30,861.0
2020-07-01,917.0
2020-07-02,1130.0
2020-07-03,1754.0
2020-07-04,997.0
2020-07-05,2047.0
2020-07-06,0.0
2020-07-07,912.0
2020-07-08,1170.0
2020-07-09,2214.0
2020-07-10,1341.0
2020-07-11,1401.0
2020-07-12,1640.0
2020-07-13,2003.0
2020-07-14,1718.0
2020-07-15,1805.0
2020-07-16,2030.0
2020-07-17,2010.0
2020-07-18,2081.0
2020-07-19,1777.0
2020-07-20,1939.0
2020-07-21,1476.0
2020-07-22,1460.0
2020-07-23,2458.0
2020-07-24,1792.0
2020-07-25,1994.0
2020-07-26,1164.0
2020-07-27,1976.0
2020-07-28,1260.0
2020-07-29,1252.0
2020-07-30,2124.0
2020-07-31,1961.0
2020-08-01,1482.0
2020-08-02,2095.0
2020-08-03,1217.0
2020-08-04,1186.0
2020-08-05,972.0
2020-08-06,1773.0
2020-08-07,1892.0
2020-08-08,1869.0
2020-08-09,981.0
2020-08-10,1686.0
2020-08-11,831.0
2020-08-12,935.0
2020-08-13,771.0
2020-08-14,752.0
2020-08-15,1271.0
2020-08-16,853.0
2020-08-17,571.0
2020-08-18,1357.0
2020-08-19,1117.0
2020-08-20,971.0
2020-08-21,1183.0
2020-08-22,900.0
2020-08-23,1460.0
2020-08-24,718.0
2020-08-25,530.0
2020-08-26,2014.0
2020-08-27,1769.0
2020-08-28,1162.0
2020-08-29,1704.0
2020-08-30,1346.0
2020-08-31,823.0
2020-09-01,1558.0
2020-09-02,623.0
2020-09-03,1046.0
2020-09-04,1108.0
2020-09-05,1410.0
2020-09-06,511.0
2020-09-07,1290.0
2020-09-08,2.0
2020-09-09,811.0
2020-09-10,1148.0
2020-09-11,1138.0
2020-09-12,943.0
2020-09-13,1109.0
2020-09-14,704.0
2020-09-15,701.0
2020-09-16,927.0
2020-09-17,670.0
2020-09-18,1106.0
2020-09-19,1301.0
2020-09-20,798.0
2020-09-21,818.0
2020-09-22,804.0
2020-09-23,569.0
2020-09-24,1053.0
2020-09-25,2452.0
2020-09-26,933.0
2020-09-27,730.0
2020-09-28,662.0
2020-09-29,571.0
2020-09-30,1147.0
2020-10-01,1043.0
2020-10-02,954.0
2020-10-03,1682.0
2020-10-04,789.0
2020-10-05,544.0
2020-10-06,764.0
2020-10-07,941.0
2020-10-08,557.0
2020-10-09,1490.0
2020-10-10,1061.0
2020-10-11,816.0
2020-10-12,734.0
2020-10-13,1117.0
2020-10-14,784.0
2020-10-15,1185.0
2020-10-16,1212.0
2020-10-17,1288.0
2020-10-18,964.0
2020-10-19,859.0
2020-10-20,1043.0
2020-10-21,1146.0
2020-10-22,1390.0
2020-10-23,3852.0
2020-10-24,2360.0
2020-10-25,1079.0
2020-10-26,967.0
2020-10-27,1115.0
2020-10-28,1269.0
2020-10-29,1443.0
2020-10-30,1347.0
2020-10-31,1789.0
2020-11-01,1700.0
2020-11-02,907.0
2020-11-03,1037.0
2020-11-04,1848.0
2020-11-05,1381.0
2020-11-06,1556.0
2020-11-07,1768.0
2020-11-08,1205.0
2020-11-09,1170.0
2020-11-10,1710.0
2020-11-11,2070.0
2020-11-12,2000.0
2020-11-13,2980.0
2020-11-14,2226.0
2020-11-15,1979.0
2020-11-16,1410.0
2020-11-17,1616.0
2020-11-18,2638.0
2020-11-19,2424.0
2020-11-20,2463.0
2020-11-21,2335.0
2020-11-22,1798.0
2020-11-23,1574.0
2020-11-24,2785.0
2020-11-25,2453.0
2020-11-26,2639.0
2020-11-27,917.0
2020-11-28,2119.0
