Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,1.0
2020-03-04,0.0
2020-03-05,1.0
2020-03-06,0.0
2020-03-07,2.0
2020-03-08,0.0
2020-03-09,1.0
2020-03-10,2.0
2020-03-11,1.0
2020-03-12,0.0
2020-03-13,1.0
2020-03-14,2.0
2020-03-15,1.0
2020-03-16,5.0
2020-03-17,0.0
2020-03-18,9.0
2020-03-19,17.0
2020-03-20,19.0
2020-03-21,41.0
2020-03-22,48.0
2020-03-23,101.0
2020-03-24,73.0
2020-03-25,75.0
2020-03-26,107.0
2020-03-27,157.0
2020-03-28,108.0
2020-03-29,146.0
2020-03-30,238.0
2020-03-31,132.0
2020-04-01,124.0
2020-04-02,185.0
2020-04-03,171.0
2020-04-04,250.0
2020-04-05,250.0
2020-04-06,187.0
2020-04-07,119.0
2020-04-08,151.0
2020-04-09,292.0
2020-04-10,94.0
2020-04-11,281.0
2020-04-12,146.0
2020-04-13,163.0
2020-04-14,104.0
2020-04-15,156.0
2020-04-16,272.0
2020-04-17,273.0
2020-04-18,212.0
2020-04-19,210.0
2020-04-20,135.0
2020-04-21,187.0
2020-04-22,208.0
2020-04-23,310.0
2020-04-24,276.0
2020-04-25,235.0
2020-04-26,246.0
2020-04-27,190.0
2020-04-28,232.0
2020-04-29,254.0
2020-04-30,446.0
2020-05-01,314.0
2020-05-02,402.0
2020-05-03,276.0
2020-05-04,279.0
2020-05-05,386.0
2020-05-06,402.0
2020-05-07,238.0
2020-05-08,581.0
2020-05-09,434.0
2020-05-10,159.0
2020-05-11,261.0
2020-05-12,356.0
2020-05-13,440.0
2020-05-14,498.0
2020-05-15,495.0
2020-05-16,462.0
2020-05-17,306.0
2020-05-18,233.0
2020-05-19,396.0
2020-05-20,331.0
2020-05-21,418.0
2020-05-22,293.0
2020-05-23,431.0
2020-05-24,300.0
2020-05-25,222.0
2020-05-26,222.0
2020-05-27,479.0
2020-05-28,501.0
2020-05-29,702.0
2020-05-30,790.0
2020-05-31,681.0
2020-06-01,187.0
2020-06-02,1127.0
2020-06-03,973.0
2020-06-04,530.0
2020-06-05,1579.0
2020-06-06,1119.0
2020-06-07,1438.0
2020-06-08,789.0
2020-06-09,618.0
2020-06-10,1556.0
2020-06-11,1412.0
2020-06-12,1654.0
2020-06-13,1540.0
2020-06-14,1233.0
2020-06-15,1014.0
2020-06-16,2392.0
2020-06-17,1827.0
2020-06-18,2519.0
2020-06-19,3246.0
2020-06-20,3109.0
2020-06-21,2592.0
2020-06-22,2196.0
2020-06-23,3593.0
2020-06-24,1795.0
2020-06-25,3056.0
2020-06-26,3428.0
2020-06-27,3593.0
2020-06-28,3857.0
2020-06-29,625.0
2020-06-30,4682.0
2020-07-01,4877.0
2020-07-02,3333.0
2020-07-03,4433.0
2020-07-04,2695.0
2020-07-05,3536.0
2020-07-06,3352.0
2020-07-07,3653.0
2020-07-08,3520.0
2020-07-09,4057.0
2020-07-10,4221.0
2020-07-11,3038.0
2020-07-12,2537.0
2020-07-13,1357.0
2020-07-14,4273.0
2020-07-15,3257.0
2020-07-16,3259.0
2020-07-17,3910.0
2020-07-18,2742.0
2020-07-19,2359.0
2020-07-20,1559.0
2020-07-21,3500.0
2020-07-22,1926.0
2020-07-23,2335.0
2020-07-24,3357.0
2020-07-25,3740.0
2020-07-26,1973.0
2020-07-27,1813.0
2020-07-28,2107.0
2020-07-29,2339.0
2020-07-30,2525.0
2020-07-31,3212.0
2020-08-01,3012.0
2020-08-02,1445.0
2020-08-03,1030.0
2020-08-04,1008.0
2020-08-05,1698.0
2020-08-06,1444.0
2020-08-07,1406.0
2020-08-08,1054.0
2020-08-09,816.0
2020-08-10,600.0
2020-08-11,1214.0
2020-08-12,706.0
2020-08-13,1351.0
2020-08-14,927.0
2020-08-15,933.0
2020-08-16,883.0
2020-08-17,468.0
2020-08-18,915.0
2020-08-19,637.0
2020-08-20,723.0
2020-08-21,619.0
2020-08-22,996.0
2020-08-23,208.0
2020-08-24,311.0
2020-08-25,859.0
2020-08-26,186.0
2020-08-27,680.0
2020-08-28,519.0
2020-08-29,629.0
2020-08-30,374.0
2020-08-31,174.0
2020-09-01,507.0
2020-09-02,519.0
2020-09-03,1092.0
2020-09-04,728.0
2020-09-05,835.0
2020-09-06,250.0
2020-09-07,198.0
2020-09-08,81.0
2020-09-09,496.0
2020-09-10,461.0
2020-09-11,521.0
2020-09-12,605.0
2020-09-13,384.0
2020-09-14,213.0
2020-09-15,484.0
2020-09-16,698.0
2020-09-17,1753.0
2020-09-18,1282.0
2020-09-19,609.0
2020-09-20,467.0
2020-09-21,233.0
2020-09-22,595.0
2020-09-23,438.0
2020-09-24,568.0
2020-09-25,515.0
2020-09-26,459.0
2020-09-27,411.0
2020-09-28,273.0
2020-09-29,674.0
2020-09-30,323.0
2020-10-01,705.0
2020-10-02,551.0
2020-10-03,636.0
2020-10-04,355.0
2020-10-05,316.0
2020-10-06,864.0
2020-10-07,604.0
2020-10-08,863.0
2020-10-09,683.0
2020-10-10,894.0
2020-10-11,597.0
2020-10-12,475.0
2020-10-13,684.0
2020-10-14,901.0
2020-10-15,1113.0
2020-10-16,738.0
2020-10-17,921.0
2020-10-18,742.0
2020-10-19,748.0
2020-10-20,1040.0
2020-10-21,975.0
2020-10-22,994.0
2020-10-23,976.0
2020-10-24,890.0
2020-10-25,1391.0
2020-10-26,801.0
2020-10-27,1158.0
2020-10-28,1043.0
2020-10-29,1315.0
2020-10-30,1565.0
2020-10-31,1901.0
2020-11-01,1527.0
2020-11-02,666.0
2020-11-03,1679.0
2020-11-04,815.0
2020-11-05,2135.0
2020-11-06,1996.0
2020-11-07,2575.0
2020-11-08,1925.0
2020-11-09,435.0
2020-11-10,3434.0
2020-11-11,2030.0
2020-11-12,1399.0
2020-11-13,3015.0
2020-11-14,3476.0
2020-11-15,2383.0
2020-11-16,1476.0
2020-11-17,2984.0
2020-11-18,3206.0
2020-11-19,4123.0
2020-11-20,4471.0
2020-11-21,3638.0
2020-11-22,4331.0
2020-11-23,2659.0
2020-11-24,4544.0
2020-11-25,3982.0
2020-11-26,3476.0
2020-11-27,4312.0
2020-11-28,4136.0
2020-11-29,3221.0
