Date,New Cases
2020-03-01,0.0
2020-03-02,9.0
2020-03-03,8.0
2020-03-04,7.0
2020-03-05,9.0
2020-03-06,11.0
2020-03-07,0.0
2020-03-08,54.0
2020-03-09,25.0
2020-03-10,17.0
2020-03-11,23.0
2020-03-12,49.0
2020-03-13,40.0
2020-03-14,47.0
2020-03-15,58.0
2020-03-16,78.0
2020-03-17,149.0
2020-03-18,56.0
2020-03-19,330.0
2020-03-20,322.0
2020-03-21,230.0
2020-03-22,175.0
2020-03-23,222.0
2020-03-24,580.0
2020-03-25,471.0
2020-03-26,795.0
2020-03-27,953.0
2020-03-28,529.0
2020-03-29,480.0
2020-03-30,1170.0
2020-03-31,1222.0
2020-04-01,24.0
2020-04-02,1036.0
2020-04-03,2833.0
2020-04-04,2.0
2020-04-05,1412.0
2020-04-06,898.0
2020-04-07,1529.0
2020-04-08,1092.0
2020-04-09,1352.0
2020-04-10,1163.0
2020-04-11,1143.0
2020-04-12,1179.0
2020-04-13,554.0
2020-04-14,990.0
2020-04-15,1086.0
2020-04-16,1758.0
2020-04-17,1346.0
2020-04-18,1435.0
2020-04-19,0.0
2020-04-20,2015.0
2020-04-21,2283.0
2020-04-22,2135.0
2020-04-23,1973.0
2020-04-24,1885.0
2020-04-25,1883.0
2020-04-26,1027.0
2020-04-27,1300.0
2020-04-28,1567.0
2020-04-29,1469.0
2020-04-30,2417.0
2020-05-01,1525.0
2020-05-02,1755.0
2020-05-03,1419.0
2020-05-04,1321.0
2020-05-05,1275.0
2020-05-06,2603.0
2020-05-07,1799.0
2020-05-08,1898.0
2020-05-09,2049.0
2020-05-10,2119.0
2020-05-11,1259.0
2020-05-12,1443.0
2020-05-13,1759.0
2020-05-14,2023.0
2020-05-15,1772.0
2020-05-16,1857.0
2020-05-17,2046.0
2020-05-18,1591.0
2020-05-19,1365.0
2020-05-20,2262.0
2020-05-21,2140.0
2020-05-22,2247.0
2020-05-23,2187.0
2020-05-24,2079.0
2020-05-25,1848.0
2020-05-26,2175.0
2020-05-27,2247.0
2020-05-28,2717.0
2020-05-29,2189.0
2020-05-30,2992.0
2020-05-31,3705.0
2020-06-01,2423.0
2020-06-02,2304.0
2020-06-03,2377.0
2020-06-04,2120.0
2020-06-05,3094.0
2020-06-06,3115.0
2020-06-07,2796.0
2020-06-08,2507.0
2020-06-09,2170.0
2020-06-10,2702.0
2020-06-11,3090.0
