Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,1.0
2020-03-06,1.0
2020-03-07,6.0
2020-03-08,0.0
2020-03-09,4.0
2020-03-10,5.0
2020-03-11,17.0
2020-03-12,15.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,95.0
2020-03-16,16.0
2020-03-17,23.0
2020-03-18,33.0
2020-03-19,61.0
2020-03-20,86.0
2020-03-21,112.0
2020-03-22,116.0
2020-03-23,129.0
2020-03-24,201.0
2020-03-25,165.0
2020-03-26,344.0
2020-03-27,304.0
2020-03-28,327.0
2020-03-29,246.0
2020-03-30,320.0
2020-03-31,339.0
2020-04-01,376.0
2020-04-02,386.0
2020-04-03,445.0
2020-04-04,392.0
2020-04-05,385.0
2020-04-06,222.0
2020-04-07,257.0
2020-04-08,226.0
2020-04-09,547.0
2020-04-10,163.0
2020-04-11,528.0
2020-04-12,410.0
2020-04-13,388.0
2020-04-14,250.0
2020-04-15,339.0
2020-04-16,302.0
2020-04-17,465.0
2020-04-18,386.0
2020-04-19,201.0
2020-04-20,385.0
2020-04-21,349.0
2020-04-22,457.0
2020-04-23,357.0
2020-04-24,1002.0
2020-04-25,684.0
2020-04-26,482.0
2020-04-27,448.0
2020-04-28,440.0
2020-04-29,437.0
2020-04-30,507.0
2020-05-01,486.0
2020-05-02,452.0
2020-05-03,414.0
2020-05-04,344.0
2020-05-05,439.0
2020-05-06,421.0
2020-05-07,580.0
2020-05-08,475.0
2020-05-09,523.0
2020-05-10,316.0
2020-05-11,103.0
2020-05-12,356.0
2020-05-13,310.0
2020-05-14,361.0
2020-05-15,369.0
2020-05-16,380.0
2020-05-17,286.0
2020-05-18,298.0
2020-05-19,304.0
2020-05-20,353.0
2020-05-21,369.0
2020-05-22,334.0
2020-05-23,482.0
2020-05-24,200.0
2020-05-25,89.0
2020-05-26,277.0
2020-05-27,492.0
2020-05-28,126.0
2020-05-29,492.0
2020-05-30,485.0
2020-05-31,280.0
2020-06-01,199.0
2020-06-02,211.0
2020-06-03,272.0
2020-06-04,300.0
2020-06-05,255.0
2020-06-06,233.0
2020-06-07,153.0
2020-06-08,182.0
2020-06-09,164.0
2020-06-10,152.0
2020-06-11,148.0
2020-06-12,175.0
2020-06-13,195.0
2020-06-14,113.0
2020-06-15,169.0
2020-06-16,143.0
2020-06-17,231.0
2020-06-18,228.0
2020-06-19,286.0
2020-06-20,162.0
2020-06-21,190.0
2020-06-22,166.0
2020-06-23,188.0
2020-06-24,262.0
2020-06-25,324.0
2020-06-26,317.0
2020-06-27,226.0
2020-06-28,285.0
2020-06-29,204.0
2020-06-30,204.0
2020-07-01,314.0
2020-07-02,323.0
2020-07-03,260.0
2020-07-04,254.0
2020-07-05,199.0
2020-07-06,192.0
2020-07-07,407.0
2020-07-08,452.0
2020-07-09,409.0
2020-07-10,666.0
2020-07-11,400.0
2020-07-12,322.0
2020-07-13,329.0
2020-07-14,444.0
2020-07-15,469.0
2020-07-16,571.0
2020-07-17,618.0
2020-07-18,444.0
2020-07-19,354.0
2020-07-20,424.0
2020-07-21,493.0
2020-07-22,639.0
2020-07-23,616.0
2020-07-24,666.0
2020-07-25,809.0
2020-07-26,547.0
2020-07-27,229.0
2020-07-28,749.0
2020-07-29,482.0
2020-07-30,408.0
2020-07-31,605.0
2020-08-01,458.0
2020-08-02,449.0
2020-08-03,252.0
2020-08-04,426.0
2020-08-05,594.0
2020-08-06,448.0
2020-08-07,457.0
2020-08-08,431.0
2020-08-09,336.0
2020-08-10,379.0
2020-08-11,402.0
2020-08-12,315.0
2020-08-13,373.0
2020-08-14,409.0
2020-08-15,300.0
2020-08-16,338.0
2020-08-17,194.0
2020-08-18,261.0
2020-08-19,270.0
2020-08-20,329.0
2020-08-21,356.0
2020-08-22,297.0
2020-08-23,250.0
2020-08-24,208.0
2020-08-25,459.0
2020-08-26,194.0
2020-08-27,349.0
2020-08-28,430.0
2020-08-29,268.0
2020-08-30,182.0
2020-08-31,201.0
2020-09-01,351.0
2020-09-02,244.0
2020-09-03,268.0
2020-09-04,368.0
2020-09-05,334.0
2020-09-06,285.0
2020-09-07,213.0
2020-09-08,187.0
2020-09-09,246.0
2020-09-10,265.0
2020-09-11,307.0
2020-09-12,415.0
2020-09-13,417.0
2020-09-14,375.0
2020-09-15,400.0
2020-09-16,587.0
2020-09-17,459.0
2020-09-18,605.0
2020-09-19,606.0
2020-09-20,501.0
2020-09-21,542.0
2020-09-22,654.0
2020-09-23,616.0
2020-09-24,548.0
2020-09-25,709.0
2020-09-26,584.0
2020-09-27,569.0
2020-09-28,411.0
2020-09-29,535.0
2020-09-30,511.0
2020-10-01,682.0
2020-10-02,680.0
2020-10-03,0.0
2020-10-04,1178.0
2020-10-05,461.0
2020-10-06,654.0
2020-10-07,731.0
2020-10-08,863.0
2020-10-09,834.0
2020-10-10,1023.0
2020-10-11,819.0
2020-10-12,576.0
2020-10-13,1048.0
2020-10-14,692.0
2020-10-15,1141.0
2020-10-16,1312.0
2020-10-17,1139.0
2020-10-18,933.0
2020-10-19,1072.0
2020-10-20,1208.0
2020-10-21,1267.0
2020-10-22,1373.0
2020-10-23,1350.0
2020-10-24,1828.0
2020-10-25,1689.0
2020-10-26,2211.0
2020-10-27,1433.0
2020-10-28,1475.0
2020-10-29,1806.0
2020-10-30,2412.0
2020-10-31,2924.0
2020-11-01,0.0
2020-11-02,4797.0
2020-11-03,2562.0
2020-11-04,2928.0
2020-11-05,3369.0
2020-11-06,3463.0
2020-11-07,3498.0
2020-11-08,3017.0
2020-11-09,3553.0
2020-11-10,3890.0
2020-11-11,3975.0
2020-11-12,5197.0
2020-11-13,6439.0
2020-11-14,5196.0
2020-11-15,4183.0
2020-11-16,4296.0
2020-11-17,4331.0
2020-11-18,4650.0
2020-11-19,6107.0
2020-11-20,5765.0
2020-11-21,6113.0
2020-11-22,3921.0
2020-11-23,3689.0
2020-11-24,4150.0
2020-11-25,4191.0
2020-11-26,6053.0
2020-11-27,4270.0
2020-11-28,4330.0
2020-11-29,3489.0
2020-11-30,4133.0
2020-12-01,4405.0
2020-12-02,3862.0
2020-12-03,6037.0
2020-12-04,5013.0
