Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,1.0
2020-03-09,0.0
2020-03-10,1.0
2020-03-11,1.0
2020-03-12,4.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,19.0
2020-03-16,15.0
2020-03-17,27.0
2020-03-18,28.0
2020-03-19,63.0
2020-03-20,35.0
2020-03-21,29.0
2020-03-22,104.0
2020-03-23,88.0
2020-03-24,203.0
2020-03-25,257.0
2020-03-26,137.0
2020-03-27,279.0
2020-03-28,233.0
2020-03-29,469.0
2020-03-30,578.0
2020-03-31,557.0
2020-04-01,429.0
2020-04-02,267.0
2020-04-03,1091.0
2020-04-04,361.0
2020-04-05,399.0
2020-04-06,1231.0
2020-04-07,875.0
2020-04-08,1000.0
2020-04-09,1003.0
2020-04-10,347.0
2020-04-11,1379.0
2020-04-12,525.0
2020-04-13,1346.0
2020-04-14,608.0
2020-04-15,766.0
2020-04-16,1129.0
2020-04-17,925.0
2020-04-18,741.0
2020-04-19,412.0
2020-04-20,1853.0
2020-04-21,545.0
2020-04-22,2109.0
2020-04-23,631.0
2020-04-24,821.0
2020-04-25,661.0
2020-04-26,687.0
2020-04-27,728.0
2020-04-28,315.0
2020-04-29,455.0
2020-04-30,933.0
2020-05-01,1064.0
2020-05-02,523.0
2020-05-03,25.0
2020-05-04,661.0
2020-05-05,648.0
2020-05-06,374.0
2020-05-07,789.0
2020-05-08,627.0
2020-05-09,573.0
2020-05-10,570.0
2020-05-11,211.0
2020-05-12,568.0
2020-05-13,522.0
2020-05-14,609.0
2020-05-15,621.0
2020-05-16,618.0
2020-05-17,716.0
2020-05-18,697.0
2020-05-19,314.0
2020-05-20,587.0
2020-05-21,191.0
2020-05-22,432.0
2020-05-23,382.0
2020-05-24,446.0
2020-05-25,405.0
2020-05-26,430.0
2020-05-27,-15.0
2020-05-28,271.0
2020-05-29,203.0
2020-05-30,260.0
2020-05-31,179.0
2020-06-01,539.0
2020-06-02,239.0
2020-06-03,112.0
2020-06-04,148.0
2020-06-05,221.0
2020-06-06,358.0
2020-06-07,150.0
2020-06-08,124.0
2020-06-09,87.0
2020-06-10,168.0
2020-06-11,114.0
2020-06-12,228.0
2020-06-13,305.0
2020-06-14,94.0
2020-06-15,147.0
2020-06-16,114.0
2020-06-17,80.0
2020-06-18,11.0
2020-06-19,117.0
2020-06-20,158.0
2020-06-21,40.0
2020-06-22,27.0
2020-06-23,117.0
2020-06-24,14.0
2020-06-25,81.0
2020-06-26,65.0
2020-06-27,147.0
2020-06-28,97.0
2020-06-29,59.0
2020-06-30,152.0
2020-07-01,58.0
2020-07-02,74.0
2020-07-03,71.0
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,259.0
2020-07-07,57.0
2020-07-08,75.0
2020-07-09,101.0
2020-07-10,78.0
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,223.0
2020-07-14,20.0
2020-07-15,106.0
2020-07-16,114.0
2020-07-17,143.0
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,162.0
2020-07-21,41.0
2020-07-22,127.0
2020-07-23,9.0
2020-07-24,544.0
2020-07-25,0.0
2020-07-26,0.0
2020-07-27,207.0
2020-07-28,94.0
2020-07-29,463.0
2020-07-30,130.0
2020-07-31,140.0
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,252.0
2020-08-04,48.0
2020-08-05,115.0
2020-08-06,20.0
2020-08-07,75.0
2020-08-08,0.0
2020-08-09,0.0
2020-08-10,247.0
2020-08-11,117.0
2020-08-12,22.0
2020-08-13,76.0
2020-08-14,115.0
2020-08-15,0.0
2020-08-16,0.0
2020-08-17,370.0
2020-08-18,-12.0
2020-08-19,59.0
2020-08-20,118.0
2020-08-21,87.0
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,492.0
2020-08-25,29.0
2020-08-26,180.0
2020-08-27,130.0
2020-08-28,145.0
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,384.0
2020-09-01,127.0
2020-09-02,102.0
2020-09-03,101.0
2020-09-04,156.0
2020-09-05,0.0
2020-09-06,0.0
2020-09-07,0.0
2020-09-08,417.0
2020-09-09,89.0
2020-09-10,222.0
2020-09-11,233.0
2020-09-12,0.0
2020-09-13,0.0
2020-09-14,569.0
2020-09-15,136.0
2020-09-16,135.0
2020-09-17,220.0
2020-09-18,141.0
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,497.0
2020-09-22,136.0
2020-09-23,155.0
2020-09-24,157.0
2020-09-25,115.0
2020-09-26,0.0
2020-09-27,0.0
2020-09-28,560.0
2020-09-29,182.0
2020-09-30,221.0
2020-10-01,192.0
2020-10-02,555.0
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,823.0
2020-10-06,121.0
2020-10-07,123.0
2020-10-08,384.0
2020-10-09,290.0
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,1339.0
2020-10-13,320.0
2020-10-14,164.0
2020-10-15,167.0
2020-10-16,802.0
2020-10-17,0.0
2020-10-18,0.0
2020-10-19,1191.0
2020-10-20,434.0
2020-10-21,416.0
2020-10-22,502.0
2020-10-23,679.0
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,2047.0
2020-10-27,538.0
2020-10-28,490.0
2020-10-29,1319.0
2020-10-30,761.0
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,2651.0
2020-11-03,985.0
2020-11-04,530.0
2020-11-05,1687.0
2020-11-06,1065.0
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,3338.0
2020-11-10,1524.0
2020-11-11,1754.0
2020-11-12,1158.0
2020-11-13,2746.0
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,4639.0
2020-11-17,1702.0
2020-11-18,2042.0
2020-11-19,2353.0
2020-11-20,2088.0
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,5271.0
2020-11-24,540.0
2020-11-25,1872.0
2020-11-26,0.0
2020-11-27,3429.0
2020-11-28,0.0
2020-11-29,0.0
2020-11-30,4714.0
2020-12-01,1459.0
2020-12-02,2672.0
2020-12-03,4751.0
2020-12-04,1538.0
2020-12-05,0.0
