Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,1.0
2020-03-12,3.0
2020-03-13,1.0
2020-03-14,3.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,8.0
2020-03-18,10.0
2020-03-19,4.0
2020-03-20,9.0
2020-03-21,6.0
2020-03-22,11.0
2020-03-23,31.0
2020-03-24,17.0
2020-03-25,15.0
2020-03-26,24.0
2020-03-27,22.0
2020-03-28,49.0
2020-03-29,18.0
2020-03-30,32.0
2020-03-31,55.0
2020-04-01,49.0
2020-04-02,25.0
2020-04-03,57.0
2020-04-04,143.0
2020-04-05,80.0
2020-04-06,110.0
2020-04-07,145.0
2020-04-08,188.0
2020-04-09,93.0
2020-04-10,117.0
2020-04-11,153.0
2020-04-12,146.0
2020-04-13,136.0
2020-04-14,165.0
2020-04-15,88.0
2020-04-16,61.0
2020-04-17,248.0
2020-04-18,215.0
2020-04-19,207.0
2020-04-20,0.0
2020-04-21,455.0
2020-04-22,108.0
2020-04-23,134.0
2020-04-24,0.0
2020-04-25,134.0
2020-04-26,586.0
2020-04-27,413.0
2020-04-28,80.0
2020-04-29,79.0
2020-04-30,0.0
2020-05-01,184.0
2020-05-02,120.0
2020-05-03,170.0
2020-05-04,80.0
2020-05-05,83.0
2020-05-06,407.0
2020-05-07,333.0
2020-05-08,0.0
2020-05-09,336.0
2020-05-10,118.0
2020-05-11,176.0
2020-05-12,211.0
2020-05-13,271.0
2020-05-14,150.0
2020-05-15,0.0
2020-05-16,174.0
2020-05-17,322.0
2020-05-18,168.0
2020-05-19,157.0
2020-05-20,192.0
2020-05-21,143.0
2020-05-22,161.0
2020-05-23,0.0
2020-05-24,119.0
2020-05-25,258.0
2020-05-26,29.0
2020-05-27,75.0
2020-05-28,65.0
2020-05-29,186.0
2020-05-30,76.0
2020-05-31,108.0
2020-06-01,79.0
2020-06-02,27.0
2020-06-03,34.0
2020-06-04,27.0
2020-06-05,72.0
2020-06-06,97.0
2020-06-07,30.0
2020-06-08,48.0
2020-06-09,36.0
2020-06-10,51.0
2020-06-11,66.0
2020-06-12,56.0
2020-06-13,35.0
2020-06-14,76.0
2020-06-15,63.0
2020-06-16,41.0
2020-06-17,56.0
2020-06-18,111.0
2020-06-19,0.0
2020-06-20,164.0
2020-06-21,47.0
2020-06-22,25.0
2020-06-23,42.0
2020-06-24,91.0
2020-06-25,37.0
2020-06-26,90.0
2020-06-27,146.0
2020-06-28,163.0
2020-06-29,-40.0
2020-06-30,134.0
2020-07-01,229.0
2020-07-02,-8.0
2020-07-03,192.0
2020-07-04,205.0
2020-07-05,220.0
2020-07-06,121.0
2020-07-07,56.0
2020-07-08,85.0
2020-07-09,141.0
2020-07-10,106.0
2020-07-11,121.0
2020-07-12,-99.0
2020-07-13,90.0
2020-07-14,81.0
2020-07-15,64.0
2020-07-16,223.0
2020-07-17,92.0
2020-07-18,0.0
2020-07-19,90.0
2020-07-20,227.0
2020-07-21,46.0
2020-07-22,132.0
2020-07-23,0.0
2020-07-24,278.0
2020-07-25,-27.0
2020-07-26,231.0
2020-07-27,70.0
2020-07-28,126.0
2020-07-29,87.0
2020-07-30,0.0
2020-07-31,188.0
2020-08-01,0.0
2020-08-02,72.0
2020-08-03,106.0
2020-08-04,241.0
2020-08-05,69.0
2020-08-06,0.0
2020-08-07,137.0
2020-08-08,73.0
2020-08-09,59.0
2020-08-10,0.0
2020-08-11,65.0
2020-08-12,268.0
2020-08-13,0.0
2020-08-14,429.0
2020-08-15,55.0
2020-08-16,85.0
2020-08-17,0.0
2020-08-18,107.0
2020-08-19,75.0
2020-08-20,52.0
2020-08-21,61.0
2020-08-22,64.0
2020-08-23,47.0
2020-08-24,20.0
2020-08-25,24.0
2020-08-26,-10.0
2020-08-27,0.0
2020-08-28,373.0
2020-08-29,107.0
2020-08-30,-113.0
2020-08-31,192.0
2020-09-01,0.0
2020-09-02,118.0
2020-09-03,99.0
2020-09-04,140.0
2020-09-05,151.0
2020-09-06,206.0
2020-09-07,59.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,158.0
2020-09-11,93.0
2020-09-12,290.0
2020-09-13,88.0
2020-09-14,184.0
2020-09-15,16.0
2020-09-16,97.0
2020-09-17,144.0
2020-09-18,71.0
2020-09-19,0.0
2020-09-20,218.0
2020-09-21,0.0
2020-09-22,94.0
2020-09-23,186.0
2020-09-24,0.0
2020-09-25,138.0
2020-09-26,175.0
2020-09-27,129.0
2020-09-28,142.0
2020-09-29,0.0
2020-09-30,82.0
2020-10-01,324.0
2020-10-02,188.0
2020-10-03,118.0
2020-10-04,120.0
2020-10-05,0.0
2020-10-06,103.0
2020-10-07,84.0
2020-10-08,132.0
2020-10-09,145.0
2020-10-10,303.0
2020-10-11,0.0
2020-10-12,264.0
2020-10-13,0.0
2020-10-14,71.0
2020-10-15,95.0
2020-10-16,164.0
2020-10-17,218.0
2020-10-18,254.0
2020-10-19,0.0
2020-10-20,129.0
2020-10-21,203.0
2020-10-22,159.0
2020-10-23,0.0
2020-10-24,160.0
2020-10-25,321.0
2020-10-26,0.0
2020-10-27,81.0
2020-10-28,143.0
2020-10-29,161.0
2020-10-30,398.0
2020-10-31,175.0
2020-11-01,185.0
2020-11-02,115.0
2020-11-03,108.0
2020-11-04,219.0
2020-11-05,0.0
2020-11-06,505.0
2020-11-07,0.0
2020-11-08,345.0
2020-11-09,509.0
2020-11-10,230.0
2020-11-11,0.0
2020-11-12,204.0
2020-11-13,470.0
2020-11-14,379.0
2020-11-15,408.0
2020-11-16,749.0
2020-11-17,203.0
2020-11-18,398.0
2020-11-19,0.0
2020-11-20,663.0
2020-11-21,505.0
2020-11-22,487.0
2020-11-23,856.0
2020-11-24,0.0
2020-11-25,331.0
2020-11-26,584.0
2020-11-27,1091.0
2020-11-28,581.0
2020-11-29,403.0
2020-11-30,689.0
2020-12-01,0.0
2020-12-02,355.0
2020-12-03,758.0
2020-12-04,942.0
2020-12-05,698.0
2020-12-06,816.0
2020-12-07,799.0
2020-12-08,1682.0
