Date,New Cases
2020-03-01,0.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,0.0
2020-03-05,1.0
2020-03-06,0.0
2020-03-07,3.0
2020-03-08,0.0
2020-03-09,13.0
2020-03-10,0.0
2020-03-11,7.0
2020-03-12,5.0
2020-03-13,0.0
2020-03-14,24.0
2020-03-15,81.0
2020-03-16,6.0
2020-03-17,53.0
2020-03-18,104.0
2020-03-19,94.0
2020-03-20,117.0
2020-03-21,196.0
2020-03-22,231.0
2020-03-23,204.0
2020-03-24,232.0
2020-03-25,488.0
2020-03-26,491.0
2020-03-27,702.0
2020-03-28,823.0
2020-03-29,891.0
2020-03-30,721.0
2020-03-31,1001.0
2020-04-01,1005.0
2020-04-02,1199.0
2020-04-03,1231.0
2020-04-04,1248.0
2020-04-05,788.0
2020-04-06,1253.0
2020-04-07,1088.0
2020-04-08,932.0
2020-04-09,1089.0
2020-04-10,1125.0
2020-04-11,997.0
2020-04-12,892.0
2020-04-13,1057.0
2020-04-14,590.0
2020-04-15,881.0
2020-04-16,809.0
2020-04-17,1392.0
2020-04-18,731.0
2020-04-19,801.0
2020-04-20,731.0
2020-04-21,798.0
2020-04-22,664.0
2020-04-23,1052.0
2020-04-24,864.0
2020-04-25,289.0
2020-04-26,684.0
2020-04-27,610.0
2020-04-28,696.0
2020-04-29,332.0
2020-04-30,1372.0
2020-05-01,1038.0
2020-05-02,735.0
2020-05-03,506.0
2020-05-04,928.0
2020-05-05,542.0
2020-05-06,563.0
2020-05-07,826.0
2020-05-08,371.0
2020-05-09,802.0
2020-05-10,-113.0
2020-05-11,1094.0
2020-05-12,941.0
2020-05-13,479.0
2020-05-14,808.0
2020-05-15,-270.0
2020-05-16,1871.0
2020-05-17,777.0
2020-05-18,854.0
2020-05-19,502.0
2020-05-20,527.0
2020-05-21,1204.0
2020-05-22,776.0
2020-05-23,676.0
2020-05-24,740.0
2020-05-25,879.0
2020-05-26,509.0
2020-05-27,379.0
2020-05-28,-716.0
2020-05-29,1196.0
2020-05-30,915.0
2020-05-31,735.0
2020-06-01,651.0
2020-06-02,586.0
2020-06-03,1292.0
2020-06-04,1408.0
2020-06-05,1292.0
2020-06-06,1253.0
2020-06-07,1170.0
2020-06-08,962.0
2020-06-09,1070.0
2020-06-10,1331.0
2020-06-11,1677.0
2020-06-12,1885.0
2020-06-13,2248.0
2020-06-14,2061.0
2020-06-15,1738.0
2020-06-16,2740.0
2020-06-17,2548.0
2020-06-18,3178.0
2020-06-19,3789.0
2020-06-20,4027.0
2020-06-21,3469.0
2020-06-22,2908.0
2020-06-23,3256.0
2020-06-24,5440.0
2020-06-25,4981.0
2020-06-26,8850.0
2020-06-27,9518.0
2020-06-28,8475.0
2020-06-29,5238.0
2020-06-30,5976.0
2020-07-01,6507.0
2020-07-02,10015.0
2020-07-03,9415.0
2020-07-04,11372.0
2020-07-05,9986.0
2020-07-06,6300.0
2020-07-07,7218.0
2020-07-08,9882.0
2020-07-09,8891.0
2020-07-10,11343.0
2020-07-11,10274.0
