Date,New Cases
2020-03-01,0.0
2020-03-02,1.0
2020-03-03,2.0
2020-03-04,2.0
2020-03-05,-5.0
2020-03-06,6.0
2020-03-07,3.0
2020-03-08,6.0
2020-03-09,9.0
2020-03-10,13.0
2020-03-11,16.0
2020-03-12,33.0
2020-03-13,27.0
2020-03-14,24.0
2020-03-15,52.0
2020-03-16,49.0
2020-03-17,43.0
2020-03-18,95.0
2020-03-19,115.0
2020-03-20,122.0
2020-03-21,86.0
2020-03-22,155.0
2020-03-23,221.0
2020-03-24,182.0
2020-03-25,281.0
2020-03-26,303.0
2020-03-27,524.0
2020-03-28,225.0
2020-03-29,243.0
2020-03-30,389.0
2020-03-31,1012.0
2020-04-01,570.0
2020-04-02,637.0
2020-04-03,488.0
2020-04-04,422.0
2020-04-05,296.0
2020-04-06,739.0
2020-04-07,1562.0
2020-04-08,1130.0
2020-04-09,613.0
2020-04-10,934.0
2020-04-11,419.0
2020-04-12,157.0
2020-04-13,1086.0
2020-04-14,844.0
2020-04-15,686.0
2020-04-16,989.0
2020-04-17,908.0
2020-04-18,352.0
2020-04-19,505.0
2020-04-20,843.0
2020-04-21,612.0
2020-04-22,897.0
2020-04-23,931.0
2020-04-24,681.0
2020-04-25,686.0
2020-04-26,271.0
2020-04-27,774.0
2020-04-28,582.0
2020-04-29,854.0
2020-04-30,537.0
2020-05-01,935.0
2020-05-02,381.0
2020-05-03,284.0
2020-05-04,753.0
2020-05-05,602.0
2020-05-06,802.0
2020-05-07,821.0
2020-05-08,544.0
2020-05-09,307.0
2020-05-10,876.0
2020-05-11,459.0
2020-05-12,768.0
2020-05-13,558.0
2020-05-14,326.0
2020-05-15,613.0
2020-05-16,562.0
2020-05-17,623.0
2020-05-18,662.0
2020-05-19,772.0
2020-05-20,780.0
2020-05-21,687.0
2020-05-22,1031.0
2020-05-23,979.0
2020-05-24,724.0
2020-05-25,532.0
2020-05-26,350.0
2020-05-27,709.0
2020-05-28,838.0
2020-05-29,626.0
2020-05-30,738.0
2020-05-31,729.0
2020-06-01,889.0
2020-06-02,578.0
2020-06-03,723.0
2020-06-04,942.0
2020-06-05,799.0
2020-06-06,583.0
2020-06-07,524.0
2020-06-08,648.0
2020-06-09,808.0
2020-06-10,804.0
2020-06-11,1101.0
2020-06-12,963.0
2020-06-13,1043.0
2020-06-14,852.0
2020-06-15,851.0
2020-06-16,870.0
2020-06-17,1094.0
2020-06-18,1023.0
2020-06-19,1267.0
2020-06-20,1814.0
2020-06-21,885.0
2020-06-22,1271.0
2020-06-23,1860.0
2020-06-24,1835.0
2020-06-25,1743.0
2020-06-26,2076.0
2020-06-27,1952.0
2020-06-28,2186.0
2020-06-29,2105.0
2020-06-30,1976.0
2020-07-01,3011.0
2020-07-02,3545.0
2020-07-03,2811.0
2020-07-04,2728.0
2020-07-05,2120.0
2020-07-06,1642.0
2020-07-07,3466.0
2020-07-08,3495.0
2020-07-09,2838.0
2020-07-10,4623.0
2020-07-11,3201.0
2020-07-12,2571.0
2020-07-13,3790.0
