Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,1.0
2020-03-08,1.0
2020-03-13,2.0
2020-03-14,3.0
2020-03-15,3.0
2020-03-16,1.0
2020-03-17,5.0
2020-03-18,6.0
2020-03-19,17.0
2020-03-20,10.0
2020-03-21,10.0
2020-03-22,20.0
2020-03-23,14.0
2020-03-24,9.0
2020-03-25,17.0
2020-03-26,17.0
2020-03-27,35.0
2020-03-28,28.0
2020-03-29,31.0
2020-03-30,22.0
2020-03-31,31.0
2020-04-01,28.0
2020-04-02,39.0
2020-04-03,23.0
2020-04-04,15.0
2020-04-05,18.0
2020-04-06,22.0
2020-04-07,21.0
2020-04-08,9.0
2020-04-09,11.0
2020-04-10,20.0
2020-04-11,14.0
2020-04-12,4.0
2020-04-13,6.0
2020-04-14,11.0
2020-04-15,11.0
2020-04-16,9.0
2020-04-17,20.0
2020-04-18,8.0
2020-04-19,4.0
2020-04-20,2.0
2020-04-21,6.0
2020-04-22,5.0
2020-04-23,3.0
2020-04-24,2.0
2020-04-25,2.0
2020-04-26,1.0
2020-04-27,1.0
2020-04-28,4.0
2020-04-29,4.0
2020-04-30,1.0
2020-05-02,3.0
2020-05-03,1.0
2020-05-04,3.0
2020-05-05,1.0
2020-05-06,2.0
2020-05-08,2.0
2020-05-09,1.0
2020-05-10,2.0
2020-05-11,1.0
2020-05-12,3.0
2020-05-15,2.0
2020-05-16,1.0
2020-05-18,1.0
2020-05-19,1.0
2020-05-20,4.0
2020-05-22,1.0
2020-05-27,2.0
2020-05-28,3.0
2020-05-29,3.0
2020-06-01,1.0
2020-06-02,1.0
2020-06-03,1.0
2020-06-04,6.0
2020-06-05,8.0
2020-06-06,1.0
2020-06-07,1.0
2020-06-08,6.0
2020-06-09,4.0
2020-06-10,6.0
2020-06-11,15.0
2020-06-12,17.0
2020-06-13,5.0
2020-06-14,8.0
2020-06-15,3.0
2020-06-16,5.0
2020-06-17,18.0
2020-06-18,26.0
2020-06-19,12.0
2020-06-20,10.0
2020-06-21,4.0
2020-06-22,3.0
2020-06-23,13.0
2020-06-24,15.0
2020-06-25,16.0
2020-06-26,6.0
2020-06-27,26.0
2020-06-28,2.0
2020-06-29,18.0
2020-06-30,7.0
2020-07-01,20.0
2020-07-02,28.0
2020-07-03,24.0
2020-07-04,25.0
2020-07-05,7.0
2020-07-06,41.0
2020-07-07,22.0
2020-07-08,34.0
2020-07-09,27.0
2020-07-10,41.0
2020-07-11,20.0
2020-07-12,20.0
2020-07-13,22.0
2020-07-14,28.0
2020-07-15,19.0
2020-07-16,23.0
2020-07-17,19.0
2020-07-18,28.0
2020-07-19,12.0
2020-07-20,24.0
2020-07-21,17.0
2020-07-22,54.0
2020-07-23,58.0
2020-07-24,70.0
2020-07-25,64.0
2020-07-26,28.0
2020-07-27,47.0
2020-07-28,110.0
2020-07-29,123.0
2020-07-30,122.0
2020-07-31,87.0
2020-08-01,45.0
2020-08-02,207.0
2020-08-03,143.0
2020-08-04,171.0
2020-08-05,149.0
2020-08-06,201.0
2020-08-07,229.0
2020-08-08,151.0
2020-08-09,140.0
2020-08-10,120.0
2020-08-11,199.0
2020-08-12,353.0
2020-08-13,232.0
2020-08-14,283.0
2020-08-15,219.0
2020-08-16,174.0
2020-08-17,134.0
2020-08-18,261.0
2020-08-19,235.0
2020-08-20,230.0
2020-08-21,280.0
2020-08-22,247.0
2020-08-23,169.0
2020-08-24,215.0
2020-08-25,275.0
2020-08-26,306.0
2020-08-27,263.0
2020-08-28,310.0
2020-08-29,200.0
2020-08-30,130.0
2020-08-31,179.0
2020-09-01,339.0
2020-09-02,208.0
2020-09-03,267.0
2020-09-04,219.0
2020-09-05,161.0
2020-09-06,104.0
2020-09-07,66.0
2020-09-08,100.0
2020-09-09,167.0
2020-09-10,167.0
2020-09-11,127.0
2020-09-12,114.0
2020-09-13,80.0
2020-09-14,65.0
2020-09-15,98.0
2020-09-16,156.0
2020-09-17,119.0
2020-09-18,112.0
2020-09-19,77.0
2020-09-20,55.0
2020-09-21,64.0
2020-09-22,167.0
2020-09-23,90.0
2020-09-24,111.0
2020-09-25,127.0
2020-09-26,95.0
2020-09-27,90.0
2020-09-28,85.0
2020-09-29,121.0
2020-09-30,107.0
2020-10-01,86.0
2020-10-02,133.0
2020-10-03,69.0
2020-10-04,51.0
2020-10-05,81.0
2020-10-06,109.0
2020-10-07,101.0
2020-10-08,0.0
2020-10-09,153.0
2020-10-10,108.0
2020-10-11,64.0
2020-10-12,42.0
2020-10-13,61.0
2020-10-14,98.0
2020-10-15,88.0
2020-10-16,89.0
2020-10-17,94.0
2020-10-18,82.0
2020-10-19,35.0
2020-10-20,84.0
2020-10-21,77.0
2020-10-22,99.0
2020-10-23,128.0
2020-10-24,89.0
2020-10-25,117.0
2020-10-26,35.0
2020-10-27,62.0
2020-10-28,119.0
2020-10-29,7.0
2020-10-30,92.0
2020-10-31,62.0
2020-11-01,80.0
2020-11-02,72.0
2020-11-03,82.0
2020-11-04,150.0
2020-11-05,92.0
2020-11-06,113.0
2020-11-07,123.0
2020-11-08,127.0
2020-11-09,58.0
2020-11-10,69.0
2020-11-11,116.0
2020-11-12,94.0
2020-11-13,103.0
2020-11-14,105.0
2020-11-15,0.0
2020-11-16,92.0
2020-11-17,44.0
2020-11-18,62.0
2020-11-19,100.0
2020-11-20,89.0
2020-11-21,153.0
2020-11-22,120.0
2020-11-23,103.0
2020-11-24,56.0
2020-11-25,100.0
2020-11-26,117.0
2020-11-27,83.0
2020-11-28,75.0
2020-11-29,54.0
2020-11-30,81.0
2020-12-01,43.0
2020-12-02,68.0
2020-12-03,139.0
2020-12-04,100.0
2020-12-05,111.0
2020-12-06,97.0
2020-12-07,78.0
2020-12-08,53.0
2020-12-09,73.0
2020-12-10,116.0
2020-12-11,79.0
