Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,3.0
2020-03-09,5.0
2020-03-10,5.0
2020-03-11,1.0
2020-03-12,2.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,6.0
2020-03-16,1.0
2020-03-17,6.0
2020-03-18,9.0
2020-03-19,6.0
2020-03-20,1.0
2020-03-21,23.0
2020-03-22,22.0
2020-03-23,15.0
2020-03-24,19.0
2020-03-25,21.0
2020-03-26,34.0
2020-03-27,56.0
2020-03-28,63.0
2020-03-29,38.0
2020-03-30,88.0
2020-03-31,73.0
2020-04-01,52.0
2020-04-02,65.0
2020-04-03,85.0
2020-04-04,87.0
2020-04-05,82.0
2020-04-06,78.0
2020-04-07,102.0
2020-04-08,97.0
2020-04-09,125.0
2020-04-10,118.0
2020-04-11,122.0
2020-04-12,77.0
2020-04-13,123.0
2020-04-14,189.0
2020-04-15,96.0
2020-04-16,146.0
2020-04-17,191.0
2020-04-18,181.0
2020-04-19,389.0
2020-04-20,257.0
2020-04-21,482.0
2020-04-22,107.0
2020-04-23,176.0
2020-04-24,521.0
2020-04-25,647.0
2020-04-26,383.0
2020-04-27,393.0
2020-04-28,508.0
2020-04-29,467.0
2020-04-30,302.0
2020-05-01,739.0
2020-05-02,757.0
2020-05-03,528.0
2020-05-04,534.0
2020-05-05,408.0
2020-05-06,293.0
2020-05-07,655.0
2020-05-08,398.0
2020-05-09,214.0
2020-05-10,288.0
2020-05-11,414.0
2020-05-12,539.0
2020-05-13,377.0
2020-05-14,386.0
2020-05-15,374.0
2020-05-16,279.0
2020-05-17,323.0
2020-05-18,431.0
2020-05-19,267.0
2020-05-20,246.0
2020-05-21,575.0
2020-05-22,334.0
2020-05-23,394.0
2020-05-24,352.0
2020-05-25,327.0
2020-05-26,126.0
2020-05-27,654.0
2020-05-28,228.0
2020-05-29,371.0
2020-05-30,288.0
2020-05-31,308.0
2020-06-01,146.0
2020-06-02,317.0
2020-06-03,93.0
2020-06-04,696.0
2020-06-05,342.0
2020-06-06,332.0
2020-06-07,110.0
2020-06-08,400.0
2020-06-09,249.0
2020-06-10,366.0
2020-06-11,370.0
2020-06-12,375.0
2020-06-13,369.0
2020-06-14,209.0
2020-06-15,151.0
2020-06-16,102.0
2020-06-17,282.0
2020-06-18,393.0
2020-06-19,421.0
2020-06-20,221.0
2020-06-21,461.0
2020-06-22,94.0
2020-06-23,321.0
2020-06-24,333.0
2020-06-25,552.0
2020-06-26,428.0
2020-06-27,327.0
2020-06-28,477.0
2020-06-29,293.0
2020-06-30,165.0
2020-07-01,511.0
2020-07-02,751.0
2020-07-03,221.0
2020-07-04,631.0
2020-07-05,292.0
2020-07-06,304.0
2020-07-07,372.0
2020-07-08,480.0
2020-07-09,734.0
2020-07-10,653.0
2020-07-11,751.0
2020-07-12,524.0
2020-07-13,358.0
2020-07-14,321.0
2020-07-15,444.0
2020-07-16,838.0
2020-07-17,590.0
2020-07-18,319.0
2020-07-19,682.0
2020-07-20,501.0
2020-07-21,249.0
2020-07-22,527.0
2020-07-23,635.0
2020-07-24,636.0
2020-07-25,400.0
2020-07-26,528.0
2020-07-27,355.0
2020-07-28,228.0
2020-07-29,498.0
2020-07-30,759.0
2020-07-31,543.0
2020-08-01,399.0
2020-08-02,511.0
2020-08-03,353.0
2020-08-04,200.0
2020-08-05,614.0
2020-08-06,703.0
2020-08-07,503.0
2020-08-08,421.0
2020-08-09,503.0
2020-08-10,285.0
2020-08-11,255.0
2020-08-12,477.0
2020-08-13,530.0
2020-08-14,599.0
2020-08-15,858.0
2020-08-16,640.0
2020-08-17,396.0
2020-08-18,140.0
2020-08-19,311.0
2020-08-20,1253.0
2020-08-21,473.0
2020-08-22,729.0
2020-08-23,540.0
2020-08-24,356.0
2020-08-25,663.0
2020-08-26,921.0
2020-08-27,3269.0
2020-08-28,1344.0
2020-08-29,371.0
2020-08-30,1009.0
2020-08-31,615.0
2020-09-01,625.0
2020-09-02,818.0
2020-09-03,885.0
2020-09-04,1105.0
2020-09-05,991.0
2020-09-06,763.0
2020-09-07,393.0
2020-09-08,462.0
2020-09-09,400.0
2020-09-10,1010.0
2020-09-11,795.0
2020-09-12,627.0
2020-09-13,809.0
2020-09-14,429.0
2020-09-15,454.0
2020-09-16,1290.0
2020-09-17,636.0
2020-09-18,1241.0
2020-09-19,828.0
2020-09-20,664.0
2020-09-21,692.0
2020-09-22,561.0
2020-09-23,1056.0
2020-09-24,1225.0
2020-09-25,1103.0
2020-09-26,903.0
2020-09-27,769.0
2020-09-28,642.0
2020-09-29,632.0
2020-09-30,1199.0
2020-10-01,1179.0
2020-10-02,1016.0
2020-10-03,939.0
2020-10-04,620.0
2020-10-05,405.0
2020-10-06,574.0
2020-10-07,1052.0
2020-10-08,1609.0
2020-10-09,1233.0
2020-10-10,1134.0
2020-10-11,1094.0
2020-10-12,509.0
2020-10-13,701.0
2020-10-14,1550.0
2020-10-15,1193.0
2020-10-16,1334.0
2020-10-17,1291.0
2020-10-18,859.0
2020-10-19,623.0
2020-10-20,946.0
2020-10-21,1112.0
2020-10-22,2008.0
2020-10-23,1087.0
2020-10-24,1733.0
2020-10-25,1213.0
2020-10-26,859.0
2020-10-27,1079.0
2020-10-28,2150.0
2020-10-29,2423.0
2020-10-30,2670.0
2020-10-31,2941.0
2020-11-01,2395.0
2020-11-02,1762.0
2020-11-03,1639.0
2020-11-04,2760.0
2020-11-05,4851.0
2020-11-06,3341.0
2020-11-07,4559.0
2020-11-08,3529.0
2020-11-09,5102.0
2020-11-10,3899.0
2020-11-11,5038.0
2020-11-12,4402.0
2020-11-13,5452.0
2020-11-14,4637.0
2020-11-15,3824.0
2020-11-16,3222.0
2020-11-17,3035.0
2020-11-18,4129.0
2020-11-19,4149.0
2020-11-20,4284.0
2020-11-21,3700.0
2020-11-22,2839.0
2020-11-23,2709.0
2020-11-24,2894.0
2020-11-25,3492.0
2020-11-26,3188.0
2020-11-27,1459.0
2020-11-28,2002.0
2020-11-29,1705.0
2020-11-30,1485.0
2020-12-01,1991.0
2020-12-02,3371.0
2020-12-03,4877.0
