Date,New Cases
2020-03-01,1.0
2020-03-02,1.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,1.0
2020-03-06,1.0
2020-03-07,0.0
2020-03-08,1.0
2020-03-09,4.0
2020-03-10,8.0
2020-03-11,8.0
2020-03-12,5.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,61.0
2020-03-16,12.0
2020-03-17,55.0
2020-03-18,128.0
2020-03-19,134.0
2020-03-20,163.0
2020-03-21,168.0
2020-03-22,296.0
2020-03-23,236.0
2020-03-24,250.0
2020-03-25,330.0
2020-03-26,673.0
2020-03-27,488.0
2020-03-28,465.0
2020-03-29,1105.0
2020-03-30,461.0
2020-03-31,937.0
2020-04-01,986.0
2020-04-02,715.0
2020-04-03,1209.0
2020-04-04,1453.0
2020-04-05,899.0
2020-04-06,1006.0
2020-04-07,1287.0
2020-04-08,1529.0
2020-04-09,1344.0
2020-04-10,1465.0
2020-04-11,1293.0
2020-04-12,1672.0
2020-04-13,1173.0
2020-04-14,1222.0
2020-04-15,1346.0
2020-04-16,1140.0
2020-04-17,1842.0
2020-04-18,1585.0
2020-04-19,1197.0
2020-04-20,1151.0
2020-04-21,1551.0
2020-04-22,2049.0
2020-04-23,1826.0
2020-04-24,2724.0
2020-04-25,2119.0
2020-04-26,2126.0
2020-04-27,1980.0
2020-04-28,2219.0
2020-04-29,2253.0
2020-04-30,2563.0
2020-05-01,3137.0
2020-05-02,2450.0
2020-05-03,2944.0
2020-05-04,2391.0
2020-05-05,2122.0
2020-05-06,2270.0
2020-05-07,2641.0
2020-05-08,2887.0
2020-05-09,2325.0
2020-05-10,1656.0
2020-05-11,1266.0
2020-05-12,4014.0
2020-05-13,1677.0
2020-05-14,3239.0
2020-05-15,2432.0
2020-05-16,2088.0
2020-05-17,1734.0
2020-05-18,2294.0
2020-05-19,1545.0
2020-05-20,2388.0
2020-05-21,2268.0
2020-05-22,2758.0
2020-05-23,2352.0
2020-05-24,2508.0
2020-05-25,1713.0
2020-05-26,1178.0
2020-05-27,1111.0
2020-05-28,1527.0
2020-05-29,1622.0
2020-05-30,1462.0
2020-05-31,1343.0
2020-06-01,974.0
2020-06-02,1614.0
2020-06-03,982.0
2020-06-04,929.0
2020-06-05,1156.0
2020-06-06,975.0
2020-06-07,867.0
2020-06-08,1382.0
2020-06-09,797.0
2020-06-10,625.0
2020-06-11,766.0
2020-06-12,732.0
2020-06-13,673.0
2020-06-14,672.0
2020-06-15,473.0
2020-06-16,623.0
2020-06-17,546.0
2020-06-18,593.0
2020-06-19,831.0
2020-06-20,634.0
2020-06-21,658.0
2020-06-22,462.0
2020-06-23,601.0
2020-06-24,715.0
2020-06-25,894.0
2020-06-26,910.0
2020-06-27,786.0
2020-06-28,646.0
2020-06-29,738.0
2020-06-30,724.0
2020-07-01,828.0
2020-07-02,0.0
2020-07-03,1806.0
2020-07-04,862.0
2020-07-05,639.0
2020-07-06,614.0
2020-07-07,587.0
2020-07-08,980.0
2020-07-09,1018.0
2020-07-10,1327.0
2020-07-11,1195.0
2020-07-12,954.0
2020-07-13,883.0
2020-07-14,707.0
2020-07-15,1187.0
2020-07-16,1257.0
2020-07-17,1427.0
2020-07-18,1276.0
2020-07-19,965.0
2020-07-20,1173.0
2020-07-21,955.0
2020-07-22,1598.0
2020-07-23,1624.0
2020-07-24,1599.0
2020-07-25,1426.0
2020-07-26,1541.0
2020-07-27,1231.0
2020-07-28,1076.0
2020-07-29,1393.0
2020-07-30,1772.0
2020-07-31,1980.0
2020-08-01,1639.0
2020-08-02,1467.0
2020-08-03,1298.0
2020-08-04,1471.0
2020-08-05,1759.0
2020-08-06,1953.0
2020-08-07,2103.0
2020-08-08,2190.0
2020-08-09,1382.0
2020-08-10,1319.0
2020-08-11,1549.0
2020-08-12,1645.0
2020-08-13,1834.0
2020-08-14,2296.0
2020-08-15,1828.0
2020-08-16,1562.0
2020-08-17,1773.0
2020-08-18,1740.0
2020-08-19,2295.0
2020-08-20,1832.0
2020-08-21,2293.0
2020-08-22,2356.0
2020-08-23,1893.0
2020-08-24,1612.0
2020-08-25,1680.0
2020-08-26,2157.0
2020-08-27,1707.0
