Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,1.0
2020-03-07,0.0
2020-03-08,1.0
2020-03-09,1.0
2020-03-10,2.0
2020-03-11,4.0
2020-03-12,3.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,7.0
2020-03-16,5.0
2020-03-17,6.0
2020-03-18,9.0
2020-03-19,17.0
2020-03-20,23.0
2020-03-21,47.0
2020-03-22,75.0
2020-03-23,58.0
2020-03-24,106.0
2020-03-25,112.0
2020-03-26,168.0
2020-03-27,336.0
2020-03-28,251.0
2020-03-29,282.0
2020-03-30,272.0
2020-03-31,373.0
2020-04-01,406.0
2020-04-02,474.0
2020-04-03,418.0
2020-04-04,496.0
2020-04-05,458.0
2020-04-06,533.0
2020-04-07,563.0
2020-04-08,436.0
2020-04-09,408.0
2020-04-10,556.0
2020-04-11,528.0
2020-04-12,493.0
2020-04-13,308.0
2020-04-14,291.0
2020-04-15,428.0
2020-04-16,587.0
2020-04-17,612.0
2020-04-18,487.0
2020-04-19,569.0
2020-04-20,476.0
2020-04-21,411.0
2020-04-22,341.0
2020-04-23,601.0
2020-04-24,641.0
2020-04-25,715.0
2020-04-26,617.0
2020-04-27,949.0
2020-04-28,627.0
2020-04-29,594.0
2020-04-30,653.0
2020-05-01,795.0
2020-05-02,665.0
2020-05-03,638.0
2020-05-04,574.0
2020-05-05,526.0
2020-05-06,837.0
2020-05-07,633.0
2020-05-08,643.0
2020-05-09,586.0
2020-05-10,394.0
2020-05-11,501.0
2020-05-12,500.0
2020-05-13,346.0
2020-05-14,580.0
2020-05-15,602.0
2020-05-16,625.0
2020-05-17,498.0
2020-05-18,477.0
2020-05-19,450.0
2020-05-20,569.0
2020-05-21,662.0
2020-05-22,473.0
2020-05-23,492.0
2020-05-24,475.0
2020-05-25,339.0
2020-05-26,363.0
2020-05-27,359.0
2020-05-28,631.0
2020-05-29,490.0
2020-05-30,653.0
2020-05-31,363.0
2020-06-01,256.0
2020-06-02,407.0
2020-06-03,475.0
2020-06-04,384.0
2020-06-05,482.0
2020-06-06,419.0
2020-06-07,400.0
2020-06-08,226.0
2020-06-09,410.0
2020-06-10,304.0
2020-06-11,411.0
2020-06-12,398.0
2020-06-13,397.0
2020-06-14,366.0
2020-06-15,521.0
2020-06-16,356.0
2020-06-17,227.0
2020-06-18,425.0
2020-06-19,308.0
2020-06-20,315.0
2020-06-21,362.0
2020-06-22,210.0
2020-06-23,238.0
2020-06-24,269.0
2020-06-25,515.0
2020-06-26,485.0
2020-06-27,435.0
2020-06-28,355.0
2020-06-29,298.0
2020-06-30,366.0
2020-07-01,358.0
2020-07-02,435.0
2020-07-03,528.0
2020-07-04,517.0
2020-07-05,576.0
2020-07-06,323.0
2020-07-07,295.0
2020-07-08,437.0
2020-07-09,512.0
2020-07-10,725.0
2020-07-11,779.0
2020-07-12,533.0
2020-07-13,425.0
2020-07-14,648.0
2020-07-15,685.0
2020-07-16,710.0
2020-07-17,733.0
2020-07-18,841.0
2020-07-19,917.0
2020-07-20,635.0
2020-07-21,710.0
2020-07-22,757.0
2020-07-23,929.0
2020-07-24,996.0
2020-07-25,922.0
2020-07-26,852.0
2020-07-27,535.0
2020-07-28,771.0
2020-07-29,621.0
2020-07-30,954.0
2020-07-31,901.0
2020-08-01,968.0
2020-08-02,735.0
2020-08-03,576.0
2020-08-04,822.0
2020-08-05,720.0
2020-08-06,1040.0
2020-08-07,1239.0
2020-08-08,1033.0
2020-08-09,1041.0
2020-08-10,664.0
2020-08-11,870.0
2020-08-12,660.0
2020-08-13,1043.0
2020-08-14,1067.0
2020-08-15,1044.0
2020-08-16,739.0
2020-08-17,591.0
2020-08-18,841.0
2020-08-19,489.0
2020-08-20,941.0
2020-08-21,1040.0
2020-08-22,1000.0
2020-08-23,615.0
2020-08-24,1660.0
2020-08-25,829.0
2020-08-26,938.0
2020-08-27,1145.0
2020-08-28,809.0
2020-08-29,1121.0
2020-08-30,879.0
2020-08-31,883.0
2020-09-01,695.0
2020-09-02,859.0
2020-09-03,1104.0
2020-09-04,1030.0
2020-09-05,1077.0
2020-09-06,843.0
2020-09-07,590.0
2020-09-08,386.0
2020-09-09,705.0
2020-09-10,758.0
2020-09-11,1262.0
2020-09-12,1056.0
2020-09-13,1243.0
2020-09-14,736.0
2020-09-15,689.0
2020-09-16,580.0
2020-09-17,837.0
2020-09-18,1037.0
2020-09-19,1076.0
2020-09-20,746.0
2020-09-21,522.0
2020-09-22,599.0
2020-09-23,711.0
2020-09-24,899.0
2020-09-25,1171.0
2020-09-26,1142.0
2020-09-27,901.0
2020-09-28,872.0
2020-09-29,744.0
2020-09-30,953.0
2020-10-01,1157.0
2020-10-02,1464.0
2020-10-03,1419.0
2020-10-04,1087.0
2020-10-05,830.0
2020-10-06,970.0
2020-10-07,1281.0
2020-10-08,1450.0
2020-10-09,1816.0
2020-10-10,1918.0
2020-10-11,1570.0
2020-10-12,1574.0
2020-10-13,1549.0
2020-10-14,1165.0
2020-10-15,1943.0
2020-10-16,2283.0
2020-10-17,2482.0
2020-10-18,1605.0
2020-10-19,1584.0
2020-10-20,1498.0
2020-10-21,1732.0
2020-10-22,2850.0
2020-10-23,2467.0
2020-10-24,2741.0
2020-10-25,2153.0
2020-10-26,1974.0
2020-10-27,1983.0
2020-10-28,2548.0
2020-10-29,3618.0
2020-10-30,3163.0
2020-10-31,3465.0
2020-11-01,2750.0
2020-11-02,3077.0
2020-11-03,2881.0
2020-11-04,3698.0
2020-11-05,4412.0
2020-11-06,4647.0
2020-11-07,4899.0
2020-11-08,4652.0
2020-11-09,4135.0
2020-11-10,4829.0
2020-11-11,5036.0
2020-11-12,6591.0
2020-11-13,5600.0
2020-11-14,8322.0
2020-11-15,6710.0
2020-11-16,5147.0
2020-11-17,5463.0
2020-11-18,6015.0
2020-11-19,7281.0
2020-11-20,6808.0
2020-11-21,6872.0
2020-11-22,6174.0
2020-11-23,5556.0
2020-11-24,5625.0
2020-11-25,5983.0
2020-11-26,6373.0
2020-11-27,5643.0
2020-11-28,4471.0
2020-11-29,4304.0
2020-11-30,5665.0
2020-12-01,5396.0
