Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,1.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,3.0
2020-03-11,0.0
2020-03-12,7.0
2020-03-13,0.0
2020-03-14,4.0
2020-03-15,5.0
2020-03-16,2.0
2020-03-17,4.0
2020-03-18,9.0
2020-03-19,8.0
2020-03-20,5.0
2020-03-21,39.0
2020-03-22,16.0
2020-03-23,21.0
2020-03-24,39.0
2020-03-25,35.0
2020-03-26,50.0
2020-03-27,54.0
2020-03-28,92.0
2020-03-29,45.0
2020-03-30,41.0
2020-03-31,111.0
2020-04-01,89.0
2020-04-02,90.0
2020-04-03,61.0
2020-04-04,86.0
2020-04-05,38.0
2020-04-06,53.0
2020-04-07,141.0
2020-04-08,197.0
2020-04-09,106.0
2020-04-10,241.0
2020-04-11,147.0
2020-04-12,123.0
2020-04-13,85.0
2020-04-14,162.0
2020-04-15,81.0
2020-04-16,138.0
2020-04-17,93.0
2020-04-18,185.0
2020-04-19,253.0
2020-04-20,90.0
2020-04-21,142.0
2020-04-22,181.0
2020-04-23,108.0
2020-04-24,298.0
2020-04-25,126.0
2020-04-26,169.0
2020-04-27,72.0
2020-04-28,229.0
2020-04-29,164.0
2020-04-30,169.0
2020-05-01,171.0
2020-05-02,0.0
2020-05-03,251.0
2020-05-04,115.0
2020-05-05,577.0
2020-05-06,112.0
2020-05-07,195.0
2020-05-08,159.0
2020-05-09,152.0
2020-05-10,0.0
2020-05-11,237.0
2020-05-12,176.0
2020-05-13,227.0
2020-05-14,145.0
2020-05-15,219.0
2020-05-16,244.0
2020-05-17,0.0
2020-05-18,247.0
2020-05-19,134.0
2020-05-20,98.0
2020-05-21,119.0
2020-05-22,140.0
2020-05-23,145.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,380.0
2020-05-27,126.0
2020-05-28,107.0
2020-05-29,280.0
2020-05-30,240.0
2020-05-31,0.0
2020-06-01,342.0
2020-06-02,139.0
2020-06-03,225.0
2020-06-04,295.0
2020-06-05,272.0
2020-06-06,310.0
2020-06-07,0.0
2020-06-08,189.0
2020-06-09,232.0
2020-06-10,175.0
2020-06-11,62.0
2020-06-12,221.0
2020-06-13,279.0
2020-06-14,0.0
2020-06-15,202.0
2020-06-16,182.0
2020-06-17,166.0
2020-06-18,202.0
2020-06-19,257.0
2020-06-20,176.0
2020-06-21,120.0
2020-06-22,89.0
2020-06-23,302.0
2020-06-24,222.0
2020-06-25,254.0
2020-06-26,242.0
2020-06-27,308.0
2020-06-28,65.0
2020-06-29,115.0
2020-06-30,277.0
2020-07-01,218.0
2020-07-02,237.0
2020-07-03,297.0
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,776.0
2020-07-07,367.0
2020-07-08,400.0
2020-07-09,326.0
2020-07-10,425.0
2020-07-11,451.0
2020-07-12,268.0
2020-07-13,264.0
2020-07-14,570.0
2020-07-15,454.0
2020-07-16,406.0
2020-07-17,522.0
2020-07-18,579.0
2020-07-19,977.0
2020-07-20,253.0
2020-07-21,646.0
2020-07-22,480.0
2020-07-23,607.0
2020-07-24,784.0
2020-07-25,833.0
2020-07-26,315.0
2020-07-27,522.0
2020-07-28,525.0
2020-07-29,601.0
2020-07-30,659.0
2020-07-31,765.0
2020-08-01,572.0
2020-08-02,462.0
2020-08-03,323.0
2020-08-04,689.0
2020-08-05,544.0
2020-08-06,513.0
2020-08-07,542.0
2020-08-08,962.0
2020-08-09,224.0
2020-08-10,272.0
2020-08-11,539.0
2020-08-12,1152.0
2020-08-13,741.0
2020-08-14,612.0
2020-08-15,632.0
2020-08-16,385.0
2020-08-17,376.0
2020-08-18,608.0
2020-08-19,627.0
2020-08-20,700.0
2020-08-21,639.0
2020-08-22,801.0
2020-08-23,463.0
2020-08-24,370.0
2020-08-25,669.0
2020-08-26,662.0
2020-08-27,748.0
2020-08-28,779.0
2020-08-29,820.0
2020-08-30,455.0
2020-08-31,364.0
2020-09-01,789.0
2020-09-02,806.0
2020-09-03,894.0
2020-09-04,792.0
2020-09-05,0.0
2020-09-06,1097.0
2020-09-07,290.0
2020-09-08,255.0
2020-09-09,658.0
2020-09-10,795.0
2020-09-11,932.0
2020-09-12,711.0
2020-09-13,530.0
2020-09-14,337.0
2020-09-15,718.0
2020-09-16,764.0
2020-09-17,606.0
2020-09-18,758.0
2020-09-19,978.0
2020-09-20,436.0
2020-09-21,375.0
2020-09-22,814.0
2020-09-23,786.0
2020-09-24,641.0
2020-09-25,908.0
2020-09-26,970.0
2020-09-27,455.0
2020-09-28,448.0
2020-09-29,917.0
2020-09-30,984.0
2020-10-01,888.0
2020-10-02,999.0
2020-10-03,1274.0
2020-10-04,616.0
2020-10-05,541.0
2020-10-06,1036.0
2020-10-07,2393.0
2020-10-08,868.0
2020-10-09,1001.0
2020-10-10,989.0
2020-10-11,847.0
2020-10-12,638.0
2020-10-13,761.0
2020-10-14,1322.0
2020-10-15,1182.0
2020-10-16,1311.0
2020-10-17,1291.0
2020-10-18,810.0
2020-10-19,640.0
2020-10-20,1297.0
2020-10-21,1452.0
2020-10-22,1303.0
2020-10-23,1449.0
2020-10-24,1732.0
2020-10-25,1462.0
2020-10-26,924.0
2020-10-27,1771.0
2020-10-28,1857.0
2020-10-29,1811.0
2020-10-30,1937.0
2020-10-31,1977.0
2020-11-01,1423.0
2020-11-02,1028.0
2020-11-03,1709.0
2020-11-04,1630.0
2020-11-05,2268.0
2020-11-06,2228.0
2020-11-07,2156.0
2020-11-08,1177.0
2020-11-09,1729.0
2020-11-10,2079.0
2020-11-11,2698.0
2020-11-12,2336.0
2020-11-13,3164.0
2020-11-14,3293.0
2020-11-15,1449.0
2020-11-16,1511.0
2020-11-17,2911.0
2020-11-18,2745.0
2020-11-19,3637.0
2020-11-20,3816.0
2020-11-21,3702.0
2020-11-22,2192.0
2020-11-23,2132.0
2020-11-24,2606.0
2020-11-25,3301.0
2020-11-26,0.0
2020-11-27,5616.0
2020-11-28,2427.0
2020-11-29,2743.0
2020-11-30,2116.0
2020-12-01,4127.0
2020-12-02,3597.0
2020-12-03,3836.0
2020-12-04,3592.0
