Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,1.0
2020-03-10,0.0
2020-03-11,7.0
2020-03-12,6.0
2020-03-13,19.0
2020-03-14,0.0
2020-03-15,68.0
2020-03-16,36.0
2020-03-17,53.0
2020-03-18,71.0
2020-03-19,131.0
2020-03-20,145.0
2020-03-21,226.0
2020-03-22,272.0
2020-03-23,137.0
2020-03-24,216.0
2020-03-25,558.0
2020-03-26,359.0
2020-03-27,441.0
2020-03-28,569.0
2020-03-29,225.0
2020-03-30,485.0
2020-03-31,1212.0
2020-04-01,1187.0
2020-04-02,2726.0
2020-04-03,1147.0
2020-04-04,2199.0
2020-04-05,514.0
2020-04-06,1857.0
2020-04-07,1417.0
2020-04-08,746.0
2020-04-09,1253.0
2020-04-10,970.0
2020-04-11,761.0
2020-04-12,581.0
2020-04-13,421.0
2020-04-14,502.0
2020-04-15,433.0
2020-04-16,581.0
2020-04-17,586.0
2020-04-18,462.0
2020-04-19,348.0
2020-04-20,595.0
2020-04-21,331.0
2020-04-22,463.0
2020-04-23,481.0
2020-04-24,342.0
2020-04-25,372.0
2020-04-26,320.0
2020-04-27,279.0
2020-04-28,218.0
2020-04-29,374.0
2020-04-30,341.0
2020-05-01,667.0
2020-05-02,429.0
2020-05-03,243.0
2020-05-04,363.0
2020-05-05,323.0
2020-05-06,330.0
2020-05-07,326.0
2020-05-08,203.0
2020-05-09,562.0
2020-05-10,183.0
2020-05-11,208.0
2020-05-12,235.0
2020-05-13,612.0
2020-05-14,827.0
2020-05-15,348.0
2020-05-16,280.0
2020-05-17,315.0
2020-05-18,334.0
2020-05-19,329.0
2020-05-20,278.0
2020-05-21,1188.0
2020-05-22,421.0
2020-05-23,115.0
2020-05-24,129.0
2020-05-25,622.0
2020-05-26,245.0
2020-05-27,443.0
2020-05-28,305.0
2020-05-29,0.0
2020-05-30,775.0
2020-05-31,234.0
2020-06-01,536.0
2020-06-02,405.0
2020-06-03,276.0
2020-06-04,429.0
2020-06-05,427.0
2020-06-06,497.0
2020-06-07,330.0
2020-06-08,234.0
2020-06-09,562.0
2020-06-10,418.0
2020-06-11,442.0
2020-06-12,523.0
2020-06-13,1288.0
2020-06-14,336.0
2020-06-15,553.0
2020-06-16,534.0
2020-06-17,928.0
2020-06-18,0.0
2020-06-19,-119.0
2020-06-20,870.0
2020-06-21,393.0
2020-06-22,461.0
2020-06-23,1356.0
2020-06-24,882.0
2020-06-25,938.0
2020-06-26,1354.0
2020-06-27,0.0
2020-06-28,1467.0
2020-06-29,845.0
2020-06-30,1014.0
2020-07-01,2083.0
2020-07-02,1383.0
2020-07-03,1728.0
2020-07-04,0.0
2020-07-05,1937.0
2020-07-06,1101.0
2020-07-07,1936.0
2020-07-08,1888.0
2020-07-09,1843.0
2020-07-10,2642.0
2020-07-11,2167.0
2020-07-12,1319.0
2020-07-13,1705.0
2020-07-14,2215.0
2020-07-15,2089.0
2020-07-16,2280.0
2020-07-17,2179.0
2020-07-18,0.0
2020-07-19,3116.0
2020-07-20,3186.0
2020-07-21,1691.0
2020-07-22,2771.0
2020-07-23,2296.0
2020-07-24,2084.0
2020-07-25,0.0
2020-07-26,3840.0
2020-07-27,2343.0
2020-07-28,1121.0
2020-07-29,1735.0
2020-07-30,1708.0
2020-07-31,1799.0
2020-08-01,0.0
2020-08-02,3467.0
2020-08-03,1099.0
2020-08-04,3615.0
2020-08-05,1482.0
2020-08-06,1303.0
2020-08-07,1500.0
2020-08-08,0.0
2020-08-09,2653.0
2020-08-10,562.0
2020-08-11,1164.0
2020-08-12,1179.0
2020-08-13,1135.0
2020-08-14,1298.0
2020-08-15,0.0
2020-08-16,1181.0
2020-08-17,567.0
2020-08-18,640.0
2020-08-19,778.0
2020-08-20,918.0
2020-08-21,899.0
2020-08-22,0.0
2020-08-23,1223.0
2020-08-24,623.0
2020-08-25,550.0
2020-08-26,1545.0
2020-08-27,677.0
2020-08-28,606.0
2020-08-29,0.0
2020-08-30,1624.0
2020-08-31,326.0
2020-09-01,689.0
2020-09-02,1151.0
2020-09-03,813.0
2020-09-04,822.0
2020-09-05,0.0
2020-09-06,1395.0
2020-09-07,309.0
2020-09-08,256.0
2020-09-09,1561.0
2020-09-10,464.0
2020-09-11,755.0
2020-09-12,0.0
2020-09-13,1281.0
2020-09-14,492.0
2020-09-15,371.0
2020-09-16,612.0
2020-09-17,478.0
2020-09-18,979.0
2020-09-19,0.0
2020-09-20,936.0
2020-09-21,243.0
2020-09-22,752.0
2020-09-23,616.0
2020-09-24,577.0
2020-09-25,706.0
2020-09-26,0.0
2020-09-27,923.0
2020-09-28,240.0
2020-09-29,533.0
2020-09-30,610.0
2020-10-01,551.0
2020-10-02,817.0
2020-10-03,0.0
2020-10-04,893.0
2020-10-05,218.0
2020-10-06,532.0
2020-10-07,2156.0
2020-10-08,524.0
2020-10-09,257.0
2020-10-10,0.0
2020-10-11,1181.0
2020-10-12,60.0
2020-10-13,682.0
2020-10-14,880.0
2020-10-15,743.0
2020-10-16,774.0
2020-10-17,0.0
2020-10-18,1143.0
2020-10-19,201.0
2020-10-20,699.0
2020-10-21,1363.0
2020-10-22,772.0
2020-10-23,699.0
2020-10-24,0.0
2020-10-25,972.0
2020-10-26,227.0
2020-10-27,922.0
2020-10-28,1098.0
2020-10-29,394.0
2020-10-30,433.0
2020-10-31,0.0
2020-11-01,1071.0
2020-11-02,275.0
2020-11-03,1153.0
2020-11-04,1016.0
2020-11-05,681.0
2020-11-06,870.0
2020-11-07,0.0
2020-11-08,1266.0
2020-11-09,391.0
2020-11-10,1330.0
2020-11-11,0.0
2020-11-12,3829.0
2020-11-13,3450.0
2020-11-14,0.0
2020-11-15,2532.0
2020-11-16,546.0
2020-11-17,2626.0
2020-11-18,2229.0
2020-11-19,2052.0
2020-11-20,4743.0
2020-11-21,0.0
2020-11-22,3483.0
2020-11-23,968.0
2020-11-24,3243.0
2020-11-25,1235.0
2020-11-26,0.0
2020-11-27,4964.0
2020-11-28,0.0
2020-11-29,1643.0
2020-11-30,169.0
2020-12-01,5326.0
