Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,1.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,5.0
2020-03-07,2.0
2020-03-08,19.0
2020-03-09,0.0
2020-03-10,63.0
2020-03-11,4.0
2020-03-12,13.0
2020-03-13,1.0
2020-03-14,0.0
2020-03-15,55.0
2020-03-16,33.0
2020-03-17,21.0
2020-03-18,38.0
2020-03-19,72.0
2020-03-20,85.0
2020-03-21,112.0
2020-03-22,121.0
2020-03-23,131.0
2020-03-24,382.0
2020-03-25,679.0
2020-03-26,579.0
2020-03-27,823.0
2020-03-28,1017.0
2020-03-29,698.0
2020-03-30,797.0
2020-03-31,868.0
2020-04-01,1118.0
2020-04-02,1228.0
2020-04-03,1436.0
2020-04-04,1334.0
2020-04-05,764.0
2020-04-06,1337.0
2020-04-07,1365.0
2020-04-08,1365.0
2020-04-09,2374.0
2020-04-10,1904.0
2020-04-11,3073.0
2020-04-12,1557.0
2020-04-13,1392.0
2020-04-14,1296.0
2020-04-15,1755.0
2020-04-16,2263.0
2020-04-17,2221.0
2020-04-18,1970.0
2020-04-19,1705.0
2020-04-20,1566.0
2020-04-21,1556.0
2020-04-22,1745.0
2020-04-23,3079.0
2020-04-24,4946.0
2020-04-25,2379.0
2020-04-26,1590.0
2020-04-27,1524.0
2020-04-28,1840.0
2020-04-29,1963.0
2020-04-30,1940.0
2020-05-01,2106.0
2020-05-02,1952.0
2020-05-03,1824.0
2020-05-04,1000.0
2020-05-05,1184.0
2020-05-06,1754.0
2020-05-07,1696.0
2020-05-08,1612.0
2020-05-09,1410.0
2020-05-10,1050.0
2020-05-11,669.0
2020-05-12,870.0
2020-05-13,1165.0
2020-05-14,1685.0
2020-05-15,1239.0
2020-05-16,1512.0
2020-05-17,1077.0
2020-05-18,1042.0
2020-05-19,873.0
2020-05-20,1045.0
2020-05-21,1114.0
2020-05-22,815.0
2020-05-23,763.0
2020-05-24,1013.0
2020-05-25,596.0
2020-05-26,422.0
2020-05-27,527.0
2020-05-28,675.0
2020-05-29,617.0
2020-05-30,789.0
2020-05-31,664.0
2020-06-01,3840.0
2020-06-02,358.0
2020-06-03,429.0
2020-06-04,471.0
2020-06-05,494.0
2020-06-06,575.0
2020-06-07,304.0
2020-06-08,190.0
2020-06-09,263.0
2020-06-10,267.0
2020-06-11,511.0
2020-06-12,392.0
2020-06-13,336.0
2020-06-14,208.0
2020-06-15,87.0
2020-06-16,195.0
2020-06-17,266.0
2020-06-18,271.0
2020-06-19,228.0
2020-06-20,286.0
2020-06-21,125.0
2020-06-22,149.0
2020-06-23,229.0
2020-06-24,172.0
2020-06-25,226.0
2020-06-26,233.0
2020-06-27,373.0
2020-06-28,224.0
2020-06-29,101.0
2020-06-30,114.0
2020-07-01,261.0
2020-07-02,195.0
2020-07-03,290.0
2020-07-04,210.0
2020-07-05,136.0
2020-07-06,163.0
2020-07-07,201.0
2020-07-08,264.0
2020-07-09,295.0
2020-07-10,213.0
2020-07-11,288.0
2020-07-12,199.0
2020-07-13,230.0
2020-07-14,303.0
2020-07-15,217.0
2020-07-16,234.0
2020-07-17,298.0
2020-07-18,359.0
2020-07-19,296.0
2020-07-20,255.0
2020-07-21,244.0
2020-07-22,287.0
2020-07-23,327.0
2020-07-24,338.0
2020-07-25,289.0
2020-07-26,363.0
2020-07-27,289.0
2020-07-28,256.0
2020-07-29,502.0
2020-07-30,414.0
2020-07-31,514.0
2020-08-01,428.0
2020-08-02,418.0
2020-08-03,199.0
2020-08-04,546.0
2020-08-05,440.0
2020-08-06,231.0
2020-08-07,417.0
2020-08-08,420.0
2020-08-09,329.0
2020-08-10,275.0
2020-08-11,392.0
2020-08-12,229.0
2020-08-13,319.0
2020-08-14,1826.0
2020-08-15,-882.0
2020-08-16,394.0
2020-08-17,249.0
2020-08-18,221.0
2020-08-19,352.0
2020-08-20,313.0
2020-08-21,431.0
2020-08-22,109.0
2020-08-23,0.0
2020-08-24,571.0
2020-08-25,349.0
2020-08-26,315.0
2020-08-27,365.0
2020-08-28,438.0
2020-08-29,421.0
2020-08-30,174.0
2020-08-31,301.0
2020-09-01,686.0
2020-09-02,288.0
2020-09-03,420.0
2020-09-04,219.0
2020-09-05,438.0
2020-09-06,370.0
2020-09-07,319.0
2020-09-08,168.0
2020-09-09,182.0
2020-09-10,363.0
2020-09-11,443.0
2020-09-12,435.0
2020-09-13,267.0
2020-09-14,235.0
2020-09-15,286.0
2020-09-16,295.0
2020-09-17,419.0
2020-09-18,431.0
2020-09-19,569.0
2020-09-20,340.0
2020-09-21,244.0
2020-09-22,143.0
2020-09-23,542.0
2020-09-24,455.0
2020-09-25,454.0
2020-09-26,515.0
2020-09-27,594.0
2020-09-28,367.0
2020-09-29,450.0
2020-09-30,510.0
2020-10-01,708.0
2020-10-02,753.0
2020-10-03,600.0
2020-10-04,626.0
2020-10-05,465.0
2020-10-06,454.0
2020-10-07,509.0
2020-10-08,409.0
2020-10-09,734.0
2020-10-10,587.0
2020-10-11,570.0
2020-10-12,765.0
2020-10-13,632.0
2020-10-14,518.0
2020-10-15,568.0
2020-10-16,702.0
2020-10-17,550.0
2020-10-18,744.0
2020-10-19,827.0
2020-10-20,821.0
2020-10-21,646.0
2020-10-22,986.0
2020-10-23,968.0
2020-10-24,1128.0
2020-10-25,1097.0
2020-10-26,1216.0
2020-10-27,1025.0
2020-10-28,1137.0
2020-10-29,1243.0
2020-10-30,1488.0
2020-10-31,1292.0
2020-11-01,1139.0
2020-11-02,725.0
2020-11-03,923.0
2020-11-04,1629.0
2020-11-05,1761.0
2020-11-06,2038.0
2020-11-07,2200.0
2020-11-08,1809.0
2020-11-09,1184.0
2020-11-10,2047.0
2020-11-11,2495.0
2020-11-12,2482.0
2020-11-13,2674.0
2020-11-14,2841.0
2020-11-15,2076.0
2020-11-16,1967.0
2020-11-17,2263.0
2020-11-18,2744.0
2020-11-19,2532.0
2020-11-20,2288.0
2020-11-21,2991.0
2020-11-22,2721.0
2020-11-23,1785.0
2020-11-24,2225.0
2020-11-25,3224.0
2020-11-26,0.0
2020-11-27,4464.0
2020-11-28,2914.0
2020-11-29,2501.0
2020-11-30,1166.0
2020-12-01,2845.0
