Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,3.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,6.0
2020-03-10,0.0
2020-03-11,3.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,25.0
2020-03-16,20.0
2020-03-17,28.0
2020-03-18,22.0
2020-03-19,42.0
2020-03-20,0.0
2020-03-21,41.0
2020-03-22,98.0
2020-03-23,0.0
2020-03-24,61.0
2020-03-25,231.0
2020-03-26,194.0
2020-03-27,0.0
2020-03-28,218.0
2020-03-29,247.0
2020-03-30,421.0
2020-03-31,0.0
2020-04-01,325.0
2020-04-02,346.0
2020-04-03,427.0
2020-04-04,367.0
2020-04-05,920.0
2020-04-06,326.0
2020-04-07,1158.0
2020-04-08,656.0
2020-04-09,783.0
2020-04-10,0.0
2020-04-11,726.0
2020-04-12,1242.0
2020-04-13,536.0
2020-04-14,560.0
2020-04-15,752.0
2020-04-16,788.0
2020-04-17,0.0
2020-04-18,736.0
2020-04-19,1376.0
2020-04-20,509.0
2020-04-21,582.0
2020-04-22,962.0
2020-04-23,879.0
2020-04-24,0.0
2020-04-25,1150.0
2020-04-26,1721.0
2020-04-27,626.0
2020-04-28,736.0
2020-04-29,893.0
2020-04-30,1730.0
2020-05-01,0.0
2020-05-02,1001.0
2020-05-03,1935.0
2020-05-04,709.0
2020-05-05,1046.0
2020-05-06,0.0
2020-05-07,2322.0
2020-05-08,1049.0
2020-05-09,1053.0
2020-05-10,786.0
2020-05-11,688.0
2020-05-12,751.0
2020-05-13,1091.0
2020-05-14,1083.0
2020-05-15,982.0
2020-05-16,836.0
2020-05-17,0.0
2020-05-18,2742.0
2020-05-19,777.0
2020-05-20,1208.0
2020-05-21,893.0
2020-05-22,1071.0
2020-05-23,818.0
2020-05-24,839.0
2020-05-25,535.0
2020-05-26,736.0
2020-05-27,1286.0
2020-05-28,1279.0
2020-05-29,1027.0
2020-05-30,763.0
2020-05-31,549.0
2020-06-01,848.0
2020-06-02,807.0
2020-06-03,876.0
2020-06-04,912.0
2020-06-05,712.0
2020-06-06,491.0
2020-06-07,431.0
2020-06-08,500.0
2020-06-09,561.0
2020-06-10,732.0
2020-06-11,416.0
2020-06-12,692.0
2020-06-13,396.0
2020-06-14,331.0
2020-06-15,377.0
2020-06-16,560.0
2020-06-17,260.0
2020-06-18,319.0
2020-06-19,408.0
2020-06-20,350.0
2020-06-21,297.0
2020-06-22,404.0
2020-06-23,330.0
2020-06-24,440.0
2020-06-25,338.0
2020-06-26,335.0
2020-06-27,327.0
2020-06-28,477.0
2020-06-29,305.0
2020-06-30,359.0
2020-07-01,505.0
2020-07-02,538.0
2020-07-03,380.0
2020-07-04,291.0
2020-07-05,272.0
2020-07-06,492.0
2020-07-07,465.0
2020-07-08,586.0
2020-07-09,463.0
2020-07-10,557.0
2020-07-11,642.0
2020-07-12,418.0
2020-07-13,733.0
2020-07-14,756.0
2020-07-15,648.0
2020-07-16,707.0
2020-07-17,835.0
2020-07-18,925.0
2020-07-19,554.0
2020-07-20,860.0
2020-07-21,627.0
2020-07-22,664.0
2020-07-23,930.0
2020-07-24,1288.0
2020-07-25,694.0
2020-07-26,1128.0
2020-07-27,648.0
2020-07-28,761.0
2020-07-29,892.0
2020-07-30,1169.0
2020-07-31,1019.0
2020-08-01,909.0
2020-08-02,870.0
2020-08-03,710.0
2020-08-04,572.0
2020-08-05,579.0
2020-08-06,801.0
2020-08-07,775.0
2020-08-08,922.0
2020-08-09,755.0
2020-08-10,585.0
2020-08-11,541.0
2020-08-12,776.0
2020-08-13,715.0
2020-08-14,818.0
2020-08-15,519.0
2020-08-16,503.0
2020-08-17,520.0
2020-08-18,414.0
2020-08-19,580.0
2020-08-20,670.0
2020-08-21,624.0
2020-08-22,579.0
2020-08-23,567.0
2020-08-24,377.0
2020-08-25,440.0
2020-08-26,577.0
2020-08-27,601.0
2020-08-28,630.0
2020-08-29,497.0
2020-08-30,458.0
2020-08-31,614.0
2020-09-01,456.0
2020-09-02,693.0
2020-09-03,819.0
2020-09-04,776.0
2020-09-05,512.0
2020-09-06,764.0
2020-09-07,356.0
2020-09-08,336.0
2020-09-09,503.0
2020-09-10,646.0
2020-09-11,809.0
2020-09-12,577.0
2020-09-13,536.0
2020-09-14,599.0
2020-09-15,643.0
2020-09-16,631.0
2020-09-17,543.0
2020-09-18,682.0
2020-09-19,412.0
2020-09-20,412.0
2020-09-21,344.0
2020-09-22,385.0
2020-09-23,503.0
2020-09-24,559.0
2020-09-25,613.0
2020-09-26,431.0
2020-09-27,477.0
2020-09-28,431.0
2020-09-29,414.0
2020-09-30,785.0
2020-10-01,712.0
2020-10-02,597.0
2020-10-03,471.0
2020-10-04,501.0
2020-10-05,413.0
2020-10-06,440.0
2020-10-07,781.0
2020-10-08,734.0
2020-10-09,636.0
2020-10-10,562.0
2020-10-11,504.0
2020-10-12,482.0
2020-10-13,575.0
2020-10-14,630.0
2020-10-15,781.0
2020-10-16,798.0
2020-10-17,530.0
2020-10-18,497.0
2020-10-19,590.0
2020-10-20,492.0
2020-10-21,743.0
2020-10-22,712.0
2020-10-23,796.0
2020-10-24,792.0
2020-10-25,565.0
2020-10-26,897.0
2020-10-27,684.0
2020-10-28,962.0
2020-10-29,927.0
2020-10-30,967.0
2020-10-31,864.0
2020-11-01,850.0
2020-11-02,771.0
2020-11-03,1000.0
2020-11-04,1198.0
2020-11-05,1541.0
2020-11-06,1410.0
2020-11-07,1081.0
2020-11-08,1375.0
2020-11-09,1338.0
2020-11-10,1714.0
2020-11-11,1477.0
2020-11-12,1869.0
2020-11-13,2321.0
2020-11-14,1840.0
2020-11-15,1726.0
2020-11-16,2149.0
2020-11-17,2018.0
2020-11-18,2910.0
2020-11-19,2353.0
2020-11-20,2885.0
2020-11-21,2168.0
2020-11-22,1658.0
2020-11-23,1667.0
2020-11-24,2697.0
2020-11-25,2319.0
2020-11-26,2378.0
2020-11-27,1590.0
2020-11-28,1999.0
2020-11-29,1923.0
2020-11-30,2765.0
2020-12-01,2220.0
2020-12-02,2044.0
2020-12-03,3792.0
