Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,1.0
2020-03-13,0.0
2020-03-14,4.0
2020-03-15,9.0
2020-03-16,5.0
2020-03-17,13.0
2020-03-18,12.0
2020-03-19,8.0
2020-03-20,4.0
2020-03-21,14.0
2020-03-22,23.0
2020-03-23,16.0
2020-03-24,9.0
2020-03-25,29.0
2020-03-26,8.0
2020-03-27,13.0
2020-03-28,43.0
2020-03-29,42.0
2020-03-30,50.0
2020-03-31,0.0
2020-04-01,41.0
2020-04-02,32.0
2020-04-03,56.0
2020-04-04,24.0
2020-04-05,14.0
2020-04-06,29.0
2020-04-07,20.0
2020-04-08,18.0
2020-04-09,23.0
2020-04-10,23.0
2020-04-11,33.0
2020-04-12,17.0
2020-04-13,65.0
2020-04-14,36.0
2020-04-15,36.0
2020-04-16,26.0
2020-04-17,31.0
2020-04-18,20.0
2020-04-19,20.0
2020-04-20,8.0
2020-04-21,13.0
2020-04-22,19.0
2020-04-23,30.0
2020-04-24,28.0
2020-04-25,25.0
2020-04-26,33.0
2020-04-27,17.0
2020-04-28,16.0
2020-04-29,39.0
2020-04-30,28.0
2020-05-01,0.0
2020-05-02,29.0
2020-05-03,53.0
2020-05-04,21.0
2020-05-05,28.0
2020-05-06,0.0
2020-05-07,120.0
2020-05-08,0.0
2020-05-09,60.0
2020-05-10,23.0
2020-05-11,5.0
2020-05-12,53.0
2020-05-13,0.0
2020-05-14,88.0
2020-05-15,45.0
2020-05-16,39.0
2020-05-17,26.0
2020-05-18,28.0
2020-05-19,78.0
2020-05-20,58.0
2020-05-21,71.0
2020-05-22,0.0
2020-05-23,65.0
2020-05-24,61.0
2020-05-25,35.0
2020-05-26,0.0
2020-05-27,80.0
2020-05-28,37.0
2020-05-29,56.0
2020-05-30,43.0
2020-05-31,24.0
2020-06-01,28.0
2020-06-02,41.0
2020-06-03,0.0
2020-06-04,28.0
2020-06-05,36.0
2020-06-06,88.0
2020-06-07,0.0
2020-06-08,18.0
2020-06-09,18.0
2020-06-10,61.0
2020-06-11,0.0
2020-06-12,54.0
2020-06-13,36.0
2020-06-14,53.0
2020-06-15,9.0
2020-06-16,0.0
2020-06-17,17.0
2020-06-18,42.0
2020-06-19,60.0
2020-06-20,0.0
2020-06-21,19.0
2020-06-22,14.0
2020-06-23,23.0
2020-06-24,77.0
2020-06-25,-1.0
2020-06-26,32.0
2020-06-27,89.0
2020-06-28,30.0
2020-06-29,31.0
2020-06-30,42.0
2020-07-01,34.0
2020-07-02,0.0
2020-07-03,69.0
2020-07-04,0.0
2020-07-05,26.0
2020-07-06,17.0
2020-07-07,20.0
2020-07-08,26.0
2020-07-09,13.0
2020-07-10,0.0
2020-07-11,40.0
2020-07-12,19.0
2020-07-13,8.0
2020-07-14,12.0
2020-07-15,20.0
2020-07-16,38.0
2020-07-17,8.0
2020-07-18,2.0
2020-07-19,65.0
2020-07-20,0.0
2020-07-21,11.0
2020-07-22,15.0
2020-07-23,21.0
2020-07-24,-1.0
2020-07-25,57.0
2020-07-26,18.0
2020-07-27,6.0
2020-07-28,28.0
2020-07-29,22.0
2020-07-30,22.0
2020-07-31,27.0
2020-08-01,21.0
2020-08-02,12.0
2020-08-03,5.0
2020-08-04,17.0
2020-08-05,5.0
2020-08-06,18.0
2020-08-07,11.0
2020-08-08,16.0
2020-08-09,9.0
2020-08-10,-1.0
2020-08-11,19.0
2020-08-12,20.0
2020-08-13,26.0
2020-08-14,29.0
2020-08-15,24.0
2020-08-16,29.0
2020-08-17,16.0
2020-08-18,22.0
2020-08-19,18.0
2020-08-20,32.0
2020-08-21,31.0
2020-08-22,19.0
2020-08-23,21.0
2020-08-24,13.0
2020-08-25,21.0
2020-08-26,26.0
2020-08-27,21.0
2020-08-28,-1.0
2020-08-29,53.0
2020-08-30,37.0
2020-08-31,22.0
2020-09-01,0.0
2020-09-02,69.0
2020-09-03,15.0
2020-09-04,35.0
2020-09-05,15.0
2020-09-06,19.0
2020-09-07,12.0
2020-09-08,21.0
2020-09-09,27.0
2020-09-10,31.0
2020-09-11,42.0
2020-09-12,29.0
2020-09-13,0.0
2020-09-14,55.0
2020-09-15,23.0
2020-09-16,21.0
2020-09-17,43.0
2020-09-18,30.0
2020-09-19,44.0
2020-09-20,27.0
2020-09-21,40.0
2020-09-22,25.0
2020-09-23,44.0
2020-09-24,20.0
2020-09-25,0.0
2020-09-26,54.0
2020-09-27,11.0
2020-09-28,37.0
2020-09-29,54.0
2020-09-30,40.0
2020-10-01,37.0
2020-10-02,0.0
2020-10-03,52.0
2020-10-04,25.0
2020-10-05,20.0
2020-10-06,39.0
2020-10-07,35.0
2020-10-08,27.0
2020-10-09,30.0
2020-10-10,0.0
2020-10-11,27.0
2020-10-12,57.0
2020-10-13,36.0
2020-10-14,20.0
2020-10-15,29.0
2020-10-16,37.0
2020-10-17,38.0
2020-10-18,22.0
2020-10-19,27.0
2020-10-20,0.0
2020-10-21,71.0
2020-10-22,35.0
2020-10-23,42.0
2020-10-24,0.0
2020-10-25,117.0
2020-10-26,57.0
2020-10-27,76.0
2020-10-28,80.0
2020-10-29,103.0
2020-10-30,98.0
2020-10-31,0.0
2020-11-01,131.0
2020-11-02,127.0
2020-11-03,151.0
2020-11-04,183.0
2020-11-05,184.0
2020-11-06,158.0
2020-11-07,90.0
2020-11-08,205.0
2020-11-09,163.0
2020-11-10,142.0
2020-11-11,0.0
2020-11-12,437.0
2020-11-13,152.0
2020-11-14,153.0
2020-11-15,173.0
2020-11-16,246.0
2020-11-17,156.0
2020-11-18,215.0
2020-11-19,224.0
2020-11-20,165.0
2020-11-21,237.0
2020-11-22,184.0
2020-11-23,256.0
2020-11-24,227.0
2020-11-25,0.0
2020-11-26,238.0
2020-11-27,23.0
2020-11-28,220.0
2020-11-29,0.0
2020-11-30,468.0
2020-12-01,232.0
2020-12-02,350.0
2020-12-03,287.0
2020-12-04,282.0
2020-12-05,222.0
2020-12-06,425.0
2020-12-07,277.0
2020-12-08,404.0
