Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,2.0
2020-03-11,0.0
2020-03-12,1.0
2020-03-13,10.0
2020-03-14,12.0
2020-03-15,28.0
2020-03-16,1.0
2020-03-17,11.0
2020-03-18,15.0
2020-03-19,254.0
2020-03-20,215.0
2020-03-21,238.0
2020-03-22,248.0
2020-03-23,293.0
2020-03-24,463.0
2020-03-25,503.0
2020-03-26,562.0
2020-03-27,801.0
2020-03-28,993.0
2020-03-29,836.0
2020-03-30,1012.0
2020-03-31,1117.0
2020-04-01,1719.0
2020-04-02,1457.0
2020-04-03,1879.0
2020-04-04,1555.0
2020-04-05,1493.0
2020-04-06,1503.0
2020-04-07,1749.0
2020-04-08,1376.0
2020-04-09,1158.0
2020-04-10,1058.0
2020-04-11,1291.0
2020-04-12,785.0
2020-04-13,997.0
2020-04-14,1366.0
2020-04-15,1058.0
2020-04-16,1204.0
2020-04-17,689.0
2020-04-18,765.0
2020-04-19,707.0
2020-04-20,576.0
2020-04-21,967.0
2020-04-22,999.0
2020-04-23,1325.0
2020-04-24,1336.0
2020-04-25,557.0
2020-04-26,594.0
2020-04-27,432.0
2020-04-28,1052.0
2020-04-29,1137.0
2020-04-30,980.0
2020-05-01,977.0
2020-05-02,851.0
2020-05-03,547.0
2020-05-04,196.0
2020-05-05,447.0
2020-05-06,657.0
2020-05-07,592.0
2020-05-08,680.0
2020-05-09,430.0
2020-05-10,382.0
2020-05-11,414.0
2020-05-12,469.0
2020-05-13,370.0
2020-05-14,1191.0
2020-05-15,497.0
2020-05-16,425.0
2020-05-17,638.0
2020-05-18,773.0
2020-05-19,435.0
2020-05-20,659.0
2020-05-21,501.0
2020-05-22,403.0
2020-05-23,452.0
2020-05-24,314.0
2020-05-25,202.0
2020-05-26,223.0
2020-05-27,504.0
2020-05-28,406.0
2020-05-29,607.0
2020-05-30,263.0
2020-05-31,513.0
2020-06-01,135.0
2020-06-02,199.0
2020-06-03,304.0
2020-06-04,206.0
2020-06-05,5298.0
2020-06-06,444.0
2020-06-07,430.0
2020-06-08,288.0
2020-06-09,297.0
2020-06-10,184.0
2020-06-11,267.0
2020-06-12,223.0
2020-06-13,164.0
2020-06-14,218.0
2020-06-15,31.0
2020-06-16,184.0
2020-06-17,228.0
2020-06-18,301.0
2020-06-19,299.0
2020-06-20,448.0
2020-06-21,166.0
2020-06-22,246.0
2020-06-23,240.0
2020-06-24,358.0
2020-06-25,434.0
2020-06-26,340.0
2020-06-27,350.0
2020-06-28,267.0
2020-06-29,277.0
2020-06-30,505.0
2020-07-01,361.0
2020-07-02,589.0
2020-07-03,0.0
2020-07-04,903.0
2020-07-05,360.0
2020-07-06,328.0
2020-07-07,631.0
2020-07-08,651.0
2020-07-09,512.0
2020-07-10,622.0
2020-07-11,685.0
2020-07-12,406.0
2020-07-13,422.0
2020-07-14,666.0
2020-07-15,1049.0
2020-07-16,926.0
2020-07-17,754.0
2020-07-18,745.0
2020-07-19,530.0
2020-07-20,527.0
2020-07-21,664.0
2020-07-22,671.0
2020-07-23,701.0
2020-07-24,641.0
2020-07-25,550.0
2020-07-26,1039.0
2020-07-27,512.0
2020-07-28,785.0
2020-07-29,1016.0
2020-07-30,807.0
2020-07-31,793.0
2020-08-01,758.0
2020-08-02,429.0
2020-08-03,613.0
2020-08-04,801.0
2020-08-05,718.0
2020-08-06,763.0
2020-08-07,814.0
2020-08-08,721.0
2020-08-09,535.0
2020-08-10,580.0
2020-08-11,907.0
2020-08-12,476.0
2020-08-13,1167.0
2020-08-14,868.0
2020-08-15,1058.0
2020-08-16,477.0
2020-08-17,490.0
2020-08-18,654.0
2020-08-19,688.0
2020-08-20,527.0
2020-08-21,0.0
2020-08-22,1426.0
2020-08-23,764.0
2020-08-24,878.0
2020-08-25,951.0
2020-08-26,843.0
2020-08-27,863.0
2020-08-28,793.0
2020-08-29,839.0
2020-08-30,551.0
2020-08-31,499.0
2020-09-01,795.0
2020-09-02,648.0
2020-09-03,774.0
2020-09-04,1053.0
2020-09-05,896.0
2020-09-06,0.0
2020-09-07,1212.0
2020-09-08,499.0
2020-09-09,961.0
2020-09-10,983.0
2020-09-11,1405.0
2020-09-12,807.0
2020-09-13,0.0
2020-09-14,1229.0
2020-09-15,682.0
2020-09-16,773.0
2020-09-17,980.0
2020-09-18,778.0
2020-09-19,587.0
2020-09-20,0.0
2020-09-21,1575.0
2020-09-22,695.0
2020-09-23,902.0
2020-09-24,1078.0
2020-09-25,1040.0
2020-09-26,996.0
2020-09-27,0.0
2020-09-28,1329.0
2020-09-29,1118.0
2020-09-30,1194.0
2020-10-01,998.0
2020-10-02,984.0
2020-10-03,1275.0
2020-10-04,0.0
2020-10-05,1455.0
2020-10-06,1152.0
2020-10-07,1214.0
2020-10-08,1401.0
2020-10-09,1323.0
2020-10-10,1648.0
2020-10-11,0.0
2020-10-12,1932.0
2020-10-13,1466.0
2020-10-14,1593.0
2020-10-15,2458.0
2020-10-16,2206.0
2020-10-17,0.0
2020-10-18,0.0
2020-10-19,5004.0
2020-10-20,1871.0
2020-10-21,1878.0
2020-10-22,2204.0
2020-10-23,2046.0
2020-10-24,3490.0
2020-10-25,0.0
2020-10-26,4057.0
2020-10-27,2675.0
2020-10-28,3590.0
2020-10-29,4109.0
2020-10-30,3345.0
2020-10-31,4018.0
2020-11-01,0.0
2020-11-02,6920.0
2020-11-03,3437.0
2020-11-04,4397.0
2020-11-05,6103.0
2020-11-06,4246.0
2020-11-07,6494.0
2020-11-08,0.0
2020-11-09,9305.0
2020-11-10,6944.0
2020-11-11,6620.0
2020-11-12,7311.0
2020-11-13,9179.0
2020-11-14,7430.0
2020-11-15,0.0
2020-11-16,13162.0
2020-11-17,7886.0
2020-11-18,6218.0
2020-11-19,7983.0
2020-11-20,10140.0
2020-11-21,7840.0
2020-11-22,0.0
2020-11-23,11943.0
2020-11-24,6782.0
2020-11-25,4687.0
2020-11-26,0.0
2020-11-27,17368.0
2020-11-28,8351.0
2020-11-29,0.0
2020-11-30,10790.0
2020-12-01,6511.0
