Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,1.0
2020-03-07,0.0
2020-03-08,1.0
2020-03-09,0.0
2020-03-10,2.0
2020-03-11,1.0
2020-03-12,5.0
2020-03-13,4.0
2020-03-14,0.0
2020-03-15,40.0
2020-03-16,6.0
2020-03-17,17.0
2020-03-18,12.0
2020-03-19,26.0
2020-03-20,0.0
2020-03-21,22.0
2020-03-22,99.0
2020-03-23,26.0
2020-03-24,25.0
2020-03-25,59.0
2020-03-26,53.0
2020-03-27,0.0
2020-03-28,42.0
2020-03-29,135.0
2020-03-30,0.0
2020-03-31,113.0
2020-04-01,53.0
2020-04-02,47.0
2020-04-03,0.0
2020-04-04,76.0
2020-04-05,121.0
2020-04-06,83.0
2020-04-07,85.0
2020-04-08,88.0
2020-04-09,94.0
2020-04-10,0.0
2020-04-11,178.0
2020-04-12,107.0
2020-04-13,74.0
2020-04-14,114.0
2020-04-15,53.0
2020-04-16,151.0
2020-04-17,161.0
2020-04-18,39.0
2020-04-19,257.0
2020-04-20,97.0
2020-04-21,154.0
2020-04-22,0.0
2020-04-23,464.0
2020-04-24,0.0
2020-04-25,261.0
2020-04-26,156.0
2020-04-27,579.0
2020-04-28,464.0
2020-04-29,491.0
2020-04-30,0.0
2020-05-01,594.0
2020-05-02,498.0
2020-05-03,1010.0
2020-05-04,-4.0
2020-05-05,617.0
2020-05-06,728.0
2020-05-07,1509.0
2020-05-08,0.0
2020-05-09,1183.0
2020-05-10,0.0
2020-05-11,528.0
2020-05-12,1118.0
2020-05-13,0.0
2020-05-14,1323.0
2020-05-15,0.0
2020-05-16,1428.0
2020-05-17,704.0
2020-05-18,657.0
2020-05-19,641.0
2020-05-20,0.0
2020-05-21,1335.0
2020-05-22,840.0
2020-05-23,0.0
2020-05-24,728.0
2020-05-25,1387.0
2020-05-26,504.0
2020-05-27,0.0
2020-05-28,1067.0
2020-05-29,0.0
2020-05-30,1319.0
2020-05-31,358.0
2020-06-01,0.0
2020-06-02,300.0
2020-06-03,362.0
2020-06-04,403.0
2020-06-05,1228.0
2020-06-06,385.0
2020-06-07,338.0
2020-06-08,299.0
2020-06-09,346.0
2020-06-10,447.0
2020-06-11,0.0
2020-06-12,479.0
2020-06-13,377.0
2020-06-14,521.0
2020-06-15,189.0
2020-06-16,414.0
2020-06-17,0.0
2020-06-18,379.0
2020-06-19,792.0
2020-06-20,453.0
2020-06-21,307.0
2020-06-22,242.0
2020-06-23,294.0
2020-06-24,0.0
2020-06-25,853.0
2020-06-26,0.0
2020-06-27,933.0
2020-06-28,-3.0
2020-06-29,315.0
2020-06-30,855.0
2020-07-01,494.0
2020-07-02,414.0
2020-07-03,0.0
2020-07-04,512.0
2020-07-05,433.0
2020-07-06,564.0
2020-07-07,0.0
2020-07-08,1003.0
2020-07-09,631.0
2020-07-10,804.0
2020-07-11,0.0
2020-07-12,1201.0
2020-07-13,398.0
2020-07-14,0.0
2020-07-15,1177.0
2020-07-16,666.0
2020-07-17,457.0
2020-07-18,734.0
2020-07-19,0.0
2020-07-20,1253.0
2020-07-21,504.0
2020-07-22,760.0
2020-07-23,769.0
2020-07-24,801.0
2020-07-25,0.0
2020-07-26,1512.0
2020-07-27,478.0
2020-07-28,666.0
2020-07-29,745.0
2020-07-30,772.0
2020-07-31,724.0
2020-08-01,759.0
2020-08-02,0.0
2020-08-03,1215.0
2020-08-04,617.0
2020-08-05,861.0
2020-08-06,545.0
2020-08-07,916.0
2020-08-08,797.0
2020-08-09,618.0
2020-08-10,323.0
2020-08-11,0.0
2020-08-12,457.0
2020-08-13,1427.0
2020-08-14,690.0
2020-08-15,749.0
2020-08-16,554.0
2020-08-17,0.0
2020-08-18,345.0
2020-08-19,1247.0
2020-08-20,825.0
2020-08-21,0.0
2020-08-22,1451.0
2020-08-23,714.0
2020-08-24,409.0
2020-08-25,529.0
2020-08-26,1154.0
2020-08-27,850.0
2020-08-28,0.0
2020-08-29,1974.0
2020-08-30,650.0
2020-08-31,0.0
2020-09-01,1221.0
2020-09-02,0.0
2020-09-03,1881.0
2020-09-04,0.0
2020-09-05,1621.0
2020-09-06,638.0
2020-09-07,383.0
2020-09-08,260.0
2020-09-09,381.0
2020-09-10,0.0
2020-09-11,467.0
2020-09-12,1595.0
2020-09-13,638.0
2020-09-14,402.0
2020-09-15,0.0
2020-09-16,462.0
2020-09-17,909.0
2020-09-18,1085.0
2020-09-19,914.0
2020-09-20,2221.0
2020-09-21,480.0
2020-09-22,678.0
2020-09-23,0.0
2020-09-24,2089.0
2020-09-25,1470.0
2020-09-26,0.0
2020-09-27,1979.0
2020-09-28,0.0
2020-09-29,809.0
2020-09-30,687.0
2020-10-01,1066.0
2020-10-02,1166.0
2020-10-03,2460.0
2020-10-04,0.0
2020-10-05,1914.0
2020-10-06,0.0
2020-10-07,2182.0
2020-10-08,0.0
2020-10-09,1390.0
2020-10-10,2956.0
2020-10-11,1171.0
2020-10-12,1435.0
2020-10-13,0.0
2020-10-14,1069.0
2020-10-15,1163.0
2020-10-16,2290.0
2020-10-17,1694.0
2020-10-18,3349.0
2020-10-19,0.0
2020-10-20,1092.0
2020-10-21,1060.0
2020-10-22,1561.0
2020-10-23,1711.0
2020-10-24,2259.0
2020-10-25,1680.0
2020-10-26,1570.0
2020-10-27,2164.0
2020-10-28,1908.0
2020-10-29,2867.0
2020-10-30,3154.0
2020-10-31,3007.0
2020-11-01,2200.0
2020-11-02,2948.0
2020-11-03,3476.0
2020-11-04,3827.0
2020-11-05,3942.0
2020-11-06,5442.0
2020-11-07,4647.0
2020-11-08,5908.0
2020-11-09,3926.0
2020-11-10,4893.0
2020-11-11,4889.0
2020-11-12,7225.0
2020-11-13,5544.0
2020-11-14,8689.0
2020-11-15,7553.0
2020-11-16,7437.0
2020-11-17,5931.0
2020-11-18,5094.0
2020-11-19,7863.0
2020-11-20,6794.0
2020-11-21,6252.0
2020-11-22,7205.0
2020-11-23,6343.0
2020-11-24,6416.0
2020-11-25,6387.0
2020-11-26,0.0
2020-11-27,5698.0
2020-11-28,9022.0
2020-11-29,8946.0
2020-11-30,5794.0
