Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,1.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,1.0
2020-03-14,0.0
2020-03-15,3.0
2020-03-16,3.0
2020-03-17,5.0
2020-03-18,11.0
2020-03-19,4.0
2020-03-20,45.0
2020-03-21,17.0
2020-03-22,16.0
2020-03-23,77.0
2020-03-24,72.0
2020-03-25,101.0
2020-03-26,146.0
2020-03-27,168.0
2020-03-28,168.0
2020-03-29,65.0
2020-03-30,128.0
2020-03-31,296.0
2020-04-01,254.0
2020-04-02,253.0
2020-04-03,279.0
2020-04-04,178.0
2020-04-05,76.0
2020-04-06,355.0
2020-04-07,315.0
2020-04-08,290.0
2020-04-09,212.0
2020-04-10,260.0
2020-04-11,225.0
2020-04-12,136.0
2020-04-13,228.0
2020-04-14,298.0
2020-04-15,209.0
2020-04-16,216.0
2020-04-17,172.0
2020-04-18,234.0
2020-04-19,150.0
2020-04-20,140.0
2020-04-21,134.0
2020-04-22,196.0
2020-04-23,184.0
2020-04-24,304.0
2020-04-25,201.0
2020-04-26,171.0
2020-04-27,174.0
2020-04-28,132.0
2020-04-29,122.0
2020-04-30,137.0
2020-05-01,273.0
2020-05-02,319.0
2020-05-03,232.0
2020-05-04,368.0
2020-05-05,162.0
2020-05-06,186.0
2020-05-07,239.0
2020-05-08,148.0
2020-05-09,177.0
2020-05-10,178.0
2020-05-11,74.0
2020-05-12,88.0
2020-05-13,136.0
2020-05-14,174.0
2020-05-15,140.0
2020-05-16,219.0
2020-05-17,114.0
2020-05-18,156.0
2020-05-19,135.0
2020-05-20,152.0
2020-05-21,108.0
2020-05-22,218.0
2020-05-23,194.0
2020-05-24,236.0
2020-05-25,179.0
2020-05-26,124.0
2020-05-27,201.0
2020-05-28,181.0
2020-05-29,122.0
2020-05-30,167.0
2020-05-31,185.0
2020-06-01,180.0
2020-06-02,248.0
2020-06-03,192.0
2020-06-04,290.0
2020-06-05,196.0
2020-06-06,189.0
2020-06-07,111.0
2020-06-08,181.0
2020-06-09,179.0
2020-06-10,274.0
2020-06-11,203.0
2020-06-12,195.0
2020-06-13,225.0
2020-06-14,0.0
2020-06-15,379.0
2020-06-16,225.0
2020-06-17,211.0
2020-06-18,283.0
2020-06-19,293.0
2020-06-20,389.0
2020-06-21,415.0
2020-06-22,138.0
2020-06-23,434.0
2020-06-24,291.0
2020-06-25,553.0
2020-06-26,493.0
2020-06-27,347.0
2020-06-28,314.0
2020-06-29,468.0
2020-06-30,508.0
2020-07-01,376.0
2020-07-02,356.0
2020-07-03,547.0
2020-07-04,385.0
2020-07-05,221.0
2020-07-06,420.0
2020-07-07,773.0
2020-07-08,575.0
2020-07-09,795.0
2020-07-10,662.0
2020-07-11,472.0
2020-07-12,310.0
2020-07-13,447.0
2020-07-14,936.0
2020-07-15,888.0
2020-07-16,708.0
2020-07-17,868.0
2020-07-18,958.0
2020-07-19,846.0
2020-07-20,530.0
2020-07-21,1138.0
2020-07-22,1301.0
2020-07-23,1637.0
2020-07-24,1652.0
2020-07-25,1357.0
2020-07-26,1218.0
2020-07-27,1123.0
2020-07-28,1773.0
2020-07-29,1927.0
2020-07-30,2084.0
2020-07-31,1489.0
2020-08-01,935.0
2020-08-02,582.0
2020-08-03,1047.0
2020-08-04,1193.0
2020-08-05,1241.0
2020-08-06,1062.0
2020-08-07,996.0
2020-08-08,0.0
2020-08-09,1548.0
2020-08-10,1027.0
2020-08-11,981.0
2020-08-12,1595.0
2020-08-13,1267.0
2020-08-14,1473.0
2020-08-15,1127.0
2020-08-16,1078.0
2020-08-17,1148.0
2020-08-18,794.0
2020-08-19,1258.0
2020-08-20,1058.0
2020-08-21,1231.0
2020-08-22,1293.0
2020-08-23,818.0
2020-08-24,869.0
2020-08-25,692.0
2020-08-26,1426.0
2020-08-27,1512.0
2020-08-28,1418.0
2020-08-29,1198.0
2020-08-30,1465.0
2020-08-31,1042.0
2020-09-01,1058.0
2020-09-02,1458.0
2020-09-03,1397.0
2020-09-04,1605.0
2020-09-05,1987.0
2020-09-06,1232.0
2020-09-07,906.0
2020-09-08,773.0
2020-09-09,1362.0
2020-09-10,1116.0
2020-09-11,1569.0
2020-09-12,1974.0
2020-09-13,1613.0
2020-09-14,1332.0
2020-09-15,1317.0
2020-09-16,1191.0
2020-09-17,1747.0
2020-09-18,1795.0
2020-09-19,1387.0
2020-09-20,1328.0
2020-09-21,1463.0
2020-09-22,1059.0
2020-09-23,1580.0
2020-09-24,1365.0
2020-09-25,1978.0
2020-09-26,1725.0
2020-09-27,1392.0
2020-09-28,-130.0
2020-09-29,1486.0
2020-09-30,1351.0
2020-10-01,1799.0
2020-10-02,1485.0
2020-10-03,1708.0
2020-10-04,1326.0
2020-10-05,987.0
2020-10-06,1165.0
2020-10-07,1068.0
2020-10-08,1505.0
2020-10-09,2008.0
2020-10-10,5066.0
2020-10-11,0.0
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,4449.0
2020-10-15,1875.0
2020-10-16,4374.0
2020-10-17,1768.0
2020-10-18,0.0
2020-10-19,1405.0
2020-10-20,1524.0
2020-10-21,1244.0
2020-10-22,1854.0
2020-10-23,1811.0
2020-10-24,4961.0
2020-10-25,1527.0
2020-10-26,0.0
2020-10-27,1695.0
2020-10-28,1915.0
2020-10-29,3061.0
2020-10-30,5493.0
2020-10-31,2349.0
2020-11-01,0.0
2020-11-02,2651.0
2020-11-03,2238.0
2020-11-04,2599.0
2020-11-05,3553.0
2020-11-06,8490.0
2020-11-07,0.0
2020-11-08,4131.0
2020-11-09,3244.0
2020-11-10,4256.0
2020-11-11,4071.0
2020-11-12,4603.0
2020-11-13,10351.0
2020-11-14,3729.0
2020-11-15,0.0
2020-11-16,3718.0
2020-11-17,5717.0
2020-11-18,4587.0
2020-11-19,4349.0
2020-11-20,4614.0
2020-11-21,9091.0
2020-11-22,0.0
2020-11-23,3370.0
2020-11-24,3764.0
2020-11-25,4131.0
2020-11-26,4471.0
2020-11-27,3273.0
2020-11-28,2204.0
