Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,1.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,6.0
2020-03-16,0.0
2020-03-17,4.0
2020-03-18,1.0
2020-03-19,3.0
2020-03-20,6.0
2020-03-21,6.0
2020-03-22,7.0
2020-03-23,3.0
2020-03-24,11.0
2020-03-25,17.0
2020-03-26,25.0
2020-03-27,31.0
2020-03-28,26.0
2020-03-29,26.0
2020-03-30,11.0
2020-03-31,19.0
2020-04-01,25.0
2020-04-02,16.0
2020-04-03,18.0
2020-04-04,19.0
2020-04-05,19.0
2020-04-06,20.0
2020-04-07,12.0
2020-04-08,20.0
2020-04-09,13.0
2020-04-10,0.0
2020-04-11,12.0
2020-04-12,17.0
2020-04-13,4.0
2020-04-14,6.0
2020-04-15,11.0
2020-04-16,7.0
2020-04-17,0.0
2020-04-18,4.0
2020-04-19,7.0
2020-04-20,4.0
2020-04-21,2.0
2020-04-22,3.0
2020-04-23,2.0
2020-04-24,0.0
2020-04-25,1.0
2020-04-26,4.0
2020-04-27,2.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,2.0
2020-05-01,0.0
2020-05-02,2.0
2020-05-03,2.0
2020-05-04,0.0
2020-05-05,-1.0
2020-05-06,0.0
2020-05-07,3.0
2020-05-08,-1.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,1.0
2020-05-12,0.0
2020-05-13,3.0
2020-05-14,4.0
2020-05-15,0.0
2020-05-16,2.0
2020-05-17,2.0
2020-05-18,0.0
2020-05-19,8.0
2020-05-20,0.0
2020-05-21,1.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,6.0
2020-05-28,8.0
2020-05-29,12.0
2020-05-30,0.0
2020-05-31,10.0
2020-06-01,8.0
2020-06-02,2.0
2020-06-03,14.0
2020-06-04,0.0
2020-06-05,1.0
2020-06-06,0.0
2020-06-07,8.0
2020-06-08,0.0
2020-06-09,6.0
2020-06-10,7.0
2020-06-11,12.0
2020-06-12,15.0
2020-06-13,0.0
2020-06-14,21.0
2020-06-15,3.0
2020-06-16,18.0
2020-06-17,0.0
2020-06-18,36.0
2020-06-19,32.0
2020-06-20,18.0
2020-06-21,1.0
2020-06-22,17.0
2020-06-23,32.0
2020-06-24,37.0
2020-06-25,26.0
2020-06-26,23.0
2020-06-27,0.0
2020-06-28,67.0
2020-06-29,48.0
2020-06-30,51.0
2020-07-01,65.0
2020-07-02,40.0
2020-07-03,5.0
2020-07-04,39.0
2020-07-05,82.0
2020-07-06,0.0
2020-07-07,122.0
2020-07-08,95.0
2020-07-09,103.0
2020-07-10,24.0
2020-07-11,84.0
2020-07-12,164.0
2020-07-13,2.0
2020-07-14,109.0
2020-07-15,266.0
2020-07-16,124.0
2020-07-17,24.0
2020-07-18,105.0
2020-07-19,62.0
2020-07-20,88.0
2020-07-21,91.0
2020-07-22,197.0
2020-07-23,128.0
2020-07-24,210.0
2020-07-25,95.0
2020-07-26,39.0
2020-07-27,0.0
2020-07-28,286.0
2020-07-29,113.0
2020-07-30,174.0
2020-07-31,11.0
2020-08-01,116.0
2020-08-02,112.0
2020-08-03,121.0
2020-08-04,115.0
2020-08-05,164.0
2020-08-06,151.0
2020-08-07,144.0
2020-08-08,64.0
2020-08-09,65.0
2020-08-10,0.0
2020-08-11,272.0
2020-08-12,114.0
2020-08-13,136.0
2020-08-14,2.0
2020-08-15,118.0
2020-08-16,120.0
2020-08-17,68.0
2020-08-18,0.0
2020-08-19,109.0
2020-08-20,258.0
2020-08-21,2.0
2020-08-22,160.0
2020-08-23,114.0
2020-08-24,133.0
2020-08-25,162.0
2020-08-26,0.0
2020-08-27,144.0
2020-08-28,134.0
2020-08-29,188.0
2020-08-30,89.0
2020-08-31,153.0
2020-09-01,196.0
2020-09-02,178.0
2020-09-03,133.0
2020-09-04,19.0
2020-09-05,145.0
2020-09-06,100.0
2020-09-07,115.0
2020-09-08,2.0
2020-09-09,278.0
2020-09-10,4.0
2020-09-11,262.0
2020-09-12,0.0
2020-09-13,96.0
2020-09-14,86.0
2020-09-15,137.0
2020-09-16,187.0
2020-09-17,441.0
2020-09-18,292.0
2020-09-19,136.0
2020-09-20,127.0
2020-09-21,269.0
2020-09-22,204.0
2020-09-23,320.0
2020-09-24,328.0
2020-09-25,357.0
2020-09-26,2.0
2020-09-27,200.0
2020-09-28,306.0
2020-09-29,463.0
2020-09-30,517.0
2020-10-01,431.0
2020-10-02,459.0
2020-10-03,278.0
2020-10-04,74.0
2020-10-05,663.0
2020-10-06,425.0
2020-10-07,340.0
2020-10-08,614.0
2020-10-09,1237.0
2020-10-10,203.0
2020-10-11,585.0
2020-10-12,423.0
2020-10-13,842.0
2020-10-14,753.0
2020-10-15,877.0
2020-10-16,-2.0
2020-10-17,638.0
2020-10-18,588.0
2020-10-19,569.0
2020-10-20,703.0
2020-10-21,619.0
2020-10-22,1608.0
2020-10-23,183.0
2020-10-24,639.0
2020-10-25,738.0
2020-10-26,621.0
2020-10-27,845.0
2020-10-28,620.0
2020-10-29,887.0
2020-10-30,1063.0
2020-10-31,885.0
2020-11-01,694.0
2020-11-02,757.0
2020-11-03,907.0
2020-11-04,796.0
2020-11-05,1013.0
2020-11-06,979.0
2020-11-07,1001.0
2020-11-08,731.0
2020-11-09,374.0
2020-11-10,1098.0
2020-11-11,919.0
2020-11-12,961.0
2020-11-13,1213.0
2020-11-14,1642.0
2020-11-15,1272.0
2020-11-16,869.0
2020-11-17,1371.0
2020-11-18,1184.0
2020-11-19,1236.0
2020-11-20,1475.0
2020-11-21,1249.0
2020-11-22,1138.0
2020-11-23,701.0
2020-11-24,1123.0
2020-11-25,1061.0
2020-11-26,1117.0
2020-11-27,114.0
2020-11-28,1049.0
2020-11-29,956.0
2020-11-30,397.0
2020-12-01,1007.0
2020-12-02,1135.0
2020-12-03,782.0
2020-12-04,1314.0
2020-12-05,633.0
2020-12-06,806.0
