Date,New Cases
2020-03-01,0.0
2020-03-02,1.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,1.0
2020-03-10,5.0
2020-03-11,0.0
2020-03-12,4.0
2020-03-13,4.0
2020-03-14,8.0
2020-03-15,9.0
2020-03-16,1.0
2020-03-17,7.0
2020-03-18,22.0
2020-03-19,35.0
2020-03-20,40.0
2020-03-21,47.0
2020-03-22,71.0
2020-03-23,42.0
2020-03-24,101.0
2020-03-25,106.0
2020-03-26,132.0
2020-03-27,128.0
2020-03-28,171.0
2020-03-29,232.0
2020-03-30,140.0
2020-03-31,191.0
2020-04-01,86.0
2020-04-02,273.0
2020-04-03,236.0
2020-04-04,309.0
2020-04-05,183.0
2020-04-06,285.0
2020-04-07,351.0
2020-04-08,205.0
2020-04-09,225.0
2020-04-10,257.0
2020-04-11,404.0
2020-04-12,208.0
2020-04-13,296.0
2020-04-14,208.0
2020-04-15,99.0
2020-04-16,342.0
2020-04-17,394.0
2020-04-18,281.0
2020-04-19,353.0
2020-04-20,271.0
2020-04-21,187.0
2020-04-22,269.0
2020-04-23,388.0
2020-04-24,444.0
2020-04-25,571.0
2020-04-26,207.0
2020-04-27,312.0
2020-04-28,426.0
2020-04-29,380.0
2020-04-30,561.0
2020-05-01,414.0
2020-05-02,586.0
2020-05-03,155.0
2020-05-04,184.0
2020-05-05,408.0
2020-05-06,502.0
2020-05-07,639.0
2020-05-08,471.0
2020-05-09,492.0
2020-05-10,404.0
2020-05-11,281.0
2020-05-12,301.0
2020-05-13,470.0
2020-05-14,691.0
2020-05-15,622.0
2020-05-16,853.0
2020-05-17,530.0
2020-05-18,511.0
2020-05-19,677.0
2020-05-20,423.0
2020-05-21,738.0
2020-05-22,758.0
2020-05-23,1107.0
2020-05-24,497.0
2020-05-25,742.0
2020-05-26,176.0
2020-05-27,488.0
2020-05-28,784.0
2020-05-29,1076.0
2020-05-30,1185.0
2020-05-31,916.0
2020-06-01,674.0
2020-06-02,626.0
2020-06-03,888.0
2020-06-04,1190.0
2020-06-05,1289.0
2020-06-06,1370.0
2020-06-07,921.0
2020-06-08,938.0
2020-06-09,676.0
2020-06-10,1011.0
2020-06-11,1310.0
2020-06-12,1768.0
2020-06-13,1429.0
2020-06-14,1444.0
2020-06-15,983.0
2020-06-16,751.0
2020-06-17,1002.0
2020-06-18,1335.0
2020-06-19,1655.0
2020-06-20,1549.0
2020-06-21,1412.0
2020-06-22,805.0
2020-06-23,854.0
2020-06-24,1724.0
2020-06-25,1024.0
2020-06-26,1649.0
2020-06-27,1720.0
2020-06-28,1605.0
2020-06-29,1349.0
2020-06-30,1196.0
2020-07-01,1862.0
2020-07-02,1639.0
2020-07-03,2102.0
2020-07-04,1419.0
2020-07-05,1330.0
2020-07-06,1563.0
2020-07-07,1367.0
2020-07-08,1449.0
2020-07-09,2059.0
2020-07-10,2007.0
2020-07-11,2467.0
2020-07-12,1909.0
2020-07-13,1846.0
