Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,1.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,4.0
2020-03-18,2.0
2020-03-19,12.0
2020-03-20,7.0
2020-03-21,2.0
2020-03-22,2.0
2020-03-23,2.0
2020-03-24,5.0
2020-03-25,8.0
2020-03-26,13.0
2020-03-27,10.0
2020-03-28,26.0
2020-03-29,4.0
2020-03-30,11.0
2020-03-31,17.0
2020-04-01,21.0
2020-04-02,12.0
2020-04-03,14.0
2020-04-04,13.0
2020-04-05,21.0
2020-04-06,18.0
2020-04-07,12.0
2020-04-08,14.0
2020-04-09,18.0
2020-04-10,9.0
2020-04-11,15.0
2020-04-12,15.0
2020-04-13,23.0
2020-04-14,10.0
2020-04-15,24.0
2020-04-16,28.0
2020-04-17,46.0
2020-04-18,89.0
2020-04-19,57.0
2020-04-20,42.0
2020-04-21,17.0
2020-04-22,35.0
2020-04-23,30.0
2020-04-24,39.0
2020-04-25,55.0
2020-04-26,64.0
2020-04-27,75.0
2020-04-28,49.0
2020-04-29,42.0
2020-04-30,34.0
2020-05-01,40.0
2020-05-02,46.0
2020-05-03,38.0
2020-05-04,34.0
2020-05-05,41.0
2020-05-06,57.0
2020-05-07,48.0
2020-05-08,54.0
2020-05-09,39.0
2020-05-10,27.0
2020-05-11,27.0
2020-05-12,53.0
2020-05-13,76.0
2020-05-14,65.0
2020-05-15,49.0
2020-05-16,87.0
2020-05-17,52.0
2020-05-18,31.0
2020-05-19,63.0
2020-05-20,101.0
2020-05-21,134.0
2020-05-22,88.0
2020-05-23,48.0
2020-05-24,53.0
2020-05-25,39.0
2020-05-26,-35.0
2020-05-27,17.0
2020-05-28,42.0
2020-05-29,39.0
2020-05-30,34.0
2020-05-31,23.0
2020-06-01,48.0
2020-06-02,21.0
2020-06-03,33.0
2020-06-04,27.0
2020-06-05,39.0
2020-06-06,71.0
2020-06-07,45.0
2020-06-08,19.0
2020-06-09,21.0
2020-06-10,40.0
2020-06-11,39.0
2020-06-12,36.0
2020-06-13,42.0
2020-06-14,22.0
2020-06-15,21.0
2020-06-16,23.0
2020-06-17,42.0
2020-06-18,27.0
2020-06-19,33.0
2020-06-20,25.0
2020-06-21,37.0
2020-06-22,25.0
2020-06-23,7.0
2020-06-24,42.0
2020-06-25,31.0
2020-06-26,28.0
2020-06-27,37.0
2020-06-28,37.0
2020-06-29,44.0
2020-06-30,37.0
2020-07-01,39.0
2020-07-02,42.0
2020-07-03,65.0
2020-07-04,57.0
2020-07-05,37.0
2020-07-06,33.0
2020-07-07,49.0
2020-07-08,73.0
2020-07-09,99.0
2020-07-10,84.0
2020-07-11,89.0
2020-07-12,91.0
2020-07-13,108.0
2020-07-14,123.0
2020-07-15,103.0
2020-07-16,124.0
2020-07-17,115.0
2020-07-18,112.0
2020-07-19,107.0
2020-07-20,81.0
2020-07-21,160.0
2020-07-22,126.0
2020-07-23,121.0
2020-07-24,122.0
2020-07-25,140.0
2020-07-26,110.0
2020-07-27,155.0
2020-07-28,86.0
2020-07-29,74.0
2020-07-30,168.0
2020-07-31,133.0
2020-08-01,58.0
2020-08-02,125.0
2020-08-03,148.0
2020-08-04,124.0
2020-08-05,120.0
2020-08-06,150.0
2020-08-07,181.0
2020-08-08,88.0
2020-08-09,117.0
2020-08-10,172.0
2020-08-11,85.0
2020-08-12,201.0
2020-08-13,151.0
2020-08-14,122.0
2020-08-15,143.0
2020-08-16,60.0
2020-08-17,135.0
2020-08-18,186.0
2020-08-19,274.0
2020-08-20,232.0
2020-08-21,262.0
2020-08-22,140.0
2020-08-23,124.0
2020-08-24,229.0
2020-08-25,238.0
2020-08-26,333.0
2020-08-27,310.0
2020-08-28,374.0
2020-08-29,0.0
2020-08-30,332.0
2020-08-31,184.0
2020-09-01,267.0
2020-09-02,362.0
2020-09-03,344.0
2020-09-04,361.0
2020-09-05,297.0
2020-09-06,170.0
2020-09-07,71.0
2020-09-08,238.0
2020-09-09,333.0
2020-09-10,241.0
2020-09-11,467.0
2020-09-12,426.0
2020-09-13,254.0
2020-09-14,233.0
2020-09-15,269.0
2020-09-16,0.0
2020-09-17,897.0
2020-09-18,377.0
2020-09-19,351.0
2020-09-20,286.0
2020-09-21,264.0
2020-09-22,473.0
2020-09-23,470.0
2020-09-24,434.0
2020-09-25,495.0
2020-09-26,344.0
2020-09-27,259.0
2020-09-28,419.0
2020-09-29,444.0
2020-09-30,372.0
2020-10-01,476.0
2020-10-02,440.0
2020-10-03,416.0
2020-10-04,312.0
2020-10-05,502.0
2020-10-06,493.0
2020-10-07,527.0
2020-10-08,656.0
2020-10-09,588.0
2020-10-10,637.0
2020-10-11,472.0
2020-10-12,508.0
2020-10-13,702.0
2020-10-14,706.0
2020-10-15,864.0
2020-10-16,744.0
2020-10-17,717.0
2020-10-18,659.0
2020-10-19,1029.0
2020-10-20,499.0
2020-10-21,887.0
2020-10-22,887.0
2020-10-23,935.0
2020-10-24,845.0
2020-10-25,522.0
2020-10-26,889.0
2020-10-27,777.0
2020-10-28,1223.0
2020-10-29,1353.0
2020-10-30,1433.0
2020-10-31,1127.0
2020-11-01,972.0
2020-11-02,1172.0
2020-11-03,1114.0
2020-11-04,1536.0
2020-11-05,1765.0
2020-11-06,1602.0
2020-11-07,1101.0
2020-11-08,0.0
2020-11-09,2037.0
2020-11-10,1031.0
2020-11-11,1800.0
2020-11-12,1429.0
2020-11-13,2270.0
2020-11-14,924.0
2020-11-15,1089.0
2020-11-16,1082.0
2020-11-17,1263.0
2020-11-18,1382.0
2020-11-19,1404.0
2020-11-20,1524.0
2020-11-21,1143.0
2020-11-22,714.0
2020-11-23,1004.0
2020-11-24,1077.0
2020-11-25,964.0
2020-11-26,790.0
2020-11-27,703.0
2020-11-28,723.0
2020-11-29,594.0
2020-11-30,403.0
2020-12-01,480.0
2020-12-02,970.0
2020-12-03,844.0
2020-12-04,555.0
2020-12-05,477.0
2020-12-06,361.0
