Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,1.0
2020-03-07,1.0
2020-03-08,0.0
2020-03-09,2.0
2020-03-10,0.0
2020-03-11,1.0
2020-03-12,5.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,8.0
2020-03-16,0.0
2020-03-17,3.0
2020-03-18,6.0
2020-03-19,0.0
2020-03-20,11.0
2020-03-21,4.0
2020-03-22,8.0
2020-03-23,2.0
2020-03-24,1.0
2020-03-25,11.0
2020-03-26,9.0
2020-03-27,16.0
2020-03-28,19.0
2020-03-29,12.0
2020-03-30,25.0
2020-03-31,32.0
2020-04-01,37.0
2020-04-02,41.0
2020-04-03,30.0
2020-04-04,38.0
2020-04-05,44.0
2020-04-06,45.0
2020-04-07,66.0
2020-04-08,45.0
2020-04-09,54.0
2020-04-10,71.0
2020-04-11,56.0
2020-04-12,110.0
2020-04-13,57.0
2020-04-14,30.0
2020-04-15,51.0
2020-04-16,114.0
2020-04-17,72.0
2020-04-18,149.0
2020-04-19,187.0
2020-04-20,174.0
2020-04-21,74.0
2020-04-22,91.0
2020-04-23,311.0
2020-04-24,297.0
2020-04-25,311.0
2020-04-26,296.0
2020-04-27,330.0
2020-04-28,16.0
2020-04-29,410.0
2020-04-30,497.0
2020-05-01,557.0
2020-05-02,488.0
2020-05-03,333.0
2020-05-04,424.0
2020-05-05,355.0
2020-05-06,333.0
2020-05-07,419.0
2020-05-08,641.0
2020-05-09,403.0
2020-05-10,81.0
2020-05-11,257.0
2020-05-12,120.0
2020-05-13,383.0
2020-05-14,341.0
2020-05-15,356.0
2020-05-16,448.0
2020-05-17,128.0
2020-05-18,277.0
2020-05-19,221.0
2020-05-20,276.0
2020-05-21,303.0
2020-05-22,237.0
2020-05-23,327.0
2020-05-24,145.0
2020-05-25,221.0
2020-05-26,264.0
2020-05-27,357.0
2020-05-28,285.0
2020-05-29,393.0
2020-05-30,251.0
2020-05-31,196.0
2020-06-01,244.0
2020-06-02,266.0
2020-06-03,255.0
2020-06-04,251.0
2020-06-05,262.0
2020-06-06,164.0
2020-06-07,91.0
2020-06-08,118.0
2020-06-09,131.0
2020-06-10,142.0
2020-06-11,290.0
2020-06-12,198.0
2020-06-13,120.0
2020-06-14,92.0
2020-06-15,126.0
2020-06-16,180.0
2020-06-17,195.0
2020-06-18,189.0
2020-06-19,176.0
2020-06-20,116.0
2020-06-21,103.0
2020-06-22,147.0
2020-06-23,135.0
2020-06-24,129.0
2020-06-25,125.0
2020-06-26,178.0
2020-06-27,251.0
2020-06-28,124.0
2020-06-29,143.0
2020-06-30,135.0
2020-07-01,133.0
2020-07-02,142.0
2020-07-03,208.0
2020-07-04,167.0
2020-07-05,102.0
2020-07-06,117.0
2020-07-07,155.0
2020-07-08,224.0
2020-07-09,198.0
2020-07-10,154.0
2020-07-11,221.0
2020-07-12,174.0
2020-07-13,227.0
2020-07-14,318.0
2020-07-15,262.0
2020-07-16,155.0
2020-07-17,227.0
2020-07-18,120.0
2020-07-19,102.0
2020-07-20,264.0
2020-07-21,343.0
2020-07-22,296.0
2020-07-23,332.0
2020-07-24,356.0
2020-07-25,221.0
2020-07-26,223.0
2020-07-27,271.0
2020-07-28,268.0
2020-07-29,265.0
2020-07-30,344.0
2020-07-31,445.0
2020-08-01,180.0
2020-08-02,311.0
2020-08-03,254.0
2020-08-04,222.0
2020-08-05,311.0
2020-08-06,332.0
2020-08-07,283.0
2020-08-08,141.0
2020-08-09,187.0
2020-08-10,264.0
2020-08-11,334.0
2020-08-12,214.0
2020-08-13,416.0
2020-08-14,328.0
2020-08-15,253.0
2020-08-16,131.0
2020-08-17,191.0
2020-08-18,262.0
2020-08-19,215.0
2020-08-20,308.0
2020-08-21,278.0
2020-08-22,154.0
2020-08-23,109.0
2020-08-24,158.0
2020-08-25,301.0
2020-08-26,379.0
2020-08-27,374.0
2020-08-28,335.0
2020-08-29,317.0
2020-08-30,293.0
2020-08-31,241.0
2020-09-01,287.0
2020-09-02,421.0
2020-09-03,474.0
2020-09-04,192.0
2020-09-05,144.0
2020-09-06,81.0
2020-09-07,89.0
2020-09-08,502.0
2020-09-09,440.0
2020-09-10,456.0
2020-09-11,468.0
2020-09-12,267.0
2020-09-13,80.0
2020-09-14,454.0
2020-09-15,328.0
2020-09-16,449.0
2020-09-17,502.0
2020-09-18,466.0
2020-09-19,410.0
2020-09-20,286.0
2020-09-21,305.0
2020-09-22,397.0
2020-09-23,493.0
2020-09-24,453.0
2020-09-25,431.0
2020-09-26,434.0
2020-09-27,467.0
2020-09-28,515.0
2020-09-29,466.0
2020-09-30,520.0
2020-10-01,621.0
2020-10-02,792.0
2020-10-03,426.0
2020-10-04,404.0
2020-10-05,452.0
2020-10-06,498.0
2020-10-07,639.0
2020-10-08,663.0
2020-10-09,0.0
2020-10-10,1085.0
2020-10-11,1238.0
2020-10-12,457.0
2020-10-13,704.0
2020-10-14,924.0
2020-10-15,961.0
2020-10-16,1286.0
2020-10-17,620.0
2020-10-18,734.0
2020-10-19,749.0
2020-10-20,592.0
2020-10-21,899.0
2020-10-22,977.0
2020-10-23,1225.0
2020-10-24,705.0
2020-10-25,582.0
2020-10-26,702.0
2020-10-27,877.0
2020-10-28,1169.0
2020-10-29,1605.0
2020-10-30,1495.0
2020-10-31,1087.0
2020-11-01,934.0
2020-11-02,954.0
2020-11-03,1440.0
2020-11-04,1828.0
2020-11-05,2124.0
2020-11-06,2681.0
2020-11-07,1702.0
2020-11-08,1574.0
2020-11-09,1582.0
2020-11-10,2182.0
2020-11-11,2209.0
2020-11-12,2611.0
2020-11-13,2369.0
2020-11-14,1912.0
2020-11-15,1327.0
2020-11-16,3440.0
2020-11-17,2204.0
2020-11-18,2812.0
2020-11-19,2663.0
2020-11-20,2381.0
2020-11-21,1368.0
2020-11-22,1032.0
2020-11-23,1860.0
2020-11-24,1761.0
2020-11-25,2394.0
2020-11-26,2876.0
2020-11-27,1114.0
2020-11-28,1257.0
2020-11-29,1143.0
2020-11-30,1941.0
2020-12-01,1787.0
2020-12-02,2336.0
2020-12-03,2180.0
2020-12-04,1615.0
2020-12-05,2243.0
