Date,New Cases
2020-03-01,0.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,2.0
2020-03-09,0.0
2020-03-10,1.0
2020-03-11,0.0
2020-03-12,1.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,7.0
2020-03-16,4.0
2020-03-17,9.0
2020-03-18,13.0
2020-03-19,5.0
2020-03-20,11.0
2020-03-21,10.0
2020-03-22,13.0
2020-03-23,23.0
2020-03-24,7.0
2020-03-25,29.0
2020-03-26,21.0
2020-03-27,29.0
2020-03-28,27.0
2020-03-29,44.0
2020-03-30,56.0
2020-03-31,53.0
2020-04-01,48.0
2020-04-02,64.0
2020-04-03,61.0
2020-04-04,81.0
2020-04-05,48.0
2020-04-06,46.0
2020-04-07,32.0
2020-04-08,41.0
2020-04-09,31.0
2020-04-10,66.0
2020-04-11,44.0
2020-04-12,56.0
2020-04-13,35.0
2020-04-14,71.0
2020-04-15,48.0
2020-04-16,72.0
2020-04-17,76.0
2020-04-18,55.0
2020-04-19,50.0
2020-04-20,55.0
2020-04-21,44.0
2020-04-22,97.0
2020-04-23,82.0
2020-04-24,50.0
2020-04-25,67.0
2020-04-26,77.0
2020-04-27,74.0
2020-04-28,72.0
2020-04-29,44.0
2020-04-30,92.0
2020-05-01,164.0
2020-05-02,119.0
2020-05-03,89.0
2020-05-04,70.0
2020-05-05,48.0
2020-05-06,104.0
2020-05-07,103.0
2020-05-08,104.0
2020-05-09,64.0
2020-05-10,60.0
2020-05-11,89.0
2020-05-12,79.0
2020-05-13,60.0
2020-05-14,83.0
2020-05-15,82.0
2020-05-16,92.0
2020-05-17,40.0
2020-05-18,56.0
2020-05-19,69.0
2020-05-20,147.0
2020-05-21,67.0
2020-05-22,79.0
2020-05-23,75.0
2020-05-24,60.0
2020-05-25,48.0
2020-05-26,34.0
2020-05-27,55.0
2020-05-28,100.0
2020-05-29,106.0
2020-05-30,53.0
2020-05-31,106.0
2020-06-01,34.0
2020-06-02,64.0
2020-06-03,46.0
2020-06-04,81.0
2020-06-05,77.0
2020-06-06,66.0
2020-06-07,24.0
2020-06-08,36.0
2020-06-09,53.0
2020-06-10,46.0
2020-06-11,31.0
2020-06-12,42.0
2020-06-13,48.0
2020-06-14,19.0
2020-06-15,27.0
2020-06-16,19.0
2020-06-17,72.0
2020-06-18,14.0
2020-06-19,0.0
2020-06-20,68.0
2020-06-21,26.0
2020-06-22,14.0
2020-06-23,13.0
2020-06-24,27.0
2020-06-25,40.0
2020-06-26,0.0
2020-06-27,33.0
2020-06-28,76.0
2020-06-29,13.0
2020-06-30,22.0
2020-07-01,20.0
2020-07-02,20.0
2020-07-03,0.0
2020-07-04,35.0
2020-07-05,40.0
2020-07-06,17.0
2020-07-07,18.0
2020-07-08,20.0
2020-07-09,21.0
2020-07-10,18.0
2020-07-11,33.0
2020-07-12,30.0
2020-07-13,14.0
2020-07-14,23.0
2020-07-15,22.0
2020-07-16,26.0
