Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,1.0
2020-03-06,0.0
2020-03-07,1.0
2020-03-08,1.0
2020-03-09,1.0
2020-03-10,1.0
2020-03-11,2.0
2020-03-12,4.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,5.0
2020-03-16,29.0
2020-03-17,10.0
2020-03-18,8.0
2020-03-19,32.0
2020-03-20,14.0
2020-03-21,45.0
2020-03-22,36.0
2020-03-23,55.0
2020-03-24,33.0
2020-03-25,43.0
2020-03-26,214.0
2020-03-27,86.0
2020-03-28,117.0
2020-03-29,182.0
2020-03-30,124.0
2020-03-31,69.0
2020-04-01,166.0
2020-04-02,179.0
2020-04-03,56.0
2020-04-04,228.0
2020-04-05,94.0
2020-04-06,117.0
2020-04-07,134.0
2020-04-08,231.0
2020-04-09,138.0
2020-04-10,128.0
2020-04-11,116.0
2020-04-12,136.0
2020-04-13,135.0
2020-04-14,117.0
2020-04-15,123.0
2020-04-16,110.0
2020-04-17,203.0
2020-04-18,102.0
2020-04-19,102.0
2020-04-20,102.0
2020-04-21,107.0
2020-04-22,144.0
2020-04-23,127.0
2020-04-24,190.0
2020-04-25,141.0
2020-04-26,63.0
2020-04-27,88.0
2020-04-28,122.0
2020-04-29,86.0
2020-04-30,109.0
2020-05-01,220.0
2020-05-02,84.0
2020-05-03,115.0
2020-05-04,74.0
2020-05-05,103.0
2020-05-06,60.0
2020-05-07,103.0
2020-05-08,118.0
2020-05-09,144.0
2020-05-10,81.0
2020-05-11,54.0
2020-05-12,159.0
2020-05-13,83.0
2020-05-14,94.0
2020-05-15,130.0
2020-05-16,33.0
2020-05-17,210.0
2020-05-18,49.0
2020-05-19,125.0
2020-05-20,136.0
2020-05-21,89.0
2020-05-22,130.0
2020-05-23,295.0
2020-05-24,90.0
2020-05-25,102.0
2020-05-26,110.0
2020-05-27,115.0
2020-05-28,112.0
2020-05-29,125.0
2020-05-30,145.0
2020-05-31,115.0
2020-06-01,78.0
2020-06-02,142.0
2020-06-03,121.0
2020-06-04,139.0
2020-06-05,195.0
2020-06-06,175.0
2020-06-07,189.0
2020-06-08,156.0
2020-06-09,225.0
2020-06-10,134.0
2020-06-11,253.0
2020-06-12,261.0
2020-06-13,286.0
2020-06-14,209.0
2020-06-15,124.0
2020-06-16,361.0
2020-06-17,202.0
2020-06-18,234.0
2020-06-19,421.0
2020-06-20,645.0
2020-06-21,274.0
2020-06-22,330.0
2020-06-23,464.0
2020-06-24,364.0
2020-06-25,493.0
2020-06-26,387.0
2020-06-27,1104.0
2020-06-28,821.0
2020-06-29,734.0
2020-06-30,553.0
2020-07-01,644.0
2020-07-02,636.0
2020-07-03,982.0
2020-07-04,857.0
2020-07-05,843.0
2020-07-06,491.0
2020-07-07,883.0
2020-07-08,567.0
2020-07-09,552.0
2020-07-10,1005.0
2020-07-11,718.0
2020-07-12,1032.0
2020-07-13,850.0
2020-07-14,1088.0
2020-07-15,841.0
2020-07-16,1447.0
2020-07-17,1383.0
2020-07-18,1186.0
2020-07-19,1288.0
2020-07-20,948.0
2020-07-21,816.0
2020-07-22,1136.0
2020-07-23,1263.0
2020-07-24,0.0
2020-07-25,1897.0
2020-07-26,1030.0
2020-07-27,988.0
2020-07-28,1096.0
2020-07-29,870.0
2020-07-30,1149.0
2020-07-31,1142.0
2020-08-01,994.0
2020-08-02,1131.0
2020-08-03,985.0
2020-08-04,1001.0
2020-08-05,645.0
2020-08-06,851.0
2020-08-07,838.0
2020-08-08,887.0
2020-08-09,812.0
2020-08-10,742.0
2020-08-11,547.0
2020-08-12,525.0
2020-08-13,586.0
2020-08-14,1099.0
2020-08-15,859.0
2020-08-16,697.0
2020-08-17,660.0
2020-08-18,683.0
2020-08-19,394.0
2020-08-20,556.0
2020-08-21,893.0
2020-08-22,637.0
2020-08-23,532.0
2020-08-24,409.0
2020-08-25,405.0
2020-08-26,258.0
2020-08-27,553.0
2020-08-28,624.0
2020-08-29,602.0
2020-08-30,447.0
2020-08-31,320.0
2020-09-01,400.0
2020-09-02,238.0
2020-09-03,352.0
2020-09-04,489.0
2020-09-05,390.0
2020-09-06,508.0
2020-09-07,357.0
2020-09-08,130.0
2020-09-09,155.0
2020-09-10,288.0
2020-09-11,260.0
2020-09-12,398.0
2020-09-13,317.0
2020-09-14,277.0
2020-09-15,-35.0
2020-09-16,434.0
2020-09-17,344.0
2020-09-18,498.0
2020-09-19,323.0
2020-09-20,3.0
2020-09-21,629.0
2020-09-22,261.0
2020-09-23,482.0
2020-09-24,390.0
2020-09-25,483.0
2020-09-26,602.0
2020-09-27,378.0
2020-09-28,462.0
2020-09-29,402.0
2020-09-30,386.0
2020-10-01,430.0
2020-10-02,771.0
2020-10-03,526.0
2020-10-04,392.0
2020-10-05,325.0
2020-10-06,476.0
2020-10-07,432.0
2020-10-08,480.0
2020-10-09,768.0
2020-10-10,806.0
2020-10-11,380.0
2020-10-12,568.0
2020-10-13,487.0
2020-10-14,479.0
2020-10-15,655.0
2020-10-16,721.0
2020-10-17,969.0
2020-10-18,607.0
2020-10-19,583.0
2020-10-20,652.0
2020-10-21,472.0
2020-10-22,789.0
2020-10-23,813.0
2020-10-24,1146.0
2020-10-25,891.0
2020-10-26,475.0
2020-10-27,727.0
2020-10-28,574.0
2020-10-29,1075.0
2020-10-30,1232.0
2020-10-31,977.0
2020-11-01,716.0
2020-11-02,635.0
2020-11-03,911.0
2020-11-04,1068.0
2020-11-05,1267.0
2020-11-06,1562.0
2020-11-07,1824.0
2020-11-08,1276.0
2020-11-09,960.0
2020-11-10,1322.0
2020-11-11,1107.0
2020-11-12,1469.0
2020-11-13,1857.0
2020-11-14,2269.0
2020-11-15,1177.0
2020-11-16,1914.0
2020-11-17,1697.0
2020-11-18,1665.0
2020-11-19,2416.0
2020-11-20,1839.0
2020-11-21,2019.0
2020-11-22,2155.0
2020-11-23,2339.0
2020-11-24,2853.0
2020-11-25,3159.0
2020-11-26,2542.0
2020-11-27,1536.0
2020-11-28,2912.0
2020-11-29,1298.0
2020-11-30,1642.0
2020-12-01,2698.0
2020-12-02,2129.0
2020-12-03,2536.0
2020-12-04,2902.0
