Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,1.0
2020-03-05,11.0
2020-03-06,9.0
2020-03-07,7.0
2020-03-08,0.0
2020-03-09,97.0
2020-03-10,12.0
2020-03-11,27.0
2020-03-12,66.0
2020-03-13,37.0
2020-03-14,44.0
2020-03-15,89.0
2020-03-16,87.0
2020-03-17,243.0
2020-03-18,313.0
2020-03-19,640.0
2020-03-20,1011.0
2020-03-21,1451.0
2020-03-22,1978.0
2020-03-23,2447.0
2020-03-24,2191.0
2020-03-25,2194.0
2020-03-26,2910.0
2020-03-27,3372.0
2020-03-28,3315.0
2020-03-29,3193.0
2020-03-30,3299.0
2020-03-31,3612.0
2020-04-01,3617.0
2020-04-02,4299.0
2020-04-03,5132.0
2020-04-04,4694.0
2020-04-05,4082.0
2020-04-06,17844.0
2020-04-07,-10427.0
2020-04-08,5616.0
2020-04-09,5397.0
2020-04-10,5218.0
2020-04-11,4022.0
2020-04-12,3336.0
2020-04-13,2782.0
2020-04-14,3475.0
2020-04-15,3734.0
2020-04-16,3661.0
2020-04-17,3152.0
2020-04-18,3258.0
2020-04-19,2802.0
2020-04-20,2356.0
2020-04-21,1659.0
2020-04-22,2419.0
2020-04-23,2821.0
2020-04-24,3512.0
2020-04-25,5913.0
2020-04-26,2757.0
2020-04-27,1720.0
2020-04-28,1261.0
2020-04-29,2082.0
2020-04-30,2044.0
2020-05-01,1730.0
2020-05-02,1999.0
2020-05-03,1461.0
2020-05-04,1218.0
2020-05-05,1016.0
2020-05-06,1309.0
2020-05-07,1626.0
2020-05-08,1371.0
2020-05-09,1209.0
2020-05-10,1145.0
2020-05-11,720.0
2020-05-12,664.0
2020-05-13,1049.0
2020-05-14,1095.0
2020-05-15,950.0
2020-05-16,1176.0
2020-05-17,896.0
2020-05-18,613.0
2020-05-19,883.0
2020-05-20,796.0
2020-05-21,963.0
2020-05-22,887.0
2020-05-23,990.0
2020-05-24,732.0
2020-05-25,641.0
2020-05-26,502.0
2020-05-27,462.0
2020-05-28,685.0
2020-05-29,603.0
2020-05-30,624.0
2020-05-31,558.0
2020-06-01,480.0
2020-06-02,716.0
2020-06-03,550.0
2020-06-04,514.0
2020-06-05,541.0
2020-06-06,537.0
2020-06-07,323.0
2020-06-08,318.0
2020-06-09,343.0
2020-06-10,249.0
2020-06-11,337.0
2020-06-12,385.0
2020-06-13,377.0
2020-06-14,309.0
2020-06-15,239.0
2020-06-16,299.0
2020-06-17,217.0
2020-06-18,299.0
2020-06-19,386.0
2020-06-20,325.0
2020-06-21,279.0
2020-06-22,257.0
2020-06-23,282.0
2020-06-24,289.0
2020-06-25,398.0
2020-06-26,434.0
2020-06-27,339.0
2020-06-28,300.0
2020-06-29,202.0
2020-06-30,284.0
2020-07-01,329.0
2020-07-02,448.0
2020-07-03,458.0
2020-07-04,358.0
2020-07-05,294.0
2020-07-06,271.0
2020-07-07,316.0
2020-07-08,403.0
2020-07-09,309.0
2020-07-10,435.0
2020-07-11,423.0
2020-07-12,336.0
2020-07-13,307.0
2020-07-14,597.0
2020-07-15,465.0
2020-07-16,384.0
2020-07-17,409.0
2020-07-18,367.0
2020-07-19,204.0
2020-07-20,235.0
2020-07-21,464.0
2020-07-22,355.0
2020-07-23,423.0
2020-07-24,393.0
2020-07-25,410.0
2020-07-26,307.0
2020-07-27,318.0
2020-07-28,336.0
2020-07-29,413.0
2020-07-30,465.0
2020-07-31,359.0
2020-08-01,441.0
2020-08-02,268.0
2020-08-03,304.0
2020-08-04,430.0
2020-08-05,335.0
2020-08-06,370.0
2020-08-07,370.0
2020-08-08,377.0
2020-08-09,267.0
2020-08-10,239.0
2020-08-11,393.0
2020-08-12,314.0
2020-08-13,299.0
2020-08-14,360.0
2020-08-15,352.0
2020-08-16,300.0
2020-08-17,173.0
2020-08-18,371.0
2020-08-19,358.0
2020-08-20,328.0
2020-08-21,423.0
2020-08-22,386.0
2020-08-23,293.0
2020-08-24,194.0
2020-08-25,398.0
2020-08-26,306.0
2020-08-27,476.0
2020-08-28,366.0
2020-08-29,357.0
2020-08-30,417.0
2020-08-31,388.0
2020-09-01,449.0
2020-09-02,444.0
2020-09-03,585.0
2020-09-04,539.0
2020-09-05,522.0
2020-09-06,434.0
2020-09-07,317.0
2020-09-08,335.0
2020-09-09,363.0
2020-09-10,421.0
2020-09-11,611.0
2020-09-12,543.0
2020-09-13,481.0
2020-09-14,318.0
2020-09-15,460.0
2020-09-16,400.0
2020-09-17,563.0
2020-09-18,442.0
2020-09-19,494.0
2020-09-20,464.0
2020-09-21,313.0
2020-09-22,403.0
2020-09-23,385.0
2020-09-24,531.0
2020-09-25,537.0
2020-09-26,576.0
2020-09-27,484.0
2020-09-28,455.0
2020-09-29,666.0
2020-09-30,554.0
2020-10-01,849.0
2020-10-02,999.0
2020-10-03,1019.0
2020-10-04,690.0
2020-10-05,465.0
2020-10-06,826.0
2020-10-07,812.0
2020-10-08,1140.0
2020-10-09,968.0
2020-10-10,872.0
2020-10-11,674.0
2020-10-12,636.0
2020-10-13,848.0
2020-10-14,768.0
2020-10-15,952.0
2020-10-16,1047.0
2020-10-17,978.0
2020-10-18,778.0
2020-10-19,579.0
2020-10-20,765.0
2020-10-21,1187.0
2020-10-22,1098.0
2020-10-23,1066.0
2020-10-24,1306.0
2020-10-25,979.0
2020-10-26,767.0
2020-10-27,1260.0
2020-10-28,1194.0
2020-10-29,1439.0
2020-10-30,1352.0
2020-10-31,1350.0
2020-11-01,1309.0
2020-11-02,992.0
2020-11-03,1519.0
2020-11-04,1331.0
2020-11-05,1930.0
2020-11-06,2006.0
2020-11-07,2422.0
2020-11-08,2037.0
2020-11-09,1988.0
2020-11-10,2757.0
2020-11-11,3089.0
2020-11-12,3135.0
2020-11-13,3575.0
2020-11-14,3591.0
2020-11-15,2192.0
2020-11-16,2205.0
2020-11-17,3154.0
2020-11-18,3547.0
2020-11-19,3463.0
2020-11-20,3447.0
2020-11-21,4028.0
2020-11-22,3461.0
2020-11-23,4124.0
2020-11-24,3153.0
2020-11-25,4349.0
2020-11-26,4602.0
2020-11-27,5618.0
2020-11-28,3962.0
2020-11-29,4429.0
2020-11-30,4315.0
