Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,3.0
2020-03-11,0.0
2020-03-12,2.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,32.0
2020-03-16,13.0
2020-03-17,17.0
2020-03-18,21.0
2020-03-19,31.0
2020-03-20,50.0
2020-03-21,78.0
2020-03-22,104.0
2020-03-23,91.0
2020-03-24,122.0
2020-03-25,140.0
2020-03-26,163.0
2020-03-27,270.0
2020-03-28,269.0
2020-03-29,247.0
2020-03-30,280.0
2020-03-31,266.0
2020-04-01,348.0
2020-04-02,355.0
2020-04-03,410.0
2020-04-04,427.0
2020-04-05,304.0
2020-04-06,407.0
2020-04-07,332.0
2020-04-08,366.0
2020-04-09,364.0
2020-04-10,366.0
2020-04-11,372.0
2020-04-12,268.0
2020-04-13,457.0
2020-04-14,305.0
2020-04-15,511.0
2020-04-16,623.0
2020-04-17,693.0
2020-04-18,1115.0
2020-04-19,1380.0
2020-04-20,1317.0
2020-04-21,806.0
2020-04-22,392.0
2020-04-23,577.0
2020-04-24,475.0
2020-04-25,418.0
2020-04-26,376.0
2020-04-27,362.0
2020-04-28,444.0
2020-04-29,534.0
2020-04-30,724.0
2020-05-01,716.0
2020-05-02,592.0
2020-05-03,579.0
2020-05-04,560.0
2020-05-05,495.0
2020-05-06,607.0
2020-05-07,555.0
2020-05-08,885.0
2020-05-09,681.0
2020-05-10,384.0
2020-05-11,696.0
2020-05-12,473.0
2020-05-13,471.0
2020-05-14,636.0
2020-05-15,597.0
2020-05-16,520.0
2020-05-17,449.0
2020-05-18,349.0
2020-05-19,680.0
2020-05-20,484.0
2020-05-21,731.0
2020-05-22,627.0
2020-05-23,614.0
2020-05-24,503.0
2020-05-25,566.0
2020-05-26,529.0
2020-05-27,433.0
2020-05-28,476.0
2020-05-29,651.0
2020-05-30,468.0
2020-05-31,479.0
2020-06-01,471.0
2020-06-02,429.0
2020-06-03,379.0
2020-06-04,490.0
2020-06-05,476.0
2020-06-06,353.0
2020-06-07,365.0
2020-06-08,361.0
2020-06-09,325.0
2020-06-10,413.0
2020-06-11,429.0
2020-06-12,420.0
2020-06-13,424.0
2020-06-14,300.0
2020-06-15,428.0
2020-06-16,434.0
2020-06-17,412.0
2020-06-18,700.0
2020-06-19,609.0
2020-06-20,531.0
2020-06-21,546.0
2020-06-22,729.0
2020-06-23,590.0
2020-06-24,632.0
2020-06-25,892.0
2020-06-26,987.0
2020-06-27,817.0
2020-06-28,854.0
2020-06-29,737.0
2020-06-30,743.0
2020-07-01,1076.0
2020-07-02,1301.0
2020-07-03,1091.0
2020-07-04,926.0
2020-07-05,968.0
2020-07-06,805.0
2020-07-07,948.0
2020-07-08,1277.0
2020-07-09,1150.0
2020-07-10,1525.0
2020-07-11,1358.0
2020-07-12,1378.0
2020-07-13,1261.0
2020-07-14,1142.0
2020-07-15,1316.0
2020-07-16,1290.0
2020-07-17,1679.0
2020-07-18,1542.0
2020-07-19,1110.0
2020-07-20,1236.0
2020-07-21,1047.0
2020-07-22,1527.0
2020-07-23,1444.0
2020-07-24,1560.0
2020-07-25,1438.0
2020-07-26,889.0
2020-07-27,1104.0
2020-07-28,1320.0
2020-07-29,1396.0
2020-07-30,1733.0
2020-07-31,1533.0
2020-08-01,928.0
2020-08-02,944.0
2020-08-03,932.0
2020-08-04,1143.0
2020-08-05,1199.0
2020-08-06,1166.0
2020-08-07,1204.0
2020-08-08,1294.0
2020-08-09,879.0
2020-08-10,883.0
2020-08-11,1095.0
2020-08-12,1422.0
2020-08-13,1178.0
2020-08-14,1131.0
2020-08-15,1117.0
2020-08-16,613.0
2020-08-17,775.0
2020-08-18,861.0
2020-08-19,958.0
2020-08-20,1122.0
2020-08-21,1043.0
2020-08-22,1119.0
2020-08-23,637.0
2020-08-24,849.0
2020-08-25,844.0
2020-08-26,1089.0
2020-08-27,1244.0
2020-08-28,1296.0
2020-08-29,1216.0
2020-08-30,922.0
2020-08-31,895.0
2020-09-01,1453.0
2020-09-02,1157.0
2020-09-03,1345.0
2020-09-04,1332.0
2020-09-05,1341.0
2020-09-06,773.0
2020-09-07,0.0
2020-09-08,1434.0
2020-09-09,973.0
2020-09-10,1121.0
2020-09-11,1240.0
2020-09-12,1242.0
2020-09-13,837.0
2020-09-14,1079.0
2020-09-15,1001.0
2020-09-16,1033.0
2020-09-17,1067.0
2020-09-18,1011.0
2020-09-19,951.0
2020-09-20,762.0
2020-09-21,856.0
2020-09-22,685.0
2020-09-23,903.0
2020-09-24,991.0
2020-09-25,1150.0
2020-09-26,1115.0
2020-09-27,800.0
2020-09-28,993.0
2020-09-29,1105.0
2020-09-30,1080.0
2020-10-01,1327.0
2020-10-02,1495.0
2020-10-03,1157.0
2020-10-04,941.0
2020-10-05,1057.0
2020-10-06,1335.0
2020-10-07,1424.0
2020-10-08,1539.0
2020-10-09,1840.0
2020-10-10,1356.0
2020-10-11,1291.0
2020-10-12,1430.0
2020-10-13,1447.0
2020-10-14,2039.0
2020-10-15,2178.0
2020-10-16,2148.0
2020-10-17,2234.0
2020-10-18,1562.0
2020-10-19,1837.0
2020-10-20,2015.0
2020-10-21,2366.0
2020-10-22,2425.0
2020-10-23,2518.0
2020-10-24,2858.0
2020-10-25,2309.0
2020-10-26,2116.0
2020-10-27,2509.0
2020-10-28,2607.0
2020-10-29,3590.0
2020-10-30,3845.0
2020-10-31,2915.0
2020-11-01,3303.0
2020-11-02,2909.0
2020-11-03,4229.0
2020-11-04,4071.0
2020-11-05,4961.0
2020-11-06,5008.0
2020-11-07,5549.0
2020-11-08,4541.0
2020-11-09,4706.0
2020-11-10,6508.0
2020-11-11,5874.0
2020-11-12,7101.0
2020-11-13,8071.0
2020-11-14,7715.0
2020-11-15,7853.0
2020-11-16,7268.0
2020-11-17,7079.0
2020-11-18,6385.0
2020-11-19,7787.0
2020-11-20,8808.0
2020-11-21,7863.0
2020-11-22,8133.0
2020-11-23,11885.0
2020-11-24,8604.0
2020-11-25,10835.0
2020-11-26,0.0
2020-11-27,17065.0
2020-11-28,6895.0
