Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,2.0
2020-03-07,2.0
2020-03-08,2.0
2020-03-09,4.0
2020-03-10,2.0
2020-03-11,4.0
2020-03-12,7.0
2020-03-13,6.0
2020-03-14,18.0
2020-03-15,16.0
2020-03-16,13.0
2020-03-17,20.0
2020-03-18,37.0
2020-03-19,52.0
2020-03-20,84.0
2020-03-21,102.0
2020-03-22,108.0
2020-03-23,165.0
2020-03-24,207.0
2020-03-25,277.0
2020-03-26,560.0
2020-03-27,531.0
2020-03-28,533.0
2020-03-29,642.0
2020-03-30,693.0
2020-03-31,756.0
2020-04-01,962.0
2020-04-02,1211.0
2020-04-03,1405.0
2020-04-04,1596.0
2020-04-05,1493.0
2020-04-06,1470.0
2020-04-07,1579.0
2020-04-08,1680.0
2020-04-09,1989.0
2020-04-10,1752.0
2020-04-11,1676.0
2020-04-12,1177.0
2020-04-13,1366.0
2020-04-14,1146.0
2020-04-15,1145.0
2020-04-16,1245.0
2020-04-17,1707.0
2020-04-18,1628.0
2020-04-19,1214.0
2020-04-20,948.0
2020-04-21,1296.0
2020-04-22,1156.0
2020-04-23,1369.0
2020-04-24,1599.0
2020-04-25,1397.0
2020-04-26,1116.0
2020-04-27,885.0
2020-04-28,1214.0
2020-04-29,1102.0
2020-04-30,1397.0
2020-05-01,1208.0
2020-05-02,1334.0
2020-05-03,962.0
2020-05-04,825.0
2020-05-05,865.0
2020-05-06,888.0
2020-05-07,1070.0
2020-05-08,1323.0
2020-05-09,1078.0
2020-05-10,1295.0
2020-05-11,543.0
2020-05-12,837.0
2020-05-13,707.0
2020-05-14,938.0
2020-05-15,986.0
2020-05-16,989.0
2020-05-17,623.0
2020-05-18,1432.0
2020-05-19,270.0
2020-05-20,476.0
2020-05-21,1846.0
2020-05-22,725.0
2020-05-23,730.0
2020-05-24,473.0
2020-05-25,451.0
2020-05-26,780.0
2020-05-27,625.0
2020-05-28,693.0
2020-05-29,680.0
2020-05-30,511.0
2020-05-31,356.0
2020-06-01,612.0
2020-06-02,511.0
2020-06-03,537.0
2020-06-04,443.0
2020-06-05,701.0
2020-06-06,506.0
2020-06-07,351.0
2020-06-08,493.0
2020-06-09,410.0
2020-06-10,467.0
2020-06-11,686.0
2020-06-12,463.0
2020-06-13,0.0
2020-06-14,659.0
2020-06-15,362.0
2020-06-16,335.0
2020-06-17,418.0
2020-06-18,526.0
2020-06-19,504.0
2020-06-20,464.0
2020-06-21,456.0
2020-06-22,0.0
2020-06-23,1005.0
2020-06-24,579.0
2020-06-25,600.0
2020-06-26,621.0
2020-06-27,505.0
2020-06-28,492.0
2020-06-29,618.0
2020-06-30,636.0
2020-07-01,832.0
2020-07-02,667.0
2020-07-03,634.0
2020-07-04,479.0
2020-07-05,450.0
2020-07-06,995.0
2020-07-07,849.0
2020-07-08,719.0
2020-07-09,1009.0
2020-07-10,813.0
2020-07-11,577.0
2020-07-12,476.0
2020-07-13,929.0
2020-07-14,994.0
2020-07-15,781.0
2020-07-16,1032.0
2020-07-17,763.0
2020-07-18,786.0
2020-07-19,711.0
2020-07-20,1027.0
2020-07-21,631.0
2020-07-22,962.0
2020-07-23,1213.0
2020-07-24,1054.0
2020-07-25,800.0
2020-07-26,839.0
2020-07-27,1120.0
2020-07-28,834.0
2020-07-29,860.0
2020-07-30,970.0
2020-07-31,888.0
2020-08-01,0.0
2020-08-02,654.0
2020-08-03,565.0
2020-08-04,854.0
2020-08-05,705.0
2020-08-06,807.0
2020-08-07,758.0
2020-08-08,813.0
2020-08-09,760.0
2020-08-10,601.0
2020-08-11,828.0
2020-08-12,849.0
2020-08-13,991.0
2020-08-14,829.0
2020-08-15,850.0
2020-08-16,660.0
2020-08-17,384.0
2020-08-18,735.0
2020-08-19,570.0
2020-08-20,791.0
2020-08-21,693.0
2020-08-22,796.0
2020-08-23,619.0
2020-08-24,426.0
2020-08-25,561.0
2020-08-26,501.0
2020-08-27,620.0
2020-08-28,835.0
2020-08-29,843.0
2020-08-30,670.0
2020-08-31,521.0
2020-09-01,770.0
2020-09-02,816.0
2020-09-03,1160.0
2020-09-04,891.0
2020-09-05,963.0
2020-09-06,691.0
2020-09-07,547.0
2020-09-08,496.0
2020-09-09,931.0
2020-09-10,587.0
2020-09-11,1008.0
2020-09-12,920.0
2020-09-13,969.0
2020-09-14,289.0
2020-09-15,1151.0
2020-09-16,776.0
2020-09-17,933.0
2020-09-18,760.0
2020-09-19,1162.0
2020-09-20,733.0
2020-09-21,234.0
2020-09-22,834.0
2020-09-23,898.0
2020-09-24,853.0
2020-09-25,806.0
2020-09-26,1029.0
2020-09-27,918.0
2020-09-28,676.0
2020-09-29,988.0
2020-09-30,1153.0
2020-10-01,1156.0
2020-10-02,1161.0
2020-10-03,0.0
2020-10-04,2251.0
2020-10-05,672.0
2020-10-06,1036.0
2020-10-07,1309.0
2020-10-08,1376.0
2020-10-09,1380.0
2020-10-10,1742.0
2020-10-11,1166.0
2020-10-12,1088.0
2020-10-13,1342.0
2020-10-14,1276.0
2020-10-15,1598.0
2020-10-16,1566.0
2020-10-17,1857.0
2020-10-18,1269.0
2020-10-19,1103.0
2020-10-20,1557.0
2020-10-21,1425.0
2020-10-22,2063.0
2020-10-23,2219.0
2020-10-24,2043.0
2020-10-25,1666.0
2020-10-26,1407.0
2020-10-27,2751.0
2020-10-28,2228.0
2020-10-29,2202.0
2020-10-30,2641.0
2020-10-31,2510.0
2020-11-01,1909.0
2020-11-02,2060.0
2020-11-03,2875.0
2020-11-04,2795.0
2020-11-05,2900.0
2020-11-06,3384.0
2020-11-07,4035.0
2020-11-08,2909.0
2020-11-09,3402.0
2020-11-10,4361.0
2020-11-11,4711.0
2020-11-12,5488.0
2020-11-13,5531.0
2020-11-14,5551.0
2020-11-15,5199.0
2020-11-16,4476.0
2020-11-17,5900.0
2020-11-18,6339.0
2020-11-19,7126.0
2020-11-20,6808.0
2020-11-21,6778.0
2020-11-22,7075.0
2020-11-23,4762.0
2020-11-24,6669.0
2020-11-25,6759.0
2020-11-26,8425.0
2020-11-27,7360.0
2020-11-28,8053.0
2020-11-29,5529.0
