Date,New Cases
2020-03-01,1.0
2020-03-02,1.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,1.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,2.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,4.0
2020-03-15,12.0
2020-03-16,2.0
2020-03-17,0.0
2020-03-18,10.0
2020-03-19,11.0
2020-03-20,10.0
2020-03-21,12.0
2020-03-22,31.0
2020-03-23,9.0
2020-03-24,18.0
2020-03-25,8.0
2020-03-26,56.0
2020-03-27,15.0
2020-03-28,36.0
2020-03-29,55.0
2020-03-30,185.0
2020-03-31,41.0
2020-04-01,46.0
2020-04-02,115.0
2020-04-03,30.0
2020-04-04,95.0
2020-04-05,116.0
2020-04-06,248.0
2020-04-07,244.0
2020-04-08,36.0
2020-04-09,489.0
2020-04-10,76.0
2020-04-11,334.0
2020-04-12,316.0
2020-04-13,311.0
2020-04-14,393.0
2020-04-15,160.0
2020-04-16,440.0
2020-04-17,208.0
2020-04-18,314.0
2020-04-19,215.0
2020-04-20,384.0
2020-04-21,626.0
2020-04-22,296.0
2020-04-23,244.0
2020-04-24,443.0
2020-04-25,430.0
2020-04-26,310.0
2020-04-27,269.0
2020-04-28,218.0
2020-04-29,321.0
2020-04-30,374.0
2020-05-01,341.0
2020-05-02,327.0
2020-05-03,188.0
2020-05-04,175.0
2020-05-05,281.0
2020-05-06,272.0
2020-05-07,325.0
2020-05-08,249.0
2020-05-09,210.0
2020-05-10,285.0
2020-05-11,176.0
2020-05-12,164.0
2020-05-13,221.0
2020-05-14,181.0
2020-05-15,203.0
2020-05-16,215.0
2020-05-17,240.0
2020-05-18,121.0
2020-05-19,156.0
2020-05-20,405.0
2020-05-21,215.0
2020-05-22,165.0
2020-05-23,216.0
2020-05-24,113.0
2020-05-25,0.0
2020-05-26,145.0
2020-05-27,143.0
2020-05-28,141.0
2020-05-29,141.0
2020-05-30,184.0
2020-05-31,109.0
2020-06-01,63.0
2020-06-02,121.0
2020-06-03,107.0
2020-06-04,106.0
2020-06-05,116.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,201.0
2020-06-09,49.0
2020-06-10,65.0
2020-06-11,106.0
2020-06-12,85.0
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,146.0
2020-06-16,71.0
2020-06-17,49.0
2020-06-18,56.0
2020-06-19,68.0
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,122.0
2020-06-23,74.0
2020-06-24,73.0
2020-06-25,34.0
2020-06-26,21.0
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,103.0
2020-06-30,49.0
2020-07-01,40.0
2020-07-02,88.0
2020-07-03,50.0
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,0.0
2020-07-07,163.0
2020-07-08,50.0
2020-07-09,39.0
2020-07-10,69.0
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,175.0
2020-07-14,0.0
2020-07-15,153.0
2020-07-16,71.0
2020-07-17,82.0
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,111.0
2020-07-21,82.0
2020-07-22,76.0
2020-07-23,86.0
2020-07-24,76.0
2020-07-25,0.0
2020-07-26,0.0
2020-07-27,291.0
2020-07-28,210.0
2020-07-29,75.0
2020-07-30,150.0
2020-07-31,72.0
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,224.0
2020-08-04,144.0
2020-08-05,91.0
2020-08-06,130.0
2020-08-07,127.0
2020-08-08,0.0
2020-08-09,0.0
2020-08-10,196.0
2020-08-11,119.0
2020-08-12,76.0
2020-08-13,111.0
2020-08-14,115.0
2020-08-15,0.0
2020-08-16,-20.0
2020-08-17,237.0
2020-08-18,120.0
2020-08-19,103.0
2020-08-20,76.0
2020-08-21,151.0
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,280.0
2020-08-25,70.0
2020-08-26,82.0
2020-08-27,135.0
2020-08-28,94.0
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,266.0
2020-09-01,53.0
2020-09-02,76.0
2020-09-03,65.0
2020-09-04,100.0
2020-09-05,0.0
2020-09-06,0.0
