Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,2.0
2020-03-08,4.0
2020-03-09,1.0
2020-03-10,2.0
2020-03-11,1.0
2020-03-12,2.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,16.0
2020-03-16,5.0
2020-03-17,14.0
2020-03-18,13.0
2020-03-19,21.0
2020-03-20,44.0
2020-03-21,48.0
2020-03-22,22.0
2020-03-23,103.0
2020-03-24,44.0
2020-03-25,82.0
2020-03-26,32.0
2020-03-27,83.0
2020-03-28,121.0
2020-03-29,114.0
2020-03-30,151.0
2020-03-31,158.0
2020-04-01,210.0
2020-04-02,261.0
2020-04-03,146.0
2020-04-04,217.0
2020-04-05,132.0
2020-04-06,183.0
2020-04-07,185.0
2020-04-08,135.0
2020-04-09,240.0
2020-04-10,273.0
2020-04-11,142.0
2020-04-12,112.0
2020-04-13,120.0
2020-04-14,114.0
2020-04-15,103.0
2020-04-16,275.0
2020-04-17,155.0
2020-04-18,160.0
2020-04-19,131.0
2020-04-20,62.0
2020-04-21,169.0
2020-04-22,153.0
2020-04-23,156.0
2020-04-24,153.0
2020-04-25,183.0
2020-04-26,237.0
2020-04-27,123.0
2020-04-28,122.0
2020-04-29,146.0
2020-04-30,214.0
2020-05-01,163.0
2020-05-02,231.0
2020-05-03,137.0
2020-05-04,131.0
2020-05-05,84.0
2020-05-06,95.0
2020-05-07,206.0
2020-05-08,225.0
2020-05-09,164.0
2020-05-10,122.0
2020-05-11,139.0
2020-05-12,135.0
2020-05-13,103.0
2020-05-14,159.0
2020-05-15,218.0
2020-05-16,254.0
2020-05-17,155.0
2020-05-18,126.0
2020-05-19,114.0
2020-05-20,119.0
2020-05-21,204.0
2020-05-22,259.0
2020-05-23,257.0
2020-05-24,201.0
2020-05-25,82.0
2020-05-26,238.0
2020-05-27,207.0
2020-05-28,165.0
2020-05-29,343.0
2020-05-30,263.0
2020-05-31,467.0
2020-06-01,287.0
2020-06-02,267.0
2020-06-03,236.0
2020-06-04,354.0
2020-06-05,448.0
2020-06-06,463.0
2020-06-07,370.0
2020-06-08,514.0
2020-06-09,428.0
2020-06-10,531.0
2020-06-11,682.0
2020-06-12,729.0
2020-06-13,785.0
2020-06-14,840.0
2020-06-15,583.0
2020-06-16,612.0
2020-06-17,566.0
2020-06-18,992.0
2020-06-19,1083.0
2020-06-20,1155.0
2020-06-21,907.0
2020-06-22,1008.0
2020-06-23,912.0
2020-06-24,1284.0
2020-06-25,1125.0
2020-06-26,1313.0
2020-06-27,1604.0
2020-06-28,1381.0
2020-06-29,1324.0
2020-06-30,1755.0
2020-07-01,1520.0
2020-07-02,1782.0
2020-07-03,1831.0
2020-07-04,1854.0
2020-07-05,1461.0
2020-07-06,1533.0
2020-07-07,972.0
2020-07-08,1557.0
2020-07-09,1782.0
2020-07-10,1728.0
2020-07-11,2280.0
2020-07-12,1949.0
2020-07-13,1520.0
2020-07-14,2221.0
2020-07-15,1856.0
2020-07-16,1838.0
2020-07-17,1977.0
2020-07-18,1552.0
2020-07-19,2374.0
2020-07-20,1459.0
2020-07-21,1892.0
2020-07-22,1705.0
2020-07-23,1564.0
2020-07-24,2001.0
2020-07-25,1401.0
2020-07-26,1191.0
2020-07-27,1218.0
2020-07-28,1692.0
2020-07-29,1737.0
2020-07-30,1726.0
2020-07-31,1444.0
2020-08-01,1583.0
2020-08-02,1189.0
2020-08-03,1163.0
2020-08-04,1239.0
2020-08-05,1282.0
2020-08-06,1325.0
2020-08-07,1422.0
2020-08-08,1241.0
2020-08-09,975.0
2020-08-10,724.0
2020-08-11,971.0
2020-08-12,844.0
2020-08-13,935.0
2020-08-14,932.0
2020-08-15,1041.0
2020-08-16,615.0
2020-08-17,456.0
2020-08-18,719.0
2020-08-19,739.0
2020-08-20,909.0
2020-08-21,1058.0
2020-08-22,917.0
2020-08-23,693.0
2020-08-24,563.0
2020-08-25,937.0
2020-08-26,605.0
2020-08-27,505.0
2020-08-28,1353.0
2020-08-29,1298.0
2020-08-30,1075.0
2020-08-31,668.0
2020-09-01,854.0
2020-09-02,657.0
2020-09-03,1193.0
2020-09-04,1629.0
2020-09-05,964.0
2020-09-06,663.0
2020-09-07,655.0
2020-09-08,301.0
2020-09-09,305.0
2020-09-10,379.0
2020-09-11,2454.0
2020-09-12,932.0
2020-09-13,1886.0
2020-09-14,816.0
2020-09-15,790.0
2020-09-16,652.0
2020-09-17,1324.0
2020-09-18,872.0
2020-09-19,922.0
2020-09-20,468.0
2020-09-21,416.0
2020-09-22,2665.0
2020-09-23,897.0
2020-09-24,1021.0
2020-09-25,1195.0
2020-09-26,1371.0
2020-09-27,614.0
2020-09-28,568.0
2020-09-29,1179.0
2020-09-30,308.0
2020-10-01,381.0
2020-10-02,862.0
2020-10-03,1706.0
2020-10-04,691.0
2020-10-05,577.0
2020-10-06,811.0
2020-10-07,735.0
2020-10-08,1050.0
2020-10-09,921.0
2020-10-10,945.0
2020-10-11,785.0
2020-10-12,649.0
2020-10-13,828.0
2020-10-14,926.0
2020-10-15,1297.0
2020-10-16,1147.0
2020-10-17,961.0
2020-10-18,776.0
2020-10-19,619.0
2020-10-20,884.0
2020-10-21,864.0
2020-10-22,1128.0
2020-10-23,1064.0
2020-10-24,792.0
2020-10-25,1337.0
2020-10-26,823.0
2020-10-27,1078.0
2020-10-28,912.0
2020-10-29,1100.0
2020-10-30,1003.0
2020-10-31,1018.0
2020-11-01,1411.0
2020-11-02,894.0
2020-11-03,1035.0
2020-11-04,918.0
2020-11-05,769.0
2020-11-06,1233.0
2020-11-07,1870.0
2020-11-08,946.0
2020-11-09,703.0
2020-11-10,1347.0
2020-11-11,1257.0
2020-11-12,1495.0
2020-11-13,1611.0
2020-11-14,1913.0
2020-11-15,1493.0
2020-11-16,1110.0
2020-11-17,1283.0
2020-11-18,1547.0
2020-11-19,1713.0
2020-11-20,2001.0
2020-11-21,1857.0
2020-11-22,1277.0
2020-11-23,1257.0
2020-11-24,1678.0
2020-11-25,1675.0
2020-11-26,0.0
2020-11-27,2215.0
2020-11-28,1791.0
2020-11-29,1218.0
2020-11-30,1358.0
