Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,5.0
2020-03-11,3.0
2020-03-12,0.0
2020-03-13,1.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,1.0
2020-03-17,1.0
2020-03-18,0.0
2020-03-19,3.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,7.0
2020-03-23,7.0
2020-03-24,2.0
2020-03-25,11.0
2020-03-26,5.0
2020-03-27,12.0
2020-03-28,10.0
2020-03-29,22.0
2020-03-30,11.0
2020-03-31,7.0
2020-04-01,21.0
2020-04-02,36.0
2020-04-03,22.0
2020-04-04,25.0
2020-04-05,28.0
2020-04-06,48.0
2020-04-07,32.0
2020-04-08,73.0
2020-04-09,54.0
2020-04-10,89.0
2020-04-11,90.0
2020-04-12,104.0
2020-04-13,138.0
2020-04-14,300.0
2020-04-15,0.0
2020-04-16,143.0
2020-04-17,100.0
2020-04-18,131.0
2020-04-19,93.0
2020-04-20,50.0
2020-04-21,69.0
2020-04-22,104.0
2020-04-23,98.0
2020-04-24,84.0
2020-04-25,107.0
2020-04-26,65.0
2020-04-27,33.0
2020-04-28,68.0
2020-04-29,60.0
2020-04-30,76.0
2020-05-01,76.0
2020-05-02,63.0
2020-05-03,43.0
2020-05-04,37.0
2020-05-05,53.0
2020-05-06,58.0
2020-05-07,126.0
2020-05-08,239.0
2020-05-09,249.0
2020-05-10,124.0
2020-05-11,97.0
2020-05-12,49.0
2020-05-13,69.0
2020-05-14,60.0
2020-05-15,95.0
2020-05-16,72.0
2020-05-17,28.0
2020-05-18,40.0
2020-05-19,58.0
2020-05-20,92.0
2020-05-21,73.0
2020-05-22,106.0
2020-05-23,112.0
2020-05-24,95.0
2020-05-25,23.0
2020-05-26,67.0
2020-05-27,57.0
2020-05-28,83.0
2020-05-29,73.0
2020-05-30,94.0
2020-05-31,33.0
2020-06-01,41.0
2020-06-02,33.0
2020-06-03,95.0
2020-06-04,85.0
2020-06-05,30.0
2020-06-06,90.0
2020-06-07,71.0
2020-06-08,33.0
2020-06-09,52.0
2020-06-10,81.0
2020-06-11,61.0
2020-06-12,77.0
2020-06-13,91.0
2020-06-14,65.0
2020-06-15,30.0
2020-06-16,38.0
2020-06-17,84.0
2020-06-18,59.0
2020-06-19,49.0
2020-06-20,67.0
2020-06-21,72.0
2020-06-22,29.0
2020-06-23,27.0
2020-06-24,66.0
2020-06-25,60.0
2020-06-26,56.0
2020-06-27,91.0
2020-06-28,55.0
2020-06-29,35.0
2020-06-30,48.0
2020-07-01,62.0
2020-07-02,67.0
2020-07-03,85.0
2020-07-04,50.0
2020-07-05,35.0
2020-07-06,42.0
2020-07-07,58.0
2020-07-08,79.0
2020-07-09,94.0
2020-07-10,65.0
2020-07-11,53.0
2020-07-12,45.0
2020-07-13,25.0
2020-07-14,48.0
2020-07-15,80.0
2020-07-16,42.0
2020-07-17,95.0
2020-07-18,73.0
2020-07-19,44.0
2020-07-20,37.0
2020-07-21,76.0
2020-07-22,58.0
2020-07-23,66.0
2020-07-24,57.0
2020-07-25,105.0
2020-07-26,90.0
2020-07-27,49.0
2020-07-28,48.0
2020-07-29,149.0
2020-07-30,44.0
2020-07-31,79.0
2020-08-01,103.0
2020-08-02,88.0
2020-08-03,65.0
2020-08-04,59.0
2020-08-05,89.0
2020-08-06,105.0
2020-08-07,98.0
2020-08-08,106.0
2020-08-09,128.0
2020-08-10,58.0
2020-08-11,50.0
2020-08-12,102.0
2020-08-13,82.0
2020-08-14,127.0
2020-08-15,94.0
2020-08-16,156.0
2020-08-17,86.0
2020-08-18,83.0
2020-08-19,123.0
2020-08-20,125.0
2020-08-21,193.0
2020-08-22,251.0
2020-08-23,141.0
2020-08-24,149.0
2020-08-25,80.0
2020-08-26,66.0
2020-08-27,623.0
2020-08-28,323.0
2020-08-29,425.0
2020-08-30,380.0
2020-08-31,187.0
2020-09-01,240.0
2020-09-02,254.0
2020-09-03,334.0
2020-09-04,259.0
2020-09-05,293.0
2020-09-06,220.0
2020-09-07,191.0
2020-09-08,103.0
2020-09-09,168.0
2020-09-10,263.0
2020-09-11,283.0
2020-09-12,320.0
2020-09-13,201.0
2020-09-14,163.0
2020-09-15,193.0
2020-09-16,297.0
2020-09-17,395.0
2020-09-18,389.0
2020-09-19,369.0
2020-09-20,252.0
2020-09-21,173.0
2020-09-22,320.0
2020-09-23,445.0
2020-09-24,463.0
2020-09-25,457.0
2020-09-26,579.0
2020-09-27,408.0
2020-09-28,197.0
2020-09-29,259.0
2020-09-30,392.0
2020-10-01,747.0
2020-10-02,386.0
2020-10-03,464.0
2020-10-04,432.0
2020-10-05,180.0
2020-10-06,278.0
2020-10-07,1030.0
2020-10-08,535.0
2020-10-09,774.0
2020-10-10,732.0
2020-10-11,617.0
2020-10-12,361.0
2020-10-13,414.0
2020-10-14,876.0
2020-10-15,797.0
2020-10-16,793.0
2020-10-17,806.0
2020-10-18,658.0
2020-10-19,567.0
2020-10-20,621.0
2020-10-21,587.0
2020-10-22,973.0
2020-10-23,1185.0
2020-10-24,939.0
2020-10-25,1062.0
2020-10-26,538.0
2020-10-27,989.0
2020-10-28,1270.0
2020-10-29,1000.0
2020-10-30,1559.0
2020-10-31,1433.0
2020-11-01,1332.0
2020-11-02,526.0
2020-11-03,1004.0
2020-11-04,937.0
2020-11-05,1360.0
2020-11-06,1488.0
2020-11-07,1337.0
2020-11-08,1428.0
2020-11-09,907.0
2020-11-10,1023.0
2020-11-11,1362.0
2020-11-12,2020.0
2020-11-13,1611.0
2020-11-14,1855.0
2020-11-15,1199.0
2020-11-16,897.0
2020-11-17,1006.0
2020-11-18,1387.0
2020-11-19,1071.0
2020-11-20,1328.0
2020-11-21,1144.0
2020-11-22,851.0
2020-11-23,783.0
2020-11-24,1010.0
2020-11-25,1284.0
2020-11-26,0.0
2020-11-27,2138.0
2020-11-28,819.0
2020-11-29,801.0
2020-11-30,564.0
2020-12-01,448.0
2020-12-02,1291.0
2020-12-03,1145.0
2020-12-04,1050.0
2020-12-05,906.0
2020-12-06,687.0
