Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,1.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,6.0
2020-03-11,2.0
2020-03-12,9.0
2020-03-13,8.0
2020-03-14,0.0
2020-03-15,13.0
2020-03-16,13.0
2020-03-17,21.0
2020-03-18,25.0
2020-03-19,56.0
2020-03-20,74.0
2020-03-21,143.0
2020-03-22,134.0
2020-03-23,110.0
2020-03-24,52.0
2020-03-25,117.0
2020-03-26,173.0
2020-03-27,246.0
2020-03-28,170.0
2020-03-29,164.0
2020-03-30,297.0
2020-03-31,405.0
2020-04-01,1.0
2020-04-02,605.0
2020-04-03,35.0
2020-04-04,223.0
2020-04-05,530.0
2020-04-06,170.0
2020-04-07,336.0
2020-04-08,223.0
2020-04-09,273.0
2020-04-10,228.0
2020-04-11,0.0
2020-04-12,445.0
2020-04-13,302.0
2020-04-14,213.0
2020-04-15,13.0
2020-04-16,426.0
2020-04-17,68.0
2020-04-18,433.0
2020-04-19,33.0
2020-04-20,443.0
2020-04-21,155.0
2020-04-22,178.0
2020-04-23,709.0
2020-04-24,461.0
2020-04-25,140.0
2020-04-26,816.0
2020-04-27,254.0
2020-04-28,135.0
2020-04-29,45.0
2020-04-30,603.0
2020-05-01,1156.0
2020-05-02,770.0
2020-05-03,582.0
2020-05-04,328.0
2020-05-05,119.0
2020-05-06,248.0
2020-05-07,228.0
2020-05-08,346.0
2020-05-09,331.0
2020-05-10,217.0
2020-05-11,562.0
2020-05-12,568.0
2020-05-13,261.0
2020-05-14,333.0
2020-05-15,268.0
2020-05-16,322.0
2020-05-17,121.0
2020-05-18,626.0
2020-05-19,370.0
2020-05-20,155.0
2020-05-21,427.0
2020-05-22,437.0
2020-05-23,399.0
2020-05-24,360.0
2020-05-25,462.0
2020-05-26,358.0
2020-05-27,352.0
2020-05-28,381.0
2020-05-29,414.0
2020-05-30,484.0
2020-05-31,439.0
2020-06-01,550.0
2020-06-02,834.0
2020-06-03,447.0
2020-06-04,299.0
2020-06-05,401.0
2020-06-06,558.0
2020-06-07,313.0
2020-06-08,568.0
2020-06-09,630.0
2020-06-10,302.0
2020-06-11,477.0
2020-06-12,588.0
2020-06-13,415.0
2020-06-14,891.0
2020-06-15,728.0
2020-06-16,670.0
2020-06-17,313.0
2020-06-18,686.0
2020-06-19,1188.0
2020-06-20,429.0
2020-06-21,656.0
2020-06-22,451.0
2020-06-23,750.0
2020-06-24,932.0
2020-06-25,799.0
2020-06-26,1410.0
2020-06-27,728.0
2020-06-28,0.0
2020-06-29,2125.0
2020-06-30,1212.0
2020-07-01,1806.0
2020-07-02,1575.0
2020-07-03,1822.0
2020-07-04,1428.0
2020-07-05,1291.0
2020-07-06,724.0
2020-07-07,1359.0
2020-07-08,2472.0
2020-07-09,1605.0
2020-07-10,1955.0
2020-07-11,1460.0
2020-07-12,954.0
2020-07-13,3314.0
2020-07-14,1514.0
2020-07-15,2273.0
2020-07-16,2479.0
2020-07-17,2279.0
2020-07-18,2517.0
2020-07-19,1779.0
2020-07-20,1639.0
2020-07-21,2190.0
2020-07-22,2473.0
2020-07-23,2570.0
2020-07-24,2091.0
2020-07-25,1718.0
2020-07-26,3140.0
2020-07-27,2553.0
2020-07-28,2555.0
2020-07-29,1778.0
2020-07-30,2049.0
2020-07-31,3088.0
2020-08-01,2225.0
2020-08-02,1443.0
2020-08-03,1009.0
2020-08-04,1805.0
2020-08-05,1657.0
2020-08-06,2252.0
2020-08-07,2432.0
2020-08-08,1803.0
2020-08-09,2127.0
2020-08-10,1202.0
2020-08-11,1001.0
2020-08-12,1478.0
2020-08-13,2118.0
2020-08-14,1947.0
2020-08-15,1289.0
2020-08-16,1961.0
2020-08-17,1036.0
2020-08-18,1034.0
2020-08-19,2022.0
2020-08-20,1375.0
2020-08-21,1669.0
2020-08-22,1239.0
2020-08-23,1854.0
2020-08-24,667.0
2020-08-25,813.0
2020-08-26,1936.0
2020-08-27,1826.0
2020-08-28,1636.0
2020-08-29,1465.0
2020-08-30,835.0
2020-08-31,1818.0
2020-09-01,1396.0
2020-09-02,1502.0
2020-09-03,1715.0
2020-09-04,1051.0
2020-09-05,1765.0
2020-09-06,1764.0
2020-09-07,983.0
2020-09-08,645.0
2020-09-09,833.0
2020-09-10,1650.0
2020-09-11,1622.0
2020-09-12,1032.0
2020-09-13,933.0
2020-09-14,2450.0
2020-09-15,957.0
2020-09-16,1856.0
2020-09-17,1053.0
2020-09-18,2357.0
2020-09-19,942.0
2020-09-20,2075.0
2020-09-21,895.0
2020-09-22,739.0
2020-09-23,1561.0
2020-09-24,835.0
2020-09-25,1910.0
2020-09-26,1437.0
2020-09-27,2104.0
2020-09-28,737.0
2020-09-29,879.0
2020-09-30,1528.0
2020-10-01,1293.0
2020-10-02,971.0
2020-10-03,1192.0
2020-10-04,1615.0
2020-10-05,2489.0
2020-10-06,1676.0
2020-10-07,2080.0
2020-10-08,1992.0
2020-10-09,1556.0
2020-10-10,1646.0
2020-10-11,2068.0
2020-10-12,2965.0
2020-10-13,1147.0
2020-10-14,1709.0
2020-10-15,2289.0
2020-10-16,666.0
2020-10-17,2646.0
2020-10-18,2605.0
2020-10-19,3317.0
2020-10-20,1508.0
2020-10-21,2292.0
2020-10-22,2046.0
2020-10-23,3606.0
2020-10-24,2574.0
2020-10-25,3500.0
2020-10-26,2279.0
2020-10-27,1908.0
2020-10-28,2446.0
2020-10-29,2660.0
2020-10-30,2608.0
2020-10-31,1184.0
2020-11-01,754.0
2020-11-02,3161.0
2020-11-03,1770.0
2020-11-04,3445.0
2020-11-05,1969.0
2020-11-06,1373.0
2020-11-07,5071.0
2020-11-08,3636.0
2020-11-09,5919.0
2020-11-10,1979.0
2020-11-11,3632.0
2020-11-12,3344.0
2020-11-13,3733.0
2020-11-14,4662.0
2020-11-15,5817.0
2020-11-16,7951.0
2020-11-17,1841.0
2020-11-18,4472.0
2020-11-19,2887.0
2020-11-20,3444.0
2020-11-21,4355.0
2020-11-22,4589.0
2020-11-23,4074.0
2020-11-24,1304.0
2020-11-25,2118.0
2020-11-26,4404.0
