Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,1.0
2020-03-09,0.0
2020-03-10,1.0
2020-03-11,1.0
2020-03-12,1.0
2020-03-13,2.0
2020-03-14,0.0
2020-03-15,15.0
2020-03-16,8.0
2020-03-17,0.0
2020-03-18,11.0
2020-03-19,28.0
2020-03-20,34.0
2020-03-21,23.0
2020-03-22,44.0
2020-03-23,111.0
2020-03-24,18.0
2020-03-25,48.0
2020-03-26,56.0
2020-03-27,64.0
2020-03-28,122.0
2020-03-29,201.0
2020-03-30,17.0
2020-03-31,128.0
2020-04-01,78.0
2020-04-02,153.0
2020-04-03,81.0
2020-04-04,182.0
2020-04-05,177.0
2020-04-06,111.0
2020-04-07,88.0
2020-04-08,112.0
2020-04-09,145.0
2020-04-10,41.0
2020-04-11,104.0
2020-04-12,132.0
2020-04-13,54.0
2020-04-14,61.0
2020-04-15,184.0
2020-04-16,123.0
2020-04-17,45.0
2020-04-18,141.0
2020-04-19,205.0
2020-04-20,108.0
2020-04-21,110.0
2020-04-22,171.0
2020-04-23,182.0
2020-04-24,60.0
2020-04-25,166.0
2020-04-26,266.0
2020-04-27,93.0
2020-04-28,116.0
2020-04-29,182.0
2020-04-30,148.0
2020-05-01,75.0
2020-05-02,153.0
2020-05-03,280.0
2020-05-04,145.0
2020-05-05,124.0
2020-05-06,65.0
2020-05-07,199.0
2020-05-08,247.0
2020-05-09,193.0
2020-05-10,83.0
2020-05-11,78.0
2020-05-12,153.0
2020-05-13,127.0
2020-05-14,162.0
2020-05-15,175.0
2020-05-16,154.0
2020-05-17,139.0
2020-05-18,154.0
2020-05-19,136.0
2020-05-20,213.0
2020-05-21,173.0
2020-05-22,198.0
2020-05-23,152.0
2020-05-24,169.0
2020-05-25,84.0
2020-05-26,74.0
2020-05-27,157.0
2020-05-28,322.0
2020-05-29,292.0
2020-05-30,259.0
2020-05-31,256.0
2020-06-01,157.0
2020-06-02,252.0
2020-06-03,384.0
2020-06-04,278.0
2020-06-05,237.0
2020-06-06,687.0
2020-06-07,178.0
2020-06-08,312.0
2020-06-09,275.0
2020-06-10,344.0
2020-06-11,381.0
2020-06-12,360.0
2020-06-13,395.0
2020-06-14,285.0
2020-06-15,357.0
2020-06-16,315.0
2020-06-17,398.0
2020-06-18,660.0
2020-06-19,627.0
2020-06-20,574.0
2020-06-21,425.0
2020-06-22,310.0
2020-06-23,525.0
2020-06-24,525.0
2020-06-25,631.0
2020-06-26,665.0
2020-06-27,505.0
2020-06-28,464.0
2020-06-29,813.0
2020-06-30,483.0
2020-07-01,640.0
2020-07-02,535.0
2020-07-03,650.0
2020-07-04,431.0
2020-07-05,498.0
2020-07-06,504.0
2020-07-07,702.0
2020-07-08,774.0
2020-07-09,574.0
2020-07-10,909.0
2020-07-11,642.0
2020-07-12,572.0
2020-07-13,545.0
2020-07-14,474.0
2020-07-15,468.0
2020-07-16,923.0
2020-07-17,805.0
2020-07-18,653.0
2020-07-19,637.0
2020-07-20,402.0
2020-07-21,564.0
2020-07-22,606.0
2020-07-23,635.0
2020-07-24,792.0
2020-07-25,383.0
2020-07-26,438.0
2020-07-27,413.0
2020-07-28,422.0
2020-07-29,605.0
2020-07-30,316.0
2020-07-31,539.0
2020-08-01,583.0
2020-08-02,379.0
2020-08-03,394.0
2020-08-04,391.0
2020-08-05,552.0
2020-08-06,510.0
2020-08-07,461.0
2020-08-08,23.0
2020-08-09,624.0
2020-08-10,292.0
2020-08-11,393.0
2020-08-12,323.0
2020-08-13,433.0
2020-08-14,473.0
2020-08-15,314.0
2020-08-16,306.0
2020-08-17,239.0
2020-08-18,298.0
2020-08-19,475.0
2020-08-20,501.0
2020-08-21,327.0
2020-08-22,328.0
2020-08-23,312.0
2020-08-24,325.0
2020-08-25,460.0
2020-08-26,357.0
2020-08-27,297.0
2020-08-28,537.0
2020-08-29,441.0
2020-08-30,363.0
2020-08-31,284.0
2020-09-01,358.0
2020-09-02,453.0
2020-09-03,458.0
2020-09-04,585.0
2020-09-05,360.0
2020-09-06,341.0
2020-09-07,396.0
2020-09-08,275.0
2020-09-09,383.0
2020-09-10,501.0
2020-09-11,609.0
2020-09-12,692.0
2020-09-13,542.0
2020-09-14,538.0
2020-09-15,722.0
2020-09-16,764.0
2020-09-17,862.0
2020-09-18,836.0
2020-09-19,1071.0
2020-09-20,817.0
2020-09-21,39.0
2020-09-22,650.0
2020-09-23,1453.0
2020-09-24,622.0
2020-09-25,1411.0
2020-09-26,1017.0
2020-09-27,1068.0
2020-09-28,827.0
2020-09-29,694.0
2020-09-30,906.0
2020-10-01,1008.0
2020-10-02,1107.0
2020-10-03,1068.0
2020-10-04,1393.0
2020-10-05,1105.0
2020-10-06,716.0
2020-10-07,1007.0
2020-10-08,1501.0
2020-10-09,1343.0
2020-10-10,1354.0
2020-10-11,1200.0
2020-10-12,988.0
2020-10-13,987.0
2020-10-14,1144.0
2020-10-15,1498.0
2020-10-16,1496.0
2020-10-17,1340.0
2020-10-18,1097.0
2020-10-19,1168.0
2020-10-20,1081.0
2020-10-21,1363.0
2020-10-22,1543.0
2020-10-23,1960.0
2020-10-24,1608.0
2020-10-25,1765.0
2020-10-26,1201.0
2020-10-27,1145.0
2020-10-28,1575.0
2020-10-29,1837.0
2020-10-30,2292.0
2020-10-31,1724.0
2020-11-01,1854.0
2020-11-02,1196.0
2020-11-03,1669.0
2020-11-04,2110.0
2020-11-05,2807.0
2020-11-06,2987.0
2020-11-07,2956.0
2020-11-08,2386.0
2020-11-09,2247.0
2020-11-10,2517.0
2020-11-11,2335.0
2020-11-12,3919.0
2020-11-13,2150.0
2020-11-14,5352.0
2020-11-15,2667.0
2020-11-16,1971.0
2020-11-17,3178.0
2020-11-18,3071.0
2020-11-19,3968.0
2020-11-20,4588.0
2020-11-21,3395.0
2020-11-22,3197.0
2020-11-23,2244.0
2020-11-24,2701.0
2020-11-25,1781.0
2020-11-26,3829.0
2020-11-27,2313.0
2020-11-28,2043.0
2020-11-29,1722.0
2020-11-30,1897.0
2020-12-01,2510.0
2020-12-02,4004.0
2020-12-03,3945.0
