Date,New Cases
2020-03-01,4.0
2020-03-02,7.0
2020-03-03,9.0
2020-03-04,12.0
2020-03-05,31.0
2020-03-06,9.0
2020-03-07,23.0
2020-03-08,34.0
2020-03-09,26.0
2020-03-10,105.0
2020-03-11,99.0
2020-03-12,91.0
2020-03-13,111.0
2020-03-14,74.0
2020-03-15,66.0
2020-03-16,61.0
2020-03-17,161.0
2020-03-18,257.0
2020-03-19,189.0
2020-03-20,148.0
2020-03-21,269.0
2020-03-22,203.0
2020-03-23,225.0
2020-03-24,248.0
2020-03-25,111.0
2020-03-26,627.0
2020-03-27,516.0
2020-03-28,587.0
2020-03-29,196.0
2020-03-30,390.0
2020-03-31,0.0
2020-04-01,423.0
2020-04-02,364.0
2020-04-03,1283.0
2020-04-04,625.0
2020-04-05,-618.0
2020-04-06,345.0
2020-04-07,1364.0
2020-04-08,415.0
2020-04-09,511.0
2020-04-10,279.0
2020-04-11,337.0
2020-04-12,187.0
2020-04-13,127.0
2020-04-14,156.0
2020-04-15,89.0
2020-04-16,369.0
2020-04-17,293.0
2020-04-18,357.0
2020-04-19,-12.0
2020-04-20,295.0
2020-04-21,197.0
2020-04-22,212.0
2020-04-23,259.0
2020-04-24,224.0
2020-04-25,342.0
2020-04-26,202.0
2020-04-27,165.0
2020-04-28,156.0
2020-04-29,228.0
2020-04-30,257.0
2020-05-01,310.0
2020-05-02,366.0
2020-05-03,182.0
2020-05-04,277.0
2020-05-05,132.0
2020-05-06,311.0
2020-05-07,326.0
2020-05-08,157.0
2020-05-09,286.0
2020-05-10,217.0
2020-05-11,231.0
2020-05-12,208.0
2020-05-13,182.0
2020-05-14,261.0
2020-05-15,178.0
2020-05-16,336.0
2020-05-17,146.0
2020-05-18,178.0
2020-05-19,200.0
2020-05-20,160.0
2020-05-21,146.0
2020-05-22,148.0
2020-05-23,320.0
2020-05-24,243.0
2020-05-25,237.0
2020-05-26,116.0
2020-05-27,225.0
2020-05-28,358.0
2020-05-29,307.0
2020-05-30,278.0
2020-05-31,353.0
2020-06-01,275.0
2020-06-02,180.0
2020-06-03,327.0
2020-06-04,245.0
2020-06-05,264.0
2020-06-06,429.0
2020-06-07,307.0
2020-06-08,312.0
2020-06-09,313.0
2020-06-10,288.0
2020-06-11,137.0
2020-06-12,392.0
2020-06-13,367.0
2020-06-14,296.0
2020-06-15,324.0
2020-06-16,373.0
2020-06-17,253.0
2020-06-18,408.0
2020-06-19,409.0
2020-06-20,624.0
2020-06-21,455.0
2020-06-22,190.0
2020-06-23,516.0
2020-06-24,483.0
2020-06-25,498.0
2020-06-26,488.0
2020-06-27,549.0
2020-06-28,348.0
2020-06-29,501.0
2020-06-30,571.0
2020-07-01,611.0
2020-07-02,716.0
2020-07-03,627.0
2020-07-04,469.0
2020-07-05,651.0
2020-07-06,1087.0
2020-07-07,435.0
2020-07-08,521.0
2020-07-09,640.0
2020-07-10,637.0
2020-07-11,0.0
2020-07-12,1438.0
2020-07-13,1101.0
2020-07-14,547.0
2020-07-15,742.0
2020-07-16,1267.0
2020-07-17,754.0
2020-07-18,959.0
2020-07-19,920.0
2020-07-20,797.0
2020-07-21,832.0
2020-07-22,672.0
2020-07-23,762.0
2020-07-24,815.0
2020-07-25,1025.0
2020-07-26,786.0
2020-07-27,686.0
2020-07-28,884.0
2020-07-29,790.0
2020-07-30,808.0
2020-07-31,0.0
2020-08-01,1738.0
2020-08-02,631.0
2020-08-03,543.0
2020-08-04,664.0
2020-08-05,705.0
2020-08-06,833.0
2020-08-07,670.0
2020-08-08,936.0
2020-08-09,549.0
2020-08-10,575.0
2020-08-11,504.0
2020-08-12,551.0
2020-08-13,637.0
2020-08-14,800.0
2020-08-15,746.0
2020-08-16,576.0
2020-08-17,260.0
2020-08-18,543.0
2020-08-19,425.0
2020-08-20,700.0
2020-08-21,390.0
2020-08-22,816.0
2020-08-23,417.0
2020-08-24,359.0
2020-08-25,334.0
2020-08-26,456.0
2020-08-27,542.0
2020-08-28,598.0
2020-08-29,578.0
2020-08-30,441.0
2020-08-31,315.0
2020-09-01,304.0
2020-09-02,438.0
2020-09-03,479.0
2020-09-04,479.0
2020-09-05,501.0
2020-09-06,399.0
2020-09-07,310.0
2020-09-08,0.0
2020-09-09,464.0
2020-09-10,458.0
2020-09-11,544.0
2020-09-12,465.0
2020-09-13,350.0
2020-09-14,312.0
2020-09-15,327.0
2020-09-16,347.0
2020-09-17,386.0
2020-09-18,404.0
2020-09-19,597.0
2020-09-20,349.0
2020-09-21,300.0
2020-09-22,345.0
2020-09-23,509.0
2020-09-24,536.0
2020-09-25,988.0
2020-09-26,604.0
2020-09-27,439.0
2020-09-28,369.0
2020-09-29,404.0
2020-09-30,480.0
2020-10-01,594.0
2020-10-02,694.0
2020-10-03,609.0
2020-10-04,455.0
2020-10-05,402.0
2020-10-06,387.0
2020-10-07,545.0
2020-10-08,710.0
2020-10-09,642.0
2020-10-10,475.0
2020-10-11,827.0
2020-10-12,0.0
