Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,1.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,2.0
2020-03-11,2.0
2020-03-12,3.0
2020-03-13,1.0
2020-03-14,10.0
2020-03-15,8.0
2020-03-16,26.0
2020-03-17,35.0
2020-03-18,18.0
2020-03-19,49.0
2020-03-20,51.0
2020-03-21,75.0
2020-03-22,100.0
2020-03-23,35.0
2020-03-24,41.0
2020-03-25,128.0
2020-03-26,122.0
2020-03-27,135.0
2020-03-28,147.0
2020-03-29,0.0
2020-03-30,232.0
2020-03-31,130.0
2020-04-01,199.0
2020-04-02,180.0
2020-04-03,186.0
2020-04-04,196.0
2020-04-05,155.0
2020-04-06,173.0
2020-04-07,138.0
2020-04-08,178.0
2020-04-09,129.0
2020-04-10,183.0
2020-04-11,153.0
2020-04-12,120.0
2020-04-13,87.0
2020-04-14,127.0
2020-04-15,166.0
2020-04-16,154.0
2020-04-17,170.0
2020-04-18,154.0
2020-04-19,147.0
2020-04-20,153.0
2020-04-21,121.0
2020-04-22,225.0
2020-04-23,207.0
2020-04-24,304.0
2020-04-25,331.0
2020-04-26,224.0
2020-04-27,170.0
2020-04-28,208.0
2020-04-29,231.0
2020-04-30,334.0
2020-05-01,460.0
2020-05-02,346.0
2020-05-03,304.0
2020-05-04,272.0
2020-05-05,330.0
2020-05-06,335.0
2020-05-07,314.0
2020-05-08,375.0
2020-05-09,349.0
2020-05-10,280.0
2020-05-11,199.0
2020-05-12,193.0
2020-05-13,291.0
2020-05-14,373.0
2020-05-15,410.0
2020-05-16,502.0
2020-05-17,356.0
2020-05-18,144.0
2020-05-19,198.0
2020-05-20,546.0
2020-05-21,454.0
2020-05-22,511.0
2020-05-23,481.0
2020-05-24,400.0
2020-05-25,307.0
2020-05-26,279.0
2020-05-27,599.0
2020-05-28,512.0
2020-05-29,733.0
2020-05-30,523.0
2020-05-31,173.0
2020-06-01,140.0
2020-06-02,374.0
2020-06-03,483.0
2020-06-04,492.0
2020-06-05,357.0
2020-06-06,322.0
2020-06-07,264.0
2020-06-08,203.0
2020-06-09,270.0
2020-06-10,285.0
2020-06-11,333.0
2020-06-12,2796.0
2020-06-13,309.0
2020-06-14,264.0
2020-06-15,185.0
2020-06-16,309.0
2020-06-17,290.0
2020-06-18,463.0
2020-06-19,310.0
2020-06-20,442.0
2020-06-21,293.0
2020-06-22,251.0
2020-06-23,289.0
2020-06-24,466.0
2020-06-25,512.0
2020-06-26,563.0
2020-06-27,559.0
2020-06-28,480.0
2020-06-29,326.0
2020-06-30,629.0
2020-07-01,563.0
2020-07-02,584.0
2020-07-03,622.0
2020-07-04,776.0
2020-07-05,533.0
2020-07-06,490.0
2020-07-07,535.0
2020-07-08,645.0
2020-07-09,800.0
2020-07-10,889.0
2020-07-11,981.0
2020-07-12,797.0
2020-07-13,505.0
2020-07-14,967.0
2020-07-15,848.0
2020-07-16,942.0
2020-07-17,929.0
2020-07-18,1031.0
2020-07-19,849.0
2020-07-20,727.0
2020-07-21,1161.0
2020-07-22,747.0
2020-07-23,1086.0
2020-07-24,1058.0
2020-07-25,988.0
2020-07-26,965.0
2020-07-27,601.0
2020-07-28,783.0
2020-07-29,924.0
2020-07-30,1091.0
2020-07-31,855.0
2020-08-01,1124.0
2020-08-02,932.0
2020-08-03,411.0
2020-08-04,770.0
2020-08-05,939.0
2020-08-06,875.0
2020-08-07,1043.0
2020-08-08,1185.0
2020-08-09,622.0
2020-08-10,521.0
2020-08-11,767.0
2020-08-12,531.0
2020-08-13,968.0
2020-08-14,1059.0
2020-08-15,866.0
2020-08-16,699.0
2020-08-17,469.0
2020-08-18,709.0
2020-08-19,710.0
2020-08-20,759.0
2020-08-21,858.0
2020-08-22,975.0
2020-08-23,479.0
2020-08-24,414.0
2020-08-25,687.0
2020-08-26,786.0
2020-08-27,912.0
2020-08-28,864.0
2020-08-29,862.0
2020-08-30,570.0
2020-08-31,268.0
2020-09-01,1036.0
2020-09-02,578.0
2020-09-03,740.0
2020-09-04,1542.0
2020-09-05,999.0
2020-09-06,890.0
2020-09-07,575.0
2020-09-08,749.0
2020-09-09,913.0
2020-09-10,1592.0
2020-09-11,1443.0
2020-09-12,1430.0
2020-09-13,1624.0
2020-09-14,818.0
2020-09-15,1441.0
2020-09-16,1502.0
2020-09-17,2134.0
2020-09-18,2580.0
2020-09-19,2403.0
2020-09-20,1735.0
2020-09-21,1296.0
2020-09-22,1739.0
2020-09-23,1895.0
2020-09-24,2478.0
2020-09-25,2629.0
2020-09-26,2902.0
2020-09-27,2247.0
2020-09-28,1739.0
2020-09-29,2447.0
2020-09-30,2459.0
2020-10-01,3000.0
2020-10-02,2825.0
2020-10-03,3054.0
2020-10-04,1926.0
2020-10-05,1727.0
2020-10-06,2075.0
2020-10-07,2463.0
2020-10-08,3274.0
2020-10-09,3164.0
2020-10-10,2971.0
2020-10-11,2713.0
2020-10-12,2016.0
2020-10-13,3428.0
2020-10-14,3323.0
2020-10-15,4040.0
2020-10-16,4105.0
2020-10-17,0.0
2020-10-18,0.0
2020-10-19,7915.0
2020-10-20,4686.0
2020-10-21,4363.0
2020-10-22,3632.0
2020-10-23,4643.0
2020-10-24,4673.0
2020-10-25,3778.0
2020-10-26,3011.0
2020-10-27,5501.0
2020-10-28,4130.0
2020-10-29,5146.0
2020-10-30,5357.0
2020-10-31,5808.0
2020-11-01,3553.0
2020-11-02,3505.0
2020-11-03,6104.0
2020-11-04,6255.0
2020-11-05,6284.0
2020-11-06,6411.0
2020-11-07,7521.0
2020-11-08,4407.0
2020-11-09,4470.0
2020-11-10,7432.0
2020-11-11,7537.0
2020-11-12,8223.0
2020-11-13,8451.0
2020-11-14,5581.0
2020-11-15,6320.0
2020-11-16,4638.0
2020-11-17,7593.0
2020-11-18,8510.0
2020-11-19,7448.0
2020-11-20,7077.0
2020-11-21,7029.0
2020-11-22,4019.0
2020-11-23,3455.0
2020-11-24,6748.0
2020-11-25,5997.0
2020-11-26,5666.0
2020-11-27,1422.0
2020-11-28,5473.0
2020-11-29,4055.0
2020-11-30,2676.0
