Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,1.0
2020-03-18,1.0
2020-03-19,3.0
2020-03-20,3.0
2020-03-21,4.0
2020-03-22,4.0
2020-03-23,4.0
2020-03-24,19.0
2020-03-25,12.0
2020-03-26,25.0
2020-03-27,20.0
2020-03-28,17.0
2020-03-29,11.0
2020-03-30,21.0
2020-03-31,17.0
2020-04-01,29.0
2020-04-02,26.0
2020-04-03,20.0
2020-04-04,45.0
2020-04-05,42.0
2020-04-06,21.0
2020-04-07,67.0
2020-04-08,0.0
2020-04-09,111.0
2020-04-10,51.0
2020-04-11,17.0
2020-04-12,20.0
2020-04-13,15.0
2020-04-14,68.0
2020-04-15,24.0
2020-04-16,21.0
2020-04-17,36.0
2020-04-18,50.0
2020-04-19,38.0
2020-04-20,39.0
2020-04-21,12.0
2020-04-22,49.0
2020-04-23,18.0
2020-04-24,29.0
2020-04-25,15.0
2020-04-26,28.0
2020-04-27,24.0
2020-04-28,18.0
2020-04-29,14.0
2020-04-30,16.0
2020-05-01,26.0
2020-05-02,33.0
2020-05-03,11.0
2020-05-04,29.0
2020-05-05,18.0
2020-05-06,34.0
2020-05-07,21.0
2020-05-08,26.0
2020-05-09,24.0
2020-05-10,15.0
2020-05-11,7.0
2020-05-12,9.0
2020-05-13,26.0
2020-05-14,30.0
2020-05-15,13.0
2020-05-16,23.0
2020-05-17,20.0
2020-05-18,12.0
2020-05-19,12.0
2020-05-20,53.0
2020-05-21,36.0
2020-05-22,102.0
2020-05-23,24.0
2020-05-24,42.0
2020-05-25,11.0
2020-05-26,72.0
2020-05-27,45.0
2020-05-28,36.0
2020-05-29,37.0
2020-05-30,17.0
2020-05-31,21.0
2020-06-01,18.0
2020-06-02,28.0
2020-06-03,21.0
2020-06-04,25.0
2020-06-05,17.0
2020-06-06,17.0
2020-06-07,8.0
2020-06-08,17.0
2020-06-09,18.0
2020-06-10,14.0
2020-06-11,24.0
2020-06-12,32.0
2020-06-13,25.0
2020-06-14,16.0
2020-06-15,32.0
2020-06-16,19.0
2020-06-17,35.0
2020-06-18,42.0
2020-06-19,50.0
2020-06-20,32.0
2020-06-21,43.0
2020-06-22,28.0
2020-06-23,22.0
2020-06-24,36.0
2020-06-25,65.0
2020-06-26,36.0
2020-06-27,52.0
2020-06-28,50.0
2020-06-29,38.0
2020-06-30,35.0
2020-07-01,74.0
2020-07-02,74.0
2020-07-03,73.0
2020-07-04,79.0
2020-07-05,130.0
2020-07-06,107.0
2020-07-07,63.0
2020-07-08,202.0
2020-07-09,119.0
2020-07-10,157.0
2020-07-11,163.0
2020-07-12,98.0
2020-07-13,69.0
2020-07-14,94.0
2020-07-15,150.0
2020-07-16,100.0
2020-07-17,126.0
2020-07-18,139.0
2020-07-19,120.0
2020-07-20,100.0
2020-07-21,57.0
2020-07-22,262.0
2020-07-23,89.0
2020-07-24,145.0
2020-07-25,126.0
2020-07-26,139.0
2020-07-27,94.0
2020-07-28,119.0
2020-07-29,153.0
2020-07-30,96.0
2020-07-31,220.0
2020-08-01,93.0
2020-08-02,119.0
2020-08-03,119.0
2020-08-04,78.0
2020-08-05,108.0
2020-08-06,118.0
2020-08-07,156.0
2020-08-08,130.0
2020-08-09,131.0
2020-08-10,60.0
2020-08-11,121.0
2020-08-12,133.0
2020-08-13,143.0
2020-08-14,123.0
2020-08-15,183.0
2020-08-16,107.0
2020-08-17,68.0
2020-08-18,99.0
2020-08-19,70.0
2020-08-20,181.0
2020-08-21,84.0
2020-08-22,119.0
2020-08-23,87.0
2020-08-24,40.0
2020-08-25,83.0
2020-08-26,145.0
2020-08-27,93.0
2020-08-28,191.0
2020-08-29,143.0
2020-08-30,143.0
2020-08-31,140.0
2020-09-01,257.0
2020-09-02,135.0
2020-09-03,203.0
2020-09-04,192.0
2020-09-05,252.0
2020-09-06,123.0
2020-09-07,163.0
2020-09-08,86.0
2020-09-09,147.0
2020-09-10,209.0
2020-09-11,157.0
2020-09-12,347.0
2020-09-13,178.0
2020-09-14,121.0
2020-09-15,156.0
2020-09-16,220.0
2020-09-17,234.0
2020-09-18,253.0
2020-09-19,191.0
2020-09-20,180.0
2020-09-21,117.0
2020-09-22,213.0
2020-09-23,120.0
2020-09-24,202.0
2020-09-25,247.0
2020-09-26,205.0
2020-09-27,190.0
2020-09-28,164.0
2020-09-29,180.0
2020-09-30,156.0
2020-10-01,176.0
2020-10-02,283.0
2020-10-03,161.0
2020-10-04,160.0
2020-10-05,114.0
2020-10-06,194.0
2020-10-07,203.0
2020-10-08,186.0
2020-10-09,382.0
2020-10-10,206.0
2020-10-11,215.0
2020-10-12,153.0
2020-10-13,274.0
2020-10-14,263.0
2020-10-15,264.0
2020-10-16,498.0
2020-10-17,221.0
2020-10-18,280.0
2020-10-19,212.0
2020-10-20,226.0
2020-10-21,215.0
2020-10-22,323.0
2020-10-23,335.0
2020-10-24,320.0
2020-10-25,194.0
2020-10-26,317.0
2020-10-27,483.0
2020-10-28,358.0
2020-10-29,402.0
2020-10-30,524.0
2020-10-31,470.0
2020-11-01,423.0
2020-11-02,352.0
2020-11-03,358.0
2020-11-04,394.0
2020-11-05,560.0
2020-11-06,540.0
2020-11-07,491.0
2020-11-08,826.0
2020-11-09,401.0
2020-11-10,511.0
2020-11-11,885.0
2020-11-12,696.0
2020-11-13,742.0
2020-11-14,1153.0
2020-11-15,887.0
2020-11-16,781.0
2020-11-17,864.0
2020-11-18,953.0
2020-11-19,1122.0
2020-11-20,1081.0
2020-11-21,1118.0
2020-11-22,880.0
2020-11-23,636.0
2020-11-24,969.0
2020-11-25,967.0
2020-11-26,1130.0
2020-11-27,866.0
2020-11-28,799.0
2020-11-29,1152.0
2020-11-30,845.0
2020-12-01,976.0
2020-12-02,1087.0
2020-12-03,1120.0
2020-12-04,1147.0
2020-12-05,1400.0
2020-12-06,1425.0
2020-12-07,1131.0
