Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,1.0
2020-03-13,0.0
2020-03-14,1.0
2020-03-15,1.0
2020-03-16,0.0
2020-03-17,8.0
2020-03-18,5.0
2020-03-19,2.0
2020-03-20,4.0
2020-03-21,2.0
2020-03-22,0.0
2020-03-23,2.0
2020-03-24,4.0
2020-03-25,14.0
2020-03-26,11.0
2020-03-27,18.0
2020-03-28,11.0
2020-03-29,3.0
2020-03-30,8.0
2020-03-31,25.0
2020-04-01,17.0
2020-04-02,13.0
2020-04-03,16.0
2020-04-04,21.0
2020-04-05,13.0
2020-04-06,12.0
2020-04-07,9.0
2020-04-08,9.0
2020-04-09,9.0
2020-04-10,14.0
2020-04-11,8.0
2020-04-12,9.0
2020-04-13,103.0
2020-04-14,121.0
2020-04-15,-101.0
2020-04-16,8.0
2020-04-17,11.0
2020-04-18,11.0
2020-04-19,3.0
2020-04-20,2.0
2020-04-21,13.0
2020-04-22,6.0
2020-04-23,6.0
2020-04-24,20.0
2020-04-25,18.0
2020-04-26,11.0
2020-04-27,18.0
2020-04-28,16.0
2020-04-29,8.0
2020-04-30,15.0
2020-05-01,7.0
2020-05-02,13.0
2020-05-03,7.0
2020-05-04,10.0
2020-05-05,8.0
2020-05-06,27.0
2020-05-07,4.0
2020-05-08,9.0
2020-05-09,9.0
2020-05-10,9.0
2020-05-11,7.0
2020-05-12,6.0
2020-05-13,13.0
2020-05-14,13.0
2020-05-15,15.0
2020-05-16,25.0
2020-05-17,13.0
2020-05-18,12.0
2020-05-19,10.0
2020-05-20,11.0
2020-05-21,14.0
2020-05-22,2.0
2020-05-23,10.0
2020-05-24,25.0
2020-05-25,5.0
2020-05-26,7.0
2020-05-27,10.0
2020-05-28,16.0
2020-05-29,15.0
2020-05-30,7.0
2020-05-31,5.0
2020-06-01,7.0
2020-06-02,2.0
2020-06-03,3.0
2020-06-04,6.0
2020-06-05,12.0
2020-06-06,6.0
2020-06-07,8.0
2020-06-08,13.0
2020-06-09,10.0
2020-06-10,10.0
2020-06-11,29.0
2020-06-12,18.0
2020-06-13,23.0
2020-06-14,10.0
2020-06-15,19.0
2020-06-16,10.0
2020-06-17,25.0
2020-06-18,30.0
2020-06-19,29.0
2020-06-20,6.0
2020-06-21,18.0
2020-06-22,33.0
2020-06-23,24.0
2020-06-24,28.0
2020-06-25,44.0
2020-06-26,42.0
2020-06-27,24.0
2020-06-28,25.0
2020-06-29,33.0
2020-06-30,37.0
2020-07-01,27.0
2020-07-02,36.0
2020-07-03,32.0
2020-07-04,24.0
2020-07-05,28.0
2020-07-06,41.0
2020-07-07,36.0
2020-07-08,29.0
2020-07-09,34.0
2020-07-10,16.0
2020-07-11,49.0
2020-07-12,23.0
2020-07-13,41.0
2020-07-14,48.0
2020-07-15,34.0
2020-07-16,41.0
2020-07-17,43.0
2020-07-18,39.0
2020-07-19,18.0
2020-07-20,61.0
2020-07-21,51.0
2020-07-22,50.0
2020-07-23,59.0
2020-07-24,58.0
2020-07-25,41.0
2020-07-26,29.0
2020-07-27,45.0
2020-07-28,69.0
2020-07-29,39.0
2020-07-30,58.0
2020-07-31,40.0
2020-08-01,43.0
2020-08-02,39.0
2020-08-03,40.0
2020-08-04,36.0
2020-08-05,39.0
2020-08-06,35.0
2020-08-07,42.0
2020-08-08,13.0
2020-08-09,37.0
2020-08-10,-8.0
2020-08-11,31.0
2020-08-12,13.0
2020-08-13,33.0
2020-08-14,64.0
2020-08-15,44.0
2020-08-16,59.0
2020-08-17,45.0
2020-08-18,32.0
2020-08-19,67.0
2020-08-20,38.0
2020-08-21,56.0
2020-08-22,19.0
2020-08-23,36.0
2020-08-24,24.0
2020-08-25,31.0
2020-08-26,50.0
2020-08-27,38.0
2020-08-28,41.0
2020-08-29,21.0
2020-08-30,36.0
2020-08-31,22.0
2020-09-01,24.0
2020-09-02,45.0
2020-09-03,28.0
2020-09-04,50.0
2020-09-05,17.0
2020-09-06,26.0
2020-09-07,0.0
2020-09-08,71.0
2020-09-09,48.0
2020-09-10,49.0
2020-09-11,64.0
2020-09-12,33.0
2020-09-13,49.0
2020-09-14,46.0
2020-09-15,46.0
2020-09-16,128.0
2020-09-17,86.0
2020-09-18,95.0
2020-09-19,33.0
2020-09-20,91.0
2020-09-21,73.0
2020-09-22,72.0
2020-09-23,153.0
2020-09-24,136.0
2020-09-25,115.0
2020-09-26,45.0
2020-09-27,168.0
2020-09-28,121.0
2020-09-29,67.0
2020-09-30,127.0
2020-10-01,135.0
2020-10-02,131.0
2020-10-03,151.0
2020-10-04,139.0
2020-10-05,125.0
2020-10-06,141.0
2020-10-07,129.0
2020-10-08,193.0
2020-10-09,243.0
2020-10-10,120.0
2020-10-11,156.0
2020-10-12,191.0
2020-10-13,162.0
2020-10-14,213.0
2020-10-15,198.0
2020-10-16,290.0
2020-10-17,151.0
2020-10-18,209.0
2020-10-19,286.0
2020-10-20,215.0
2020-10-21,322.0
2020-10-22,271.0
2020-10-23,426.0
2020-10-24,260.0
2020-10-25,236.0
2020-10-26,436.0
2020-10-27,329.0
2020-10-28,340.0
2020-10-29,361.0
2020-10-30,521.0
2020-10-31,270.0
2020-11-01,425.0
2020-11-02,444.0
2020-11-03,452.0
2020-11-04,425.0
2020-11-05,365.0
2020-11-06,996.0
2020-11-07,192.0
2020-11-08,713.0
2020-11-09,700.0
2020-11-10,1232.0
2020-11-11,132.0
2020-11-12,1105.0
2020-11-13,862.0
2020-11-14,540.0
2020-11-15,613.0
2020-11-16,699.0
2020-11-17,1260.0
2020-11-18,822.0
2020-11-19,894.0
2020-11-20,960.0
2020-11-21,281.0
2020-11-22,759.0
2020-11-23,1262.0
2020-11-24,528.0
2020-11-25,802.0
2020-11-26,0.0
2020-11-27,1012.0
2020-11-28,155.0
2020-11-29,561.0
2020-11-30,816.0
2020-12-01,500.0
2020-12-02,702.0
2020-12-03,571.0
2020-12-04,659.0
2020-12-05,204.0
2020-12-06,376.0
2020-12-07,668.0
2020-12-08,490.0
