Date,New Cases
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,2
3/9/2020,3
3/10/2020,3
3/11/2020,7
3/12/2020,14
3/13/2020,0
3/14/2020,0
3/15/2020,22
3/16/2020,16
3/17/2020,1
3/18/2020,26
3/19/2020,20
3/20/2020,0
3/21/2020,38
3/22/2020,102
3/23/2020,36
3/24/2020,101
3/25/2020,69
3/26/2020,144
3/27/2020,0
3/28/2020,135
3/29/2020,281
3/30/2020,0
3/31/2020,464
4/1/2020,222
4/2/2020,306
4/3/2020,0
4/4/2020,395
4/5/2020,471
4/6/2020,455
4/7/2020,312
4/8/2020,397
4/9/2020,467
4/10/2020,0
4/11/2020,568
4/12/2020,670
4/13/2020,424
4/14/2020,329
4/15/2020,389
4/16/2020,602
4/17/2020,562
4/18/2020,0
4/19/2020,937
4/20/2020,640
4/21/2020,0
4/22/2020,1368
4/23/2020,596
4/24/2020,772
4/25/2020,0
4/26/2020,1169
4/27/2020,804
4/28/2020,622
4/29/2020,885
4/30/2020,1055
5/1/2020,0
5/2/2020,830
5/3/2020,1761
5/4/2020,0
5/5/2020,764
5/6/2020,0
5/7/2020,2086
5/8/2020,0
5/9/2020,854
5/10/2020,1874
5/11/2020,730
5/12/2020,946
5/13/2020,1067
5/14/2020,859
5/15/2020,1011
5/16/2020,705
5/17/2020,752
5/18/2020,1005
5/19/2020,763
5/20/2020,1229
5/21/2020,813
5/22/2020,799
5/23/2020,495
5/24/2020,1483
5/25/2020,1615
5/26/2020,907
5/27/2020,1152
5/28/2020,1132
5/29/2020,1078
5/30/2020,996
5/31/2020,791
6/1/2020,841
6/2/2020,666
6/3/2020,951
6/4/2020,676
6/5/2020,865
6/6/2020,1284
6/7/2020,570
6/8/2020,487
6/9/2020,439
6/10/2020,470
6/11/2020,564
6/12/2020,658
6/13/2020,637
6/14/2020,380
6/15/2020,445
6/16/2020,444
6/17/2020,463
6/18/2020,555
6/19/2020,650
6/20/2020,551
6/21/2020,471
6/22/2020,529
6/23/2020,520
6/24/2020,432
6/25/2020,624
6/26/2020,677
6/27/2020,489
6/28/2020,453
6/29/2020,598
6/30/2020,0
7/1/2020,416
7/2/2020,532
7/3/2020,658
7/4/2020,1355
7/5/2020,354
7/6/2020,638
7/7/2020,635
7/8/2020,613
7/9/2020,943
7/10/2020,851
7/11/2020,888
7/12/2020,972
7/13/2020,801
7/14/2020,1084
7/15/2020,904
7/16/2020,1002
7/17/2020,940
7/18/2020,1057
7/19/2020,945
7/20/2020,996
7/21/2020,1022
7/22/2020,844
7/23/2020,1127
7/24/2020,1245
7/25/2020,958
7/26/2020,1505
7/27/2020,922
7/28/2020,999
7/29/2020,911
7/30/2020,984
7/31/2020,913
8/1/2020,981
8/2/2020,1324
8/3/2020,1145
8/4/2020,798
8/5/2020,818
8/6/2020,2015
8/7/2020,1307
8/8/2020,897
8/9/2020,664
8/10/2020,996
8/11/2020,775
8/12/2020,1102
8/13/2020,1215
8/14/2020,915
8/15/2020,938
8/16/2020,730
8/17/2020,862
8/18/2020,736
8/19/2020,863
8/20/2020,978
8/21/2020,1212
8/22/2020,0
8/23/2020,1558
8/24/2020,1006
8/25/2020,822
8/26/2020,1121
8/27/2020,1013
8/28/2020,1217
8/29/2020,938
8/30/2020,847
8/31/2020,1021
9/1/2020,927
9/2/2020,1126
9/3/2020,1111
9/4/2020,948
9/5/2020,1199
9/6/2020,645
9/7/2020,836
9/8/2020,882
9/9/2020,1240
9/10/2020,1115
9/11/2020,1296
9/12/2020,874
9/13/2020,757
9/14/2020,943
9/15/2020,845
9/16/2020,1101
9/17/2020,1242
9/18/2020,953
9/19/2020,857
9/20/2020,626
9/21/2020,872
9/22/2020,580
9/23/2020,902
9/24/2020,941
9/25/2020,975
9/26/2020,736
9/27/2020,449
9/28/2020,923
9/29/2020,756
9/30/2020,449
10/1/2020,966
10/2/2020,1116
10/3/2020,1067
10/4/2020,687
10/5/2020,625
10/6/2020,509
10/7/2020,1844
10/8/2020,1114
10/9/2020,1256
10/10/2020,811
10/11/2020,854
10/12/2020,1235
10/13/2020,805
10/14/2020,1331
10/15/2020,1183
10/16/2020,1114
10/17/2020,900
10/18/2020,690
10/19/2020,926
10/20/2020,1018
10/21/2020,1332
10/22/2020,1180
10/23/2020,1088
10/24/2020,999
10/25/2020,904
10/26/2020,1134
10/27/2020,1345
10/28/2020,1429
10/29/2020,1456
10/30/2020,1552
10/31/2020,1202
11/1/2020,1026
11/2/2020,1261
11/3/2020,1157
11/4/2020,1366
11/5/2020,1568
11/6/2020,2103
11/7/2020,1302
11/8/2020,1302
11/9/2020,1435
11/10/2020,1594
11/11/2020,1521
11/12/2020,1235
11/13/2020,1537
11/14/2020,1161
11/15/2020,2677
11/16/2020,2125
11/17/2020,2071
11/18/2020,1954
11/19/2020,2544
11/20/2020,2348
11/21/2020,2117
11/22/2020,3242
11/23/2020,2544
11/24/2020,2718
11/25/2020,2600
11/26/2020,1544
11/27/2020,3173
11/28/2020,2325
11/29/2020,1893
11/30/2020,2228
12/1/2020,2417
12/2/2020,2022
12/3/2020,2877
12/4/2020,3793
12/5/2020,3880
12/6/2020,3817
12/7/2020,3860
12/8/2020,4399
12/9/2020,3914
12/10/2020,3395
12/11/2020,4177
